Format,Call Letters,Market,Station Name
Adult Contemporary,DAC,Networks,WESTWOODONE - ADULT CONTEMPORARY
Adult Contemporary,DHAC,Networks,WESTWOODONE - HOT AC
Adult Contemporary,KALC,"Denver, CO ",ALICE 105.9 FM
Adult Contemporary,KAMX,"Austin, TX ",MIX 94.7
Adult Contemporary,KBAY,"San Jose, CA ",94.5 K-BAY
Adult Contemporary,KBBY,"Oxnard-Ventura, CA ",B95.1
Adult Contemporary,KBEE,"Salt Lake City, UT ",B98.7
Adult Contemporary,KBIG,"Los Angeles, CA ",104.3MYfm
Adult Contemporary,KBZC,"Sacramento, CA ",STAR 106.5
Adult Contemporary,KBZN,"Salt Lake City, UT ",THE BREEZE
Adult Contemporary,KCBS,"Los Angeles, CA ",JACK FM
Adult Contemporary,KCDA,"Spokane, WA ",103.1 KCDA
Adult Contemporary,KCIX,"Boise, ID ",MIX 106
Adult Contemporary,KCJK,"Kansas City, MO-KS ",105.1 JACK FM
Adult Contemporary,KCKC,"Kansas City, MO-KS ",KC 102.1
Adult Contemporary,KCYZ,"Des Moines, IA ",NOW 1051
Adult Contemporary,KDMX,"Dallas-Ft. Worth, TX ",102.9 NOW
Adult Contemporary,KDRF,"Albuquerque, NM ",103.3 eD FM
Adult Contemporary,KENZ,"Salt Lake City, UT ",TRAX 101.9
Adult Contemporary,KESZ,"Phoenix, AZ ",99.9 KEZ
Adult Contemporary,KEZK,"St. Louis, MO ",FRESH 102.5
Adult Contemporary,KEZR,"San Jose, CA ",MIX 106.5 TODAY'S BEST MIX
Adult Contemporary,KFBZ,"Wichita, KS ",105.3 THE BUZZ
Adult Contemporary,KFMB,"San Diego, CA ",100.7 JACK FM
Adult Contemporary,KHMX,"Houston-Galveston, TX ",MIX 96.5 KHMX
Adult Contemporary,KIFM,"San Diego, CA ",EASY 98.1 FM
Adult Contemporary,KIMN,"Denver, CO ",MIX 100
Adult Contemporary,KINE,"Honolulu, HI ",HAWAIIAN 105 KINE
Adult Contemporary,KIOI,"San Francisco, CA ",STAR 101.3
Adult Contemporary,KISC,"Spokane, WA ",KISS 98.1
Adult Contemporary,KJAQ,"Seattle-Tacoma, WA ",96.5 JACK FM
Adult Contemporary,KJKK,"Dallas-Ft. Worth, TX ",100.3 JACK FM
Adult Contemporary,KJMY,"Salt Lake City, UT ",MY 99.5
Adult Contemporary,KJOY,"Stockton, CA ",99.3 KJOY
Adult Contemporary,KJXK,"San Antonio, TX ",102.7 JACK FM
Adult Contemporary,KKCW,"Portland, OR ",K103 FM
Adult Contemporary,KKMJ,"Austin, TX ",MAJIC 95.5
Adult Contemporary,KLCK,"Seattle-Tacoma, WA ",CLICK 98.9
Adult Contemporary,KLLC,"San Francisco, CA ",ALICE @ 97.3
Adult Contemporary,KLTG,"Corpus Christi, TX ",THE BEACH 96.5
Adult Contemporary,KMGA,"Albuquerque, NM ",99.5 MAGIC FM
Adult Contemporary,KMGL,"Oklahoma City, OK ",MAGIC 104.1
Adult Contemporary,KMHX,"Santa Rosa, CA ",MIX 104.9
Adult Contemporary,KMIY,"Tucson, AZ ",MY 92.9
Adult Contemporary,KMVA,"Phoenix, AZ ",HOT 97.5 TRENDING RADIO
Adult Contemporary,KMXB,"Las Vegas, NV ",MIX 94.1
Adult Contemporary,KMXP,"Phoenix, AZ ",MIX 96.9
Adult Contemporary,KMXZ,"Tucson, AZ ",94.9 MIX FM
Adult Contemporary,KMYI,"San Diego, CA ",STAR 94.1
Adult Contemporary,KNEV,"Reno, NV ",MAGIC 95.5
Adult Contemporary,KODA,"Houston-Galveston, TX ",SUNNY 99.1
Adult Contemporary,KOIT,"San Francisco, CA ",96.5 KOIT LITE ROCK LESS TALK
Adult Contemporary,KORL,"Honolulu, HI ",TODAY'S MODERN MIX
Adult Contemporary,KOSI,"Denver, CO ",KOSI 101
Adult Contemporary,KOSO,"Modesto, CA ",B92-NINE
Adult Contemporary,KOST,"Los Angeles, CA ",KOST 103.5 FM
Adult Contemporary,KPEK,"Albuquerque, NM ",100.3 THE PEAK
Adult Contemporary,KPLZ,"Seattle-Tacoma, WA ",STAR 101.5
Adult Contemporary,KQJK,"Sacramento, CA ",93.7 JACK FM
Adult Contemporary,KQKQ,"Omaha, NE ",Q98
Adult Contemporary,KQXT,"San Antonio, TX ",Q 101.9
Adult Contemporary,KRAV,"Tulsa, OK ",MIX 96
Adult Contemporary,KRBB,"Wichita, KS ",B98-FM
Adult Contemporary,KRNO,"Reno, NV ",SUNNY 106.9
Adult Contemporary,KRSK,"Portland, OR ",105.1 THE BUZZ
Adult Contemporary,KRTR,"Honolulu, HI ",KRATER 96
Adult Contemporary,KRVR,"Modesto, CA ",THE RIVER 105.5
Adult Contemporary,KRWM,"Seattle-Tacoma, WA ",WARM 106.9
Adult Contemporary,KSBL,"Santa Barbara, CA ",K-LITE 101.7
Adult Contemporary,KSFI,"Salt Lake City, UT ",FM100
Adult Contemporary,KSII,"El Paso, TX ",KISS-FM 93.1
Adult Contemporary,KSMG,"San Antonio, TX ",MAGIC 105.3
Adult Contemporary,KSNE,"Las Vegas, NV ",SUNNY 106.5 FM
Adult Contemporary,KSOF,"Fresno, CA ",SOFT ROCK 98.9
Adult Contemporary,KSRZ,"Omaha, NE ",STAR 104.5
Adult Contemporary,KSSK,"Honolulu, HI ",KSSK FM 92.3
Adult Contemporary,KSTP,"Minneapolis-St. Paul, MN ",KS95
Adult Contemporary,KSTZ,"Des Moines, IA ",STAR 102.5
Adult Contemporary,KTCZ,"Minneapolis-St. Paul, MN ",CITIES 97
Adult Contemporary,KTDY,"Lafayette, LA ","BEST OF THE 80'S, 90'S AND TODAY"
Adult Contemporary,KTSM,"El Paso, TX ",SUNNY 99.9 FM
Adult Contemporary,KTSO,"Tulsa, OK ",94.1 THE BREEZE
Adult Contemporary,KURB,"Little Rock, AR ",B 98.5 FM
Adult Contemporary,KVGS,"Las Vegas, NV ",107.9 BOB FM
Adult Contemporary,KVIL,"Dallas-Ft. Worth, TX ",103.7 KVIL
Adult Contemporary,KVKI,"Shreveport, LA ",96.5 KVKI
Adult Contemporary,KVUU,"Colorado Springs, CO ",MY 99.9
Adult Contemporary,KWAV,"Monterey-Salinas-Santa Cruz, CA ",KWAV 97 FM
Adult Contemporary,KWYE,"Fresno, CA ",Y-101
Adult Contemporary,KXLT,"Boise, ID ",LITE 107.9
Adult Contemporary,KYCH,"Portland, OR ",97.1 CHARLIE FM
Adult Contemporary,KYIS,"Oklahoma City, OK ",KISS 98.9
Adult Contemporary,KYKY,"St. Louis, MO ",Y-98 FM
Adult Contemporary,KYMX,"Sacramento, CA ",MIX 96
Adult Contemporary,KYOT,"Phoenix, AZ ",95.5 THE MOUNTAIN
Adult Contemporary,KYXY,"San Diego, CA ",SOFT ROCK KYXY 96.5
Adult Contemporary,KZJK,"Minneapolis-St. Paul, MN ",104.1 JACK FM
Adult Contemporary,KZPT,"Kansas City, MO-KS ",99.7 THE POINT
Adult Contemporary,KZZO,"Sacramento, CA ",NOW 100.5
Adult Contemporary,KZZU,"Spokane, WA ",92.9 ZZU
Adult Contemporary,MCAC,Networks,MC MUSIC CHOICE - SOFT ROCK
Adult Contemporary,SXBL,Networks,SIRIUS XM - THE BLEND
Adult Contemporary,SXPL,Networks,SIRIUS XM - THE PULSE
Adult Contemporary,WAHR,"Huntsville, AL ",STAR 99.1
Adult Contemporary,WAJI,"Ft. Wayne, IN ",BEST-FM
Adult Contemporary,WALK,"Nassau-Suffolk, NY ",WALK 97.5 LONG ISLAND'S BEST VARIETY
Adult Contemporary,WARH,"St. Louis, MO ",106.5 THE ARCH
Adult Contemporary,WARM,"York, PA ",WARM 103.3
Adult Contemporary,WARQ,"Columbia, SC ",Q93.5
Adult Contemporary,WASH,"Washington, DC ",97.1 WASH-FM
Adult Contemporary,WBEB,"Philadelphia, PA ",MORE FM
