KABN-FM,89.5 FM,Kasilof,"Alaska Educational Radio System, Inc.",College
KAFC,93.7 FM,Anchorage,"Christian Broadcasting, Inc.",Contemporary Christian
KAGV,1110 AM,Big Lake,"Voice for Christ Ministries, Inc.",Religious
KAKI,88.1 FM,Juneau,Educational Media Foundation,
KAKL,88.5 FM,Anchorage,Educational Media Foundation,Contemporary Christian
KAKN,100.9 FM,Naknek,Bay Broadcasting Company,Contemporary Christian/Southern Gospel
KAKQ-FM,101.1 FM,Fairbanks,Capstar TX LLC,Adult Contemporary
KALG,98.1 FM,Kaltag,Big River Public Broadcasting Corporation,
KASH-FM,107.5 FM,Anchorage,Capstar TX LLC,Country
KATB,89.3 FM,Anchorage,"Christian Broadcasting, Inc.",Religious
KAUG,89.9 FM,Anchorage,Anchorage School District,Variety
KAYO,100.9 FM,Wasilla,"MCC Radio, LLC",Classic Country
KBBI,890 AM,Homer,Kachemak Bay Broadcasting Inc,Public Radio
KBBO-FM,92.1 FM,Houston,OMG FCC Licenses LLC,Adult Hits
KBFX,100.5 FM,Anchorage,Capstar TX LLC,Classic Rock
KBJZ-LP,94.1 FM,Juneau,Gastineau Broadcasting Corporation,Jazz
KBKO,88.3 FM,Kodiak,"Sacred Heart Radio, Inc.",
KBRJ,104.1 FM,Anchorage,"MCC Radio, LLC",Country
KBRW,680 AM,Barrow,"Silakkuagvik Communications, Inc.",Variety
KBRW-FM,91.9 FM,Barrow,"Silakkuagvik Communications, Inc.",Public Radio
KBUQ,91.9 FM,Buckland,"Kotzebue Broadcasting, Inc.",
KBYR,700 AM,Anchorage,OMG FCC Licenses LLC,News Talk Information
KCAM,790 AM,Glennallen,Alaska Bible College,Religious
KCAM-FM,88.7 FM,Glennallen,Alaska Bible College,
KCAW,104.7 FM,Sitka,"Raven Radio Foundation, Inc.",Public Radio
KCBF,820 AM,Fairbanks,"Last Frontier Mediactive, LLC",Sports
KCDV,100.9 FM,Cordova,"Bayview Communications, Inc.",Adult Contemporary
KCHU,770 AM,Valdez,"Terminal Radio, Inc.",Variety
KCUK,88.1 FM,Chevak,Kashunamiut School District,Educational
KDFJ-LP,105.9 FM,Fairbanks,"Hope Chapel, Inc., d/b/a Calvary Chapel North Star",
KDHS-LP,95.5 FM,Delta Junction,Delta/Greely School District,Variety
KDJF,93.5 FM,Ester,Tanana Valley Television Company,Country
KDLG,670 AM,Dillingham,Dillingham City Schools,Variety
KDLG-FM,89.9 FM,Dillingham,Dillingham City School District,
KDLL,91.9 FM,Kenai,"Pickle Hill Public Broadcasting, Inc.",Public Radio
KDRG,91.9 FM,Deering,"Kotzebue Broadcasting, Inc.",
KEAA-LP,97.9 FM,Eagle,Eagle Community School,High School
KEAG,97.3 FM,Anchorage,"MCC Radio, LLC",Classic Hits
KEDI,98.3 FM,Bethel,Strait Media LLC,
KENI,650 AM,Anchorage,Capstar TX LLC,News Talk Information
KEUL,88.9 FM,Girdwood,Girdwood Community Club Inc,Variety
KFAR,660 AM,Fairbanks,"Last Frontier Mediactive, LLC",News Talk Information
KFAT,92.9 FM,Anchorage,OMG FCC Licenses LLC,Rhythmic Top-40
KFBX,970 AM,Fairbanks,Capstar TX LLC,News Talk Information
KFMJ,99.9 FM,Ketchikan,"TLP Communications, Inc.",Oldies/Classic Rock
KFQD,750 AM,Anchorage,"MCC Radio, LLC",News Talk Information
KFSE,106.9 FM,Kasilof,"KSRM, Inc.",Active Rock
KFSK,100.9 FM,Petersburg,Narrows Broadcasting Corp.,Public Radio
KGOT,101.3 FM,Anchorage,Capstar TX LLC,Pop Contemporary Hit Radio
KGTL,620 AM,Homer,"Peninsula Communications, Inc.",Adult Standards/MOR
KGTW,106.7 FM,Ketchikan,"Alaska Broadcast Communications, Inc.",Country
KGYA,90.5 FM,Grayling,Kuskokwim Public Broadcasting Corporation,
KHAR,590 AM,Anchorage,"MCC Radio, LLC",Sports
KHNS,102.3 FM,Haines,Lynn Canal Broadcasting,Variety
KHOO,90.7 FM,Hoonah,Hoonah City School District,
KHUS,98.1 FM,Huslia,Big River Public Broadcasting Corporation,
KIAK-FM,102.5 FM,Fairbanks,Capstar TX LLC,Country
KIAM,630 AM,Nenana,"Voice of Christ Ministries, Inc.",Religious
KIAM-FM,91.9 FM,North Nenana,"Voice for Christ Ministries, Inc",Religious
KIAN,91.9 FM,Kiana,"Kotzebue Broadcasting, Inc.",
KIAO,90.3 FM,Delta Junction,Delta Junction Seventh-Day Adventist Church,
KIBH-FM,91.7 FM,Seward,"Kenai Educational Media, Inc.",
KICY,850 AM,Nome,Arctic Broadcasting Association,Southern Gospel
KICY-FM,100.3 FM,Nome,Arctic Broadcasting Association,Contemporary Christian
KIEA,91.9 FM,Selawik,"Kotzebue Broadcasting, Inc.",
KIFW,1230 AM,Sitka,"Alaska Broadcast Communications, Inc.",Full Service
KINU,89.9 FM,Kotzebue,Kotzebue Broadcasting Inc.,
KINY,800 AM,Juneau,"Juneau Alaska Communications, LLC",Full Service
KIYU,910 AM,Galena,Big River Public Broadcasting Corp.,Variety
KIYU-FM,97.1 FM,Galena,Big River Public Broadcasting Corporation,
KJHA,88.7 FM,Houston,"Evangelistic Alaska Missionary Fellowship, Inc.",Gospel
KJLP,88.9 FM,Palmer,"Christian Broadcasting, Inc.",Religious
KJNO,630 AM,Juneau,"Alaska Broadcast Communications, Inc.","News/Talk, Sports"
KJNP,1170 AM,North Pole,"Evangelistic Alaska Missionary Fellowship, Inc.",Religious
KJNP-FM,100.3 FM,North Pole,"Evangelistic Alaska Missionary Fellowship, Inc.",Religious
KJNR,91.9 FM,Bethel,New Life Tabernacle Homer AK,
KKED,104.7 FM,Fairbanks,Capstar TX LLC,Active Rock
KKIS-FM,96.5 FM,Soldotna,"KSRM, Inc.",Hot Adult Contemporary
KKNI,1430 AM,"Wasilla, Alaska",Kenai Broadcasting LLC,
