KRLE,89.7 FM,Carbon Hill,Educational Media Foundation,Contemporary Christian (K-LOVE)
WAAO-FM,103.7 FM,Andalusia,"Three Notch Communications, LLC",Country
WAAX,570 AM,Gadsden,Capstar TX LLC,News Talk Information
WABD,97.5 FM,Mobile,Cumulus Licensing LLC,Pop Contemporary Hit Radio
WABF,1220 AM,Fairhope,"Gulf Coast Broadcasting Company, Inc",Adult Standards/Soft AC
WACQ,580 AM,Tuskegee,"Tiger Communications, Inc.",Classic Hits
WACT,1420 AM,Tuscaloosa,Capstar TX LLC,Urban Gospel
WACV,93.1 FM,Coosada,"Liberty Acquisitions 825, LLC",News/Talk
WAFN-FM,92.7 FM,Arab,"Fun Media Group, Inc.",Oldies
WAGF,1320 AM,Dothan,"Wilson Broadcasting Co., Inc.",Urban Talk
WAGF-FM,101.3 FM,Dothan,"Wilson Broadcasting Co., Inc.","R&B, Motown oldies, blues, gospel music, & sports"
WAGG,610 AM,Birmingham,"SM-WAGG, LLC",Urban Gospel
WAGH,101.3 FM,Smiths,"CC Licenses, LLC",Urban Contemporary
WAHR,99.1 FM,Huntsville,"BCA Radio, LLC, Debtor-in-Possession",Hot Adult Contemporary
WAKD,89.9 FM,Sheffield,American Family Association,Religious (AFR)
WALJ,105.1 FM,Northport,"Apex Broadcasting, Inc.",Mainstream Urban
WALN,89.3 FM,Carrollton,American Family Association,Religious (AFR)
WALQ,1130 AM,Carrville,"Westburg Broadcasting Montgomery, LLC",Oldies
WALW-LP,98.3 FM,Moulton,"Community Information And Education Radio, Inc.",Adult Album Alternative
WALX,100.9 FM,Orrville/Selma,"Scott Communications, Inc.",Classic Hits
WAMI,860 AM,Opp,"The Opp Broadcasting Co., Inc.",Gospel
WAMI-FM,102.3 FM,Opp,"The Opp Broadcasting Co., Inc.",Country
WANI,1400 AM,Opelika,"Auburn Network, Inc.",News Talk Information
WAOQ,100.3 FM,Brantley,"Alatron Corporation, Inc.",Country
WAPI,1070 AM,Birmingham,"Radio License Holding CBC, LLC",News Talk Information
WAPR,88.3 FM,Selma,Ua-Asu-Tsu Educational Radio Corp.,Public Radio
WAQG,91.7 FM,Ozark,American Family Association,Religious (AFR)
WAQU,91.1 FM,Selma,American Family Association,Religious (AFR)
WASG,540 AM,Daphne,Alabama Radio Corporation,Religious
WATV,900 AM,Birmingham,"MCL/MCM Alabama, LLC",Rhythmic Oldies
WAUD,1230 AM,Auburn,"Tiger Communications, Inc.",Sports/Talk
WAUF-LP,104.5 FM,Auburn,"Core Radio Ministry, Inc.",Christian Contemporary
WAVH,106.5 FM,Daphne,"Bigler Broadcasting, LLC",Talk
WAVU,630 AM,Albertville,"Sand Mountain Broadcasting Service, Inc.",Gospel
WAXU,91.1 FM,Troy,American Family Association,Religious (AFR)
WAYE,1220 AM,Birmingham,"Rivera Communications, LLC",Gospel
WAYH,88.1 FM,Harvest,"Way Media, Inc.",Christian Contemporary
WAYU,91.1 FM,Steele,"Way Media, Inc.",
WBAM-FM,98.9 FM,Montgomery,"Bluewater Broadcasting Company, LLC",Country
WBCF,1240 AM,Florence,"Benny Carle Broadcasting, Inc.",News Talk Information
WBEI,101.7 FM,Reform,"Townsquare Media Tuscaloosa License, LLC",Hot Adult Contemporary
WBFA,98.3 FM,Fort Mitchell,"Aloha Station Trust, LLC",Urban Contemporary
WBFR,89.5 FM,Birmingham,"Family Stations, Inc.",Religious
WBHJ,95.7 FM,Midfield,"SM-WBHJ, LLC",Rhythmic Contemporary
WBHK,98.7 FM,Warrior,"SM-WBHK, LLC",Urban Adult Contemporary
WBHM,90.3 FM,Birmingham,"Board of Trustees, University of Alabama at Birmingham",Public Radio
WBHP,1230 AM,Huntsville,Capstar TX LLC,News Talk Information
WBHY,840 AM,Mobile,"Goforth Media, Inc.",Religious
WBHY-FM,88.5 FM,Mobile,"Goforth Media, Inc.",Christian Contemporary
WBIB,1110 AM,Centreville,James Deloach,Christian
WBLX-FM,92.9 FM,Mobile,Cumulus Licensing LLC,Mainstream Urban
WBMH,106.1 FM,Grove Hill,"Capital Assets, Inc",Country
WBNB,91.3 FM,Equality,The Power Foundation,
WBNM,1050 AM,Alexander City,Jimmy Jarrell,Oldies
WBPT,106.9 FM,Homewood,"SM-WBPT, LLC",Classic Hits
WBSA,1300 AM,Boaz,"Watkins Broadcasting, Inc.",Religious
WBTG,1290 AM,Sheffield,"Slatton & Associates Broadcasters, Inc.",Southern Gospel/Religious
WBTG-FM,106.3 FM,Sheffield,"Slatton & Associates Broadcasters, Inc.",Southern Gospel/Religious
WBXR,1140 AM,Hazel Green,"New England Communications, Inc.",Religious
WBZR-FM,105.9 FM,Atmore,"Gulf Coast Broadcasting Company, Inc.",Country
WCKA,810 AM,Jacksonville,"Alabama 810, LLC",Classic Country
WCKF,100.7 FM,Ashland,"WCKF, L.L.C.",Country
WCKS,102.7 FM,Fruithurst,"WCKS, LLC",Hot Adult Contemporary
WCNF,700 AM,Dothan,"Alarado Media, LLC",News Talk Sports
WCRL,1570 AM,Oneonta,"Our Town Radio, Inc.",Oldies
WCSN-FM,105.7 FM,Orange Beach,"Gulf Coast Broadcasting Company, Inc",Classic Hits
WDBT,93.7 FM,Hartford,"Gulf South Communications, Inc.",Country
WDGM,99.1 FM,Greensboro,"Townsquare Media Tuscaloosa License, LLC",Sports
WDJC-FM,93.7 FM,Birmingham,"Kimtron, Inc.",Christian Contemporary
WDJL,1000 AM,Huntsville,"Gospel Explosion Ministries, LLC",Urban Contemporary
WDJR,96.9 FM,Enterprise,"Gulf South Communications, Inc.",Classic Country
WDLG,90.1 FM,Thomasville,Divine Word Communications,Christian Contemporary
WDLT-FM,104.1 FM,Saraland,Cumulus Licensing LLC,Urban Contemporary
WDNG,1450 AM,Anniston,"WDNG, Inc.",News Talk Information
WDRM,102.1 FM,Decatur,Capstar TX LLC,Country
WDWZ,89.3 FM,Andalusia,B. Jodan Communications Corporation,
WDXB,102.5 FM,Jasper/Pelham,Capstar TX LLC,Country
WDXX,100.1 FM,Selma,"Broadsouth Communications, Inc.",Country
WDXZ,1000 AM,Robertsdale,"Gulf Coast Broadcasting Company, Inc.",Sports
WDYF,90.3 FM,Dothan,"Faith Broadcasting, Inc",Religious
WDYG,1450 AM,Dothan,Larry Williams,Talk
WEBJ,1240 AM,Brewton,"Brewton Broadcasting, Inc.",News Talk Information
WEBT,91.5 FM,Langdale,Langdale Educational Broadcasting Foundation,Religious
WECB,105.3 FM,Headland,"Alabama Media, LLC",Country
WEGL,91.1 FM,Auburn,Board of Trustees Auburn University,College Radio
WEIS,990 AM,Centre,"Baker Enterprises, Inc.",Country
