KAAB,1130 AM,Batesville,"WRD Entertainment, Inc.",Classic Hits
KAAY,1090 AM,Little Rock,"Radio License Holding CBC, LLC",Brokered/Christian
KABF,88.3 FM,Little Rock,Arkansas Broadcasting Foundation Inc,Community
KABZ,103.7 FM,Little Rock,"Signal Media of Arkansas, Inc",Talk/Personality
KAGH,800 AM,Crossett,"Ashley County Broadcasters, Inc.",Oldies
KAGH-FM,104.9 FM,Crossett,"Ashley County Broadcasters, Inc.",Country
KAGL,93.3 FM,El Dorado,Noalmark Broadcasting Corporation,Classic Rock
KAKJ,105.3 FM,Marianna,L.T. Simes II & Raymond Simes,Urban Adult Contemporary
KAKS,99.5 FM,Goshen,"Carroll County Broadcasting, Inc.",Sports
KAKV,88.9 FM,El Dorado,Educational Media Foundation,Christian
KALR,91.5 FM,Hot Springs,Educational Media Foundation,Christian
KAMD-FM,97.1 FM,Camden,"Radio Works, Inc.",Adult Contemporary
KAMJ,93.9 FM,Gosnell,"Phoenix Broadcasting Group, Inc.",Hip Hop
KAMO-FM,94.3 FM,Rogers,Cumulus Licensing LLC,Country
KAMS,95.1 FM,Mammoth Spring,"E-Communications, LLC",Country
KANX,91.1 FM,Sheridan,American Family Association,Religious
KAOG,90.5 FM,Jonesboro,American Family Association,Religious
KAOW,88.9 FM,Fort Smith,American Family Association,Religious
KAPG,88.1 FM,Bentonville,American Family Association,Religious
KARH,88.1 FM,Forrest City,American Family Association,Religious
KARN,920 AM,Little Rock,"Radio License Holding CBC, LLC",Sports
KARN-FM,102.9 FM,Sheridan,"Radio License Holding CBC, LLC",News/Talk
KARV,610 AM,Russellville,"Kerm, Inc..",News/Talk
KARV-FM,101.3 FM,Ola,Kerm Inc,News/Talk
KASR,92.7 FM,Vilonia,Creative Media Incorporated,Sports
KASU,91.9 FM,Jonesboro,Arkansas State University,Public radio/News/Classical/Jazz
KAVH,101.5 FM,Eudora,Joel J. Kinlow,
KAWW,1370 AM,Heber Springs,"Crain Media Group, LLC",News/Sports/Talk
KAYH,89.3 FM,Fayetteville,"Community Broadcasting, Inc.",Southern Gospel
KBAP,88.1 FM,Batesville,Tony V. Hammack Ministries,
KBBQ-FM,102.7 FM,Van Buren,Cumulus Licensing LLC,Rhythmic Contemporary
KBCM,88.3 FM,Blytheville,American Family Association,Religious
KBCN-FM,104.3 FM,Marshall,"Pearson Broadcasting of Marshall, Inc.",Sports
KBDO,91.7 FM,Des Arc,American Family Association,Religious
KBFC,93.5 FM,Forrest City,"Forrest City Broadcasting Co., Inc.",Country
KBGB,105.7 FM,Magness,"Crain Media Group, LLC",Adult Contemporary
KBHC,1260 AM,Nashville,"Arklatex Radio, Inc.",Oldies/Adult Standards
KBHN,89.7 FM,Booneville,"Vision Ministries, Inc.",Contemporary Christian
KBHS,1420 AM,Hot Springs,Noalmark Broadcasting Corporation,
KBJT,1590 AM,Fordyce,"KBJT, Inc.",
KBKG,93.5 FM,Corning,"Shields-Adkins Broadcasting, Inc.",Adult Contemporary
KBMJ,89.5 FM,Heber Springs,American Family Association,
KBNV,90.1 FM,Fayetteville,American Family Association,Contemporary Christian
KBOA-FM,105.5 FM,Piggott,Pollack Broadcasting Co.,Hot Adult Contemporary
KBPB,91.9 FM,Harrison,"New Life Evangelistic Center, Inc.",
KBPU,88.7 FM,De Queen,Board of Trustees of the University of Arkansas,Contemporary Inspirational
KBPW,88.1 FM,Hampton,American Family Association,
KBRI,1570 AM,Brinkley,"East Arkansas Broadcasters, Inc.",
KBSA,90.9 FM,El Dorado,"Bd Supervisors,",Public radio
KBTA,1340 AM,Batesville,"WRD Entertainment, Inc.",
KBTA-FM,99.5 FM,Batesville,"WRD Entertainment, Inc.",Contemporary Hit Radio
KBTM,1230 AM,Jonesboro,"East Arkansas Broadcasters of Jonesboro, LLC",
KBVA,106.5 FM,Bella Vista,Gayla Joy Hendren,Easy Listening
KBYB,101.7 FM,Hope,"Texarkana Radio Center Licenses, LLC",Country
KCAB,980 AM,Dardanelle,"EAB of Russellville, LLC",
KCAC,89.5 FM,Camden,Southern Arkansas University Tech,Alternative rock
KCAT,1340 AM,Pine Bluff,Mondy Burke Smith Broadcasting Network,
KCAV,90.3 FM,Marshall,Christian Broadcasting Group of Mountain Home,Christian
KCCB,1260 AM,Corning,"Shields-Adkins Broadcasting, Inc.",
KCCJ-LP,102.3 FM,Batesville,"Jubilee Family Church, Inc.",Religious
KCGS,960 AM,Marshall,"Kiefer Retirement Services, Inc.",Country
KCJC,102.3 FM,Dardanelle,"EAB of Russellville, LLC",Country
KCJF,103.9 FM,Earle,Catherine Joanna Flinn,Sports
KCLT,104.9 FM,West Helena,West Helena Broadcasters Inc.,Urban Adult Contemporary
KCMC-FM,94.3 FM,Viola,Malvern Entertainment Corporation,Classic Country
KCMH,91.5 FM,Mountain Home,"Christian Broadcasting Group of Mountain Home, Inc",Christian radio
KCNY,107.1 FM,Greenbrier,"Crain Media Group, LLC",Country
KCTT-FM,101.7 FM,Yellville,"KTLO, L.L.C.",
KCWD,96.1 FM,Harrison,"Harrison Radio Stations, Inc.",Classic Hits
KCXY,95.3 FM,East Camden,"Radio Works, Inc.",Mainstream Country
KCYT,96.7 FM,Fayetteville,"Hog Radio, Inc.",Country
KDEL-FM,100.9 FM,Arkadelphia,"Southwest Arkansas Media, LLC",Country
KDEW-FM,97.3 FM,De Witt,"Arkansas County Broadcasters, Inc.",Country
KDIS-FM,99.5 FM,Little Rock,"South Texas Broadcasting, Inc.",Christian radio
KDJE,100.3 FM,Jacksonville,"CC Licenses, LLC",Modern Rock
KDMS,1290 AM,El Dorado,"Jadon Broadcasting, Inc.",
KDNY-LP,94.7 FM,Hope,Iglesia Fuente de Agua Viva,
KDQN,1390 AM,De Queen,"Bunyard Broadcasting, Inc.",
KDQN-FM,92.1 FM,De Queen,"Bunyard Broadcasting, Inc.",Country
KDRS,1490 AM,Paragould,"Mor Media, Inc.",Premiere Radio
KDRS-FM,107.1 FM,Paragould,"Mor Media, Inc.",Adult Hits
