KAAA,1230 AM,Kingman,"Cameron Broadcasting, Inc.",News/Talk/Information
KAFF,930 AM,Flagstaff,"Flagstaff Radio, Inc.",Classic Country
KAFF-FM,92.9 FM,Flagstaff,"Flagstaff Radio, Inc.",Country
KAHM,102.1 FM,Prescott,"Southwest FM Broadcasting Co., Inc.",Easy Listening
KAIC,88.9 FM,Tucson,"Calvary Chapel of Tucson, Inc.",Contemporary Christian
KAIH,89.3 FM,Lake Havasu City,Educational Media Foundation,Contemporary Christian
KAJM,104.3 FM,Camp Verde,"Sierra H. Broadcasting, Inc.",Urban Adult Contemporary
KAPR,930 AM,Douglas,"Sonora Broadcasting, LLC",Talk
KASA,1540 AM,Phoenix,"KASA Radio Hogar, Inc.",Spanish Religious
KATO,1230 AM,Safford,"McMurray Communications, Inc.",News/Talk/Sports
KAVV,97.7 FM,Benson,"Stereo 97, Inc.",Country
KAWC,1320 AM,Yuma,Arizona Western College,Public Radio
KAWC-FM,88.9 FM,Yuma,Arizona Western College,Public Radio
KAWN,91.3 FM,Winslow,American Family Association,
KAWP,88.9 FM,Parker,Arizona Western College,
KAZG,1440 AM,Scottsdale,"Phoenix FCC License Sub, LLC",Oldies
KAZM,780 AM,Sedona,Tabback Broadcasting Co.,News/Talk/Sports
KBAQ,89.5 FM,Phoenix,Maricopa County Community College District,Classical/Public Radio
KBLU,560 AM,Yuma,EDB Yuma License LLC,News/Talk/Sports
KBMB,710 AM,Black Canyon City,"Entravision Holdings, LLC",Spanish Sports
KBMH,90.3 FM,Holbrook,American Family Association,Contemporary Christian
KBRP-LP,96.1 FM,Bisbee,"Bisbee Radio Project, Inc",Variety
KBSZ,1260 AM,Apache Junction,1TV.com,Classic Hits
KBTK,105.1 FM,Kachina Village,Grenax Broadcasting II LLC,Talk
KBUX,94.3 FM,Quartzsite,Marvin Vosper,Classic Hits
KCDQ,95.3 FM,Douglas,"Cochise Broadcasting, LLC",Adult Contemporary
KCDX,103.1 FM,Florence,Desert West Air Ranchers Corporation,Classic Rock
KCEC-FM,104.5 FM,Wellton,"Farmworkers Educational Radio Network, Inc.",Regional Spanish
KCEE,690 AM,Tucson,"Good News Broadcasting, Inc.",Adult Standards
KCFY,88.1 FM,Yuma,"Relevant Media, Inc.",Contemporary Christian/Religious
KCKO,107.9 FM,Rio Rico,JJS Media LLC,
KCKY,1150 AM,Coolidge,Cortaro Broadcasting Corporation,Spanish Religious
KCMA-LP,98.5 FM,Payson,"Payson Classical Music Association, Inc.",
KCMT,92.1 FM,Green Valley,Arizona Lotus Corp.,Regional Spanish
KCUB,1290 AM,Tucson,"Radio License Holding CBC, LLC",Sports
KCUZ,1490 AM,Clifton,Cochise Broadcasting LLC,Silent
KCWG-LP,100.3 FM,Crown King,"Bradshaw Mountain Broadcasting, Inc.",
KCYK,1400 AM,Yuma,"Monstermedia, LLC",Classic Country
KDAP,1450 AM,Douglas,Howard N. Henderson,Spanish Religious
KDAP-FM,96.5 FM,Douglas,Howard N. Henderson,Country
KDDL,94.3 FM,Chino Valley,"Prescott Valley Broadcasting Co., Inc.",Country
KDJI,1270 AM,Holbrook,"Petracom Of Holbrook, LLC",News/Talk/Sports
KDKB,93.3 FM,Mesa,"Phoenix FCC License Sub, LLC",Alternative Rock
KDUS,1060 AM,Tempe,"Phoenix FCC License Sub, LLC",Sports
KDVA,106.9 FM,Buckeye,"Entravision Holdings, LLC",Spanish Contemporary Hit Radio
KEMP,99.3 FM,Payson,"Kemp Communications, Inc.",Classic Hits
KESZ,99.9 FM,Phoenix,"CC Licenses, LLC",Adult Contemporary
KEVT,1210 AM,Sahuarita,One Mart Corporation,PowerTalk Talk/Sports
KEXX,103.9 FM,Gilbert,"Riviera Broadcasting, LLC",Hot AC
KFFN,1490 AM,Tucson,Journal Broadcast Corporation,Sports
KFLG,1000 AM,Bullhead City,"Cameron Broadcasting, Inc.",Adult Standards
KFLR-FM,90.3 FM,Phoenix,"Family Life Broadcasting, Inc.",Contemporary Christian
