KAAT,103.1 FM,Oakhurst,"Casa Media Partners, LLC",Regional Mexican
KABC,790 AM,Los Angeles,Radio License Holdings LLC,News/Talk
KABX-FM,97.5 FM,Merced,"Mapleton License of Merced, LLC",Adult Contemporary
KADV,90.5 FM,Modesto,Central Valley Christian Academy,Christian radio
KAEH,100.9 FM,Beaumont,"Casa Media Partners, LLC",Regional Mexican
KAFY,1100 AM,Bakersfield,"La Favorita Radio Network, Inc.",Spanish Oldies
KAHI,950 AM,Auburn,IHR Educational Broadcasting,News/Talk
KAHZ,1600 AM,Pomona,"Multicultural Radio Broadcasting Licensee, LLC",Chinese
KAIB,89.5 FM,Shafter,Educational Media Foundation,Christian Hits (Air 1)
KAIS,90.7 FM,Tracy,Educational Media Foundation,Christian Hits (Air 1)
KAJK,96.3 FM,Susanville,Thomas Huth Revocable Living Trust,Adult Hits
KAJR,95.9 FM,Indian Wells,"RM Broadcasting, LLC",Soft Adult Contemporary
KAKX,89.3 FM,Mendocino,Mendocino Unified School District,Variety
KALF,95.7 FM,Red Bluff,"Mapleton License of Chico, LLC",Country
KALI,900 AM,West Covina,"Transition Radio, LLC, Trustee",Spanish Variety
KALI-FM,106.3 FM,Santa Ana,"KALI-FM Licensee, LLC",Vietnamese
KALT-FM,106.5 FM,Alturas,Woodrow Michael Warren,Classic Rock
KALW,91.7 FM,San Francisco,San Francisco Unified School Dist.,News/Talk
KALX,90.7 FM,Berkeley,University of California,College Radio
KALZ,96.7 FM,Fowler,Capstar TX LLC,Talk
KAMB,101.5 FM,Merced,Central Valley Broadcasting Co. Inc.,Contemporary Christian
KAMP-FM,97.1 FM,Los Angeles,CBS Radio East Inc.,Rhythmic Contemporary
KAPU-LP,104.7 FM,Watsonville,Ohana De Watsonville,Hawaiian
KARA,99.1 FM,Williams,Educational Media Foundation,Christian Hits (Air 1)
KARC,89.3 FM,Moss Beach,"Educational Public Radio, Inc.",Adult Hits
KARM,89.7 FM,Visalia,"Harvest Broadcasting Company, Inc.",Contemporary Christian
KARQ,89.3 FM,San Andreas,Educational Media Foundation,Christian Hits (Air 1)
KASK,91.5 FM,Fairfield,Continuous Bible Talk,Christian Talk
KATA,1340 AM,Arcata,"Bicoastal Media Licenses II, LLC",Sports (ESPN)
KATD,990 AM,Pittsburg,"Way Broadcasting Licensee, LLC",Spanish brokered
KATJ-FM,100.7 FM,George,EDB VV License LLC,Country
KATM,103.3 FM,Modesto,"Radio License Holding CBC, LLC",Country
KATY-FM,101.3 FM,Idyllwild,"All Pro Broadcasting, Inc.",Adult Contemporary
KAVL,610 AM,Lancaster,"Aloha Station Trust, LLC",Sports (FSR)
KAXL,88.3 FM,Greenacres,"Skyride Unlimited, Inc.",Contemporary Praise
KAZA,1290 AM,Gilroy,Radio Fiesta Corp.,Spanish Religious
KAZN,1300 AM,Pasadena,"Multicultural Radio Broadcasting Licensee, LLC",Chinese
KAZU,90.3 FM,Pacific Grove,University Corporation at Monterey Bay,Public Radio
KBAA,103.3 FM,Grass Valley,Adelante Media Of California License LLC,Regional Mexican
KBAY,94.5 FM,Gilroy,"NM License, LLC",Adult Contemporary
KBBF,89.1 FM,Calistoga,"Bilingual Broadcasting Foundation, Inc.",Bilingual Talk
KBBU,93.9 FM,Modesto,Adelante Media Of California License LLC,Regional Mexican
KBBY-FM,95.1 FM,Ventura,Cumulus Licensing LLC,Hot AC
KBCZ,90.1 FM,Boulder Creek,Boulder Creek Recreation & Park District,Variety
KBDG,90.9 FM,Turlock,"Assyrian American Civic Club of Turlock, Inc.",Educational
KBDS,103.9 FM,Taft,"Radio Campesina Bakersfield, Inc.",Regional Mexican
KBEB,92.5 FM,Sacramento,"CC Licenses, LLC",Country
KBES,89.5 FM,Ceres,"Bet Nahrain, Inc.",World Ethnic
KBFP,800 AM,Bakersfield,"CC Licenses, LLC",Comedy
KBFP-FM,105.3 FM,Delano,"CC Licenses, LLC",Spanish Adult Hits
KBHH,95.3 FM,Kerman,"Farmworker Educational Radio Network, Inc.",Regional Mexican
KBHR,93.3 FM,Big Bear City,"Parallel Broadcasting, Inc.",Adult Album Alternative
KBIF,900 AM,Fresno,"Gore-Overgaard Broadcasting, Inc.",World Ethnic
KBIG,104.3 FM,Los Angeles,"AMFM Broadcasting Licenses, LLC",Hot AC
KBJK,100.3 FM,Concow,Thomas Huth Revocable Living Trust,Community Radio
KBKY,94.1 FM,Merced,Radio Alfa y Omega LLC,Spanish Religious
KBLA,1580 AM,Santa Monica,"Multicultural Radio Broadcasting Licensee, LLC",Spanish Variety
KBLF,1490 AM,Red Bluff,Huth-Penney Broadcasting LLC,Adult Standards
KBLO,102.3 FM,Corcoran,CCA License Holdings LLC,Regional Mexican
KBLV,88.7 FM,Tehachapi,Educational Media Foundation,Contemporary Christian (K-LOVE)
KBLX-FM,102.9 FM,Berkeley,"Entercom License, LLC",Urban Adult Contemporary
KBOQ,103.9 FM,Seaside,Mount Wilson FM Broadcasters,Classic Hits
KBOS-FM,94.9 FM,Tulare,Capstar TX LLC,Rhythmic Contemporary
KBOV,1230 AM,Bishop,"Great Country Broadcasting, Inc.",Oldies
KBOX,104.1 FM,Lompoc,"AGM California, Inc.",Adult Hits
KBPK,90.1 FM,Buena Park,Buena Park School District,Educational
KBQB,92.7 FM,Chico,"Results Radio of Chico Licensee, LLC",Adult Hits
KBQF,104.3 FM,McFarland,"Jab Broadcasting, LLC",Spanish Hits
KBRE,92.5 FM,Atwater,"Mapleton License of Merced, LLC",Active Rock
KBRG,100.3 FM,San Jose,Univision Radio License Corp.,Spanish Adult Hits
KBRT,740 AM,Costa Mesa,"Kiertron, Inc.",Christian Talk
KBTW,104.5 FM,Lenwood,"Lazer Licenses, LLC",Regional Mexican
KBUA,94.3 FM,San Fernando,LBI Radio License LLC,Regional Mexican
KBUE,105.5 FM,Long Beach,LBI Radio License LLC,Regional Mexican
KBYN,95.9 FM,Arnold,"La Favorita Radio Network, Inc.",Regional Mexican
KBZT,94.9 FM,San Diego,Lincoln Financial Media Company of California,Modern Rock
KCAA,1050 AM,Loma Linda,"Broadcasting Management Services, Inc",News/Talk
KCAI,89.7 FM,Lodi,Educational Media Foundation,Christian Hits (Air 1)
KCAL,1410 AM,Redlands,"Lazer Licenses, LLC",Regional Mexican
KCAL-FM,96.7 FM,Redlands,SBR Broadcasting Corp.,Rock
KCAN-LP,103.1 FM,Needles,Tri-State Christian Radio,Religious
KCAQ,104.7 FM,Oxnard,Pour Four LLC,Rhythmic Contemporary
KCBC,770 AM,Manteca,"Kiertron, Inc.",Christian radio
KCBL,1340 AM,Fresno,Capstar TX LLC,Sports (FSR)
KCBQ,1170 AM,San Diego,"New Inspiration Broadcasting Company, Inc.",News/Talk
KCBS,740 AM,San Francisco,CBS Radio East Inc.,News
KCBS-FM,93.1 FM,Los Angeles,CBS Radio East Inc.,Adult Hits
KCBX,90.1 FM,San Luis Obispo,"KCBX, Inc.",Public Radio
KCCL,101.5 FM,Woodland,"Results Radio of Chico Licensee, LLC",Classic Hits
KCDU,101.7 FM,Carmel,"Mapleton License of Monterey, LLC",Contemporary Hits
KCDZ,107.7 FM,Twentynine Palms,Morongo Basin Broadcasting Corp.,Hot AC
KCEA,89.1 FM,Atherton,Sequoia Union High School District,Adult Standards
KCEL,96.1 FM,Mojave,"Coloma Mojave, LLC",Regional Mexican
KCEO,1000 AM,Vista,IHR Educational Broadcasting,Catholic
KCEZ,102.1 FM,Los Molinos,"Results Radio of Chico Licensee, LLC",Contemporary Hits
KCFA,106.1 FM,Arnold,"La Favorita Radio Network, Inc.",Regional Mexican
KCFH,89.1 FM,Two Harbors,Catalina Island Conservancy,Silent
KCFJ,570 AM,Alturas,"EDI Media, Inc.",News/Talk
KCHJ,1010 AM,Delano,Lotus Bakersfield Corp.,Ranchera/Norte–o Oldies
KCHO,91.7 FM,Chico,"The Research Foundation, California State University",Public Radio
KCHP-LP,97.1 FM,Arcata,Calvary Chapel of Arcata,Contemporary Christian
KCIV,99.9 FM,Mount Bullion,"Bott Communications, Inc.",Christian radio
KCJH,89.1 FM,Livingston,"Your Christian Companion Network, Inc.",Christian radio
KCJZ,105.3 FM,Cambria,"Adelman Investments, LLC",Adult Hits
KCLB-FM,93.7 FM,Coachella,"MCC Radio, LLC",Rock
KCLM,89.7 FM,Santa Maria,California Lutheran University,Christian radio (Family Radio)
KCLU,1340 AM,Santa Barbara,California Lutheran University,News/Talk
KCLU-FM,88.3 FM,Thousand Oaks,California Lutheran University,Public Radio
KCLZ,95.5 FM,Twentynine Palms,Sunnylands Broadcasting LLC,Rock
KCNO,94.5 FM,Alturas,"EDI Media, Inc.",Country
