KAAI,98.5 FM,Palisade,Educational Media Foundation,Christian Rock
KAFM,88.1 FM,Grand Junction,"Grand Valley Public Radio Co, Inc",Variety
KAJX,91.5 FM,Aspen,Roaring Fork Public Radio,Variety
KALC,105.9 FM,Denver,"Entercom License, LLC",Contemporary Hit Radio
KALQ-FM,93.5 FM,Alamosa,"East Side Broadcasting, LLC",Modern Popular Country
KASF,90.9 FM,Alamosa,Adams State College,Educational
KASP-LP,107.9 FM,Aspen,"Colorado, State Of, Telecom Servs","Low Power, Weather"
KATC-FM,95.1 FM,Colorado Springs,"Radio License Holding CBC, LLC",Country
KATR-FM,98.3 FM,Otis,"Media Logic, LLC",Country
KAVA,1480 AM,Pueblo,"Latino Communications, LLC",Regional Mexican
KAVP,1450 AM,Colona,"WS Communications, LLC",
KAYV,97.1 FM,Crested Butte,"Arkansas Valley Broadcasting, LLC",Classic Rock
KAYW,98.1 FM,Meeker,"Western Slope Communications, L.L.C.",Classic Hits
KBCO,97.3 FM,Boulder,"Citicasters Licenses, Inc.",Adult Album Alternative (AAA)
KBCR,1230 AM,Steamboat Springs,"Cool Radio, LLC",Country
KBCR-FM,96.9 FM,Steamboat Springs,"Cool Radio, LLC",Country
KBDL-LP,107.9 FM,Carbondale,"Colorado, State Of, Telecom Servs",Local NOAA Weather
KBEI,90.5 FM,Brush,"Educational Communications of Colorado Springs, Inc.",
KBIQ,102.7 FM,Manitou Springs,"Bison Media, Inc.",Christian AC
KBJD,1650 AM,Denver,"Salem Media of Colorado, Inc.",Spanish Christian
KBKL,107.9 FM,Grand Junction,"Townsquare Media Grand Junction License, LLC",Oldies
KBLJ,1400 AM,La Junta,"CCR-La Junta IV, LLC",Oldies
KBNO,1280 AM,Denver,"Latino Communications, LLC",Regional Mexican
KBPI,106.7 FM,Denver,"Citicasters Licenses, Inc.",Active Rock
KBUT,90.3 FM,Crested Butte,Crested Butte Mountain Educational Radio Inc,Public radio
KBVC,104.1 FM,Buena Vista,"Three Eagles Communications of Colorado, LLC",Country
KBWA,89.1 FM,Brush,"Way Media, Inc.",Religious
KCBR,1040 AM,Monument,"United States CP, LLC",Variety Hits
KCCS,91.7 FM,Starkville,The Colorado College,
KCCY,1350 AM,Pueblo,"CC Licenses, LLC",Sports
KCCY-FM,96.9 FM,Pueblo,Capstar TX LLC,Country
KCEG,780 AM,Pueblo,Timothy C. Cutforth,
KCFC,1490 AM,Boulder,"Public Broadcasting of Colorado, Inc.",Public/Classical
KCFP,91.9 FM,Pueblo,"Public Broadcasting of Colorado, Inc.",Public/Classical
KCFR-FM,90.1 FM,Denver,"Public Broadcasting of Colorado, Inc.",News
KCIC,88.5 FM,Grand Junction,Pear Park Baptist Schools,Religious
KCIG-LP,99.7 FM,Craig,"Colorado, State Of, Telecom Servs",Local NOAA Weather
KCJX,88.9 FM,Carbondale,"Roaring Fork Public Radio, Inc.",Variety
KCKK,1510 AM,Littleton,Hunt Broadcasting LLC,Adult Hits
KCME,88.7 FM,Manitou Springs,"Cheyenne Mountain Public Broadcast House, Inc",Classical
KCMN,1530 AM,Colorado Springs,"DJR Broadcasting, LLC",Oldies
KCOL,600 AM,Wellington,"Citicasters Licenses, Inc.",News Talk Information
KCRT,1240 AM,Trinidad,"Phillips Broadcasting, Inc.",Country
KCRT-FM,92.5 FM,Trinidad,"Phillips Broadcasting, Inc.",Classic Rock
KCSE,90.7 FM,Lamar,"Kanza Society, Inc.",
