WAAZ-FM,104.7 FM,Crestview,"Crestview Broadcasting Company, Inc.",Country
WACC,830 AM,Hialeah,"Radio Peace Catholic Broadcasting, Inc.",Spanish
WAFC,590 AM,Clewiston,Glades Media Company LLP,Oldies
WAFC-FM,106.1 FM,Okeechobee,"BMZ Broadcasting, LLC",Regional Mexican
WAFZ,1490 AM,Immokalee,Glades Media Company LLP,Spanish
WAFZ-FM,92.1 FM,Immokalee,Glades Media Company LLC,Spanish
WAGE,91.1 FM,Dogwood Lakes Estate,Washington-Holmes Technical Center,Religious
WAIL,99.5 FM,Key West,"Florida Keys Media, LLC",Classic Rock
WAJD,1380 AM,Gainesville,Gillen Broadcasting Corporation,Radio Disney
WAJP,107.7 FM,Perry,"Hispanic Target Media, Inc.",Country
WAKJ,91.3 FM,DeFuniak Springs,"First Baptist Church, Inc.",Religious
WAKU,94.1 FM,Crawfordville,Altrua Investments International Corp.,Contemporary Christian
WAKX,98.7 FM,Palm Coast,"Flagler County Broadcasting, LLC",
WALE,105.5 FM,St. Augustine Beach,"Cortona Media, LLC",Classic Hits
WAMA,1550 AM,Tampa,"WAMA, Inc",Regional Mexican
WAMR-FM,107.5 FM,Miami,WQBA-FM License Corp.,Spanish
WAMT,1190 AM,Pine Castle-sky Lake,"Genesis Communications I, Inc.",Talk
WANK,99.9 FM,Lafayette,"Red Hills Broadcasting, LLC",Adult Hits
WANM,90.5 FM,Tallahassee,Florida A & M University,Urban
WAOA-FM,107.1 FM,Melbourne,Cumulus Licensing LLC,CHR
WAOC,1420 AM,St. Augustine,"Phillips Broadcasting, LLC",Sports
WAPB,91.7 FM,Madison,"Public Radio, Inc.",Religious
WAPE-FM,95.1 FM,Jacksonville,"Cox Radio, Inc.",CHR
WAPN,91.5 FM,Holly Hill,"Public Radio, Inc.",Contemporary Christian
WAPQ-LP,95.9 FM,Avon Park,Highlands Christian Education Station,Religious
WAQI,710 AM,Miami,License Corporation #1,Spanish
WAQV,90.9 FM,Crystal River,"Radio Training Network, Inc.",Religious
WARO,94.5 FM,Naples,Sun Broadcasting Inc.,Classic Rock
WASJ,105.1 FM,Panama City Beach,"Powell Broadcasting Company, L.L.C.",Adult Hits
WAUC,1310 AM,Wauchula,"Marvina Enterprises, Inc.",Regional Mexican
WAVK,97.7 FM,Marathon,"Florida Keys Media, LLC",Hot AC
WAVS,1170 AM,Davie,"Alliance Broadcasting, Inc.",Caribbean
WAVV,101.1 FM,Naples Park,"Alpine Broadcasting Corp., Inc.",Easy Listening
WAVW,92.7 FM,Stuart,Capstar TX LLC,Country
WAXY,790 AM,South Miami,Lincoln Financial Media Company of Florida,Sports
WAXY-FM,104.3 FM,Miramar,Lincoln Financial Media Company of Florida,Sports
WAYF,88.1 FM,West Palm Beach,"Way Media, Inc.",Contemporary Christian
WAYJ,89.5 FM,Naples,"Family Christian Broadcasting Network, Inc.",Contemporary Christian
WAYL,91.9 FM,St. Augustine,Delmarva Educational Association,Contemporary Christian
WAYP,88.3 FM,Marianna,"Way Media, Inc.",Contemporary Christian
WAYR,550 AM,Orange Park,"Good Tidings Trust, Inc.",Religious
WAZQ,89.3 FM,Islamorada,"One Ministries, Inc.",
WBCG,98.9 FM,Murdock,"CC Licenses, LLC",Adult Contemporary
WBGC,1240 AM,Chipley,"Arthur J. Collier, III, Executor",Adult Contemporary
WBGF,93.5 FM,Belle Glade,"BGI Broadcasting, L.P.",Rock
WBGG-FM,105.9 FM,Fort Lauderdale,"Clear Channel Broadcasting Licenses, Inc.",Classic Rock
WBGY,88.1 FM,Naples,"Everglades City Broadcasting Company, Inc.",Country
WBHQ,92.7 FM,Beverly Beach,"Flagler County Broadcasting, LLC",Adult Hits
WBIY,88.3 FM,La Belle,"Oscar Aguero Ministry, Inc.",Religious
WBOB,600 AM,Jacksonville,Chesapeake-Portsmouth Broadcasting Corporation,Talk
WBOF-LP,105.9 FM,Fort Pierce,"Faith Baptist Church of Fort Pierce, Florida, Inc.",Religious
WBPC,95.1 FM,Ebro,"Beach Radio, Inc.",Classic Hits
WBRD,1420 AM,Palmetto,Birach Broadcasting Corporation,Gospel
WBSR,1450 AM,Pensacola,"Easy Media, Inc.",Soft AC
WBTP,95.7 FM,Clearwater,"Clear Channel Broadcasting Licenses, Inc.",Urban
WBTT,105.5 FM,Naples Park,"Clear Channel Broadcasting Licenses, Inc.",Rhythmic Contemporary
WBVL-LP,95.7 FM,Buena Ventura Lakes,"The Broadcasting Group, Inc.",Spanish
