WAAC,92.9 FM,Valdosta,"W.G.O.V., Inc.",Country
WAAK-LP,94.7 FM,Boynton,"Boynton Educational Radio, Inc.",Variety
WABE,90.1 FM,Atlanta,"Board of Education, City of Atlanta",Public Radio
WABR,91.1 FM,Tifton,Georgia Public Telecommunications Commission,Public Radio
WACG-FM,90.7 FM,Augusta,Georgia Public Telecommunications Commission,Public Radio
WAEC,860 AM,Atlanta,WAEC License Limited Partnership,Christian
WAEF,90.3 FM,Cordele,American Family Association,Religious
WAEG,92.3 FM,Evans,"Perry Broadcasting of Augusta, Inc.",Smooth Jazz
WAEV,97.3 FM,Savannah,Capstar TX LLC,Top 40 (CHR)
WAFS,1190 AM,Atlanta,"South Texas Broadcasting, Inc.",Business News Talk
WAFT,101.1 FM,Valdosta,"Christian Radio Fellowship, Inc.",Religious
WAJQ-FM,104.3 FM,Alma,"Blueberry Broadcasting Company, Inc.",Classic Country
WAKB,100.9 FM,Hephzibah,"Perry Broadcasting of Augusta, Inc.",Urban Adult Contemporary
WAKP,89.1 FM,Smithboro,Middle Georgia Community Radio,
WALG,1590 AM,Albany,Cumulus Licensing LLC,News/Talk
WALR-FM,104.1 FM,Greenville,"Cox Radio, Inc.",Urban Adult Contemporary
WAMJ,107.5 FM,Roswell,"ROA Licenses, LLC",Urban Adult Contemporary
WAOK,1380 AM,Atlanta,CBS Radio East Inc.,News/Talk
WAOS,1600 AM,Austell,"La Favorita, Inc.",Regional Mexican
WAQA-LP,94.5 FM,Morganton,Ministry of Faith Association,Religious
WASU-LP,92.7 FM,Albany,Albany State University,College
WASW,91.9 FM,Waycross,American Family Association,Contemporary Christian
WATB,1420 AM,Decatur,"Way Broadcasting Licensee, LLC",World Ethnic
WATG,95.7 FM,Trion,"Tta Broadcasting, Inc",Classic Rock
WATY,91.3 FM,Folkston,"The Foundation for Public Broadcasting in Georgia, Inc.",Public Radio
WAWH,88.3 FM,Dublin,American Family Association,Christian
WAWO,1400 AM,Alma,"Blueberry Broadcasting Company, Inc.",
WAYR-FM,90.7 FM,Brunswick,"Good Tidings Trust, Inc",Contemporary Christian
WAYS,1500 AM,Macon,Cumulus Licensing LLC,Sports Radio
WAYT,88.1 FM,Thomasville,"Way Media, Inc.",Contemporary Christian
WAYX,1230 AM,Waycross,"Satilla Broadcast Properties, LLC",Classic Rock
WAZX,1550 AM,Smyrna,Intelli LLC,Spanish Christian
WAZX-FM,101.9 FM,Cleveland,"WAZX-FM, Inc",Regional Mexican
WBAF,1090 AM,Barnesville,"Ploener Radio Group of Barnesville, LLC",Country
WBBK-FM,93.1 FM,Blakely,"Alabama Media, LLC",Urban Adult Contemporary
WBBQ-FM,104.3 FM,Augusta,Capstar TX LLC,Adult Contemporary
WBBT,1340 AM,Lyons,"T.C.B. Broadcasting, Inc",True Oldies
WBCX,89.1 FM,Gainesville,Brenau College,Variety
WBDX,102.7 FM,Trenton,"Partners For Christian Media, Inc.",Contemporary Christian
WBFC-LP,107.5 FM,Boynton,"Boynton Low Power Broadcasting, Inc.",Gospel
WBGA,1490 AM,Brunswick,"Qantum of Brunswick License Company, LLC",Urban AC
WBGE,101.9 FM,Bainbridge,"Flint Media, Inc.",Hot AC
WBGP,91.3 FM,Moultrie,"Colquitt Community Radio, Inc.",
WBHB,1240 AM,Fitzgerald,"Broadcast South, LLC",Oldies
WBHF,1450 AM,Cartersville,"Anverse, Inc.",
WBHS-LP,104.9 FM,Brunswick,"Glynn County, Georgia",
WBIB-FM,89.1 FM,Forsyth,"Believers in Broadcasting, Inc.",
WBJY,89.3 FM,Americus,American Family Association,Contemporary Christian
WBKG,88.9 FM,Macon,American Family Association,Contemporary Christian
WBLJ,1230 AM,Dalton,"North Georgia Radio Group, L.P.",
WBLY-LP,101.5 FM,Sycamore,"Bethel Baptist Church of Sycamore, Georgia,",
WBML,900 AM,Macon,"Sun Broadcasting, Inc.",Real Country
WBMQ,630 AM,Savannah,Cumulus Licensing LLC,News/Talk
WBMZ,104.9 FM,Metter,"Wm. Jimmy Page, Tr/As Radio Metter",Classic Hits
WBOJ,88.5 FM,Lumpkin,"88.5 the Truth, Inc.",
WBRQ,91.9 FM,La Grange,Ben Jordan Communications Corporation,
WBTR-FM,92.1 FM,Carrollton,"WYAI, Inc.",Country
WBTY,98.7 FM,Homerville,"Southern Broadcasting & Investment Co., Inc.",Oldies
WBUE-LP,96.1 FM,Columbus,"Calvary Christian Life Ministries, Inc.",Contemporary Christian
WBYZ,94.5 FM,Baxley,"South Georgia Broadcasters, Inc.",New Country
WBZY,105.3 FM,Bowdon,"CC Licenses, LLC",Regional Mexican/AC; Tejano
WCCV,91.7 FM,Cartersville,Immanuel Broadcasting Network,Religious
WCDG,88.7 FM,Dahlonega,"Silver Dove Broadcasting, Inc.",
WCEH,610 AM,Hawkinsville,"George Eagle Media, Inc.",Adult Standards
WCEH-FM,98.3 FM,Pinehurst,"Georgia Eagle Media, Inc.",Adult Standards
WCFO,1160 AM,East Point,"JW Broadcasting, Inc.",
WCGA,1100 AM,Woodbine,"Cox Broadcast Group, Inc.",
WCGQ,107.3 FM,Columbus,"PMB Broadcasting, LLC",Top 40 (CHR)
WCHK,1290 AM,Canton,"Davis Broadcasting of Atlanta, L.L.C.",
WCHM,1490 AM,Clarkesville,"WCHM Radio, LLC",
WCHS-LP,102.7 FM,Sylvester,Worth County High School,
WCHZ,1480 AM,Augusta,"WCHZ License, LLC",Mainstream Rock
WCHZ-FM,93.1 FM,Warrenton,"WCHZ License, LLC",Southern Gospel
WCJM-FM,100.9 FM,West Point,"Qantum of Auburn License Company, LLC",Country
WCLA,1470 AM,Claxton,W. Danny Swain,
WCLK,91.9 FM,Atlanta,Clark Atlanta University,Jazz
WCNN,680 AM,North Atlanta,Dickey Broadcasting Company,Sports
WCOH,1400 AM,Newnan,"Citicasters Licenses, Inc.",Sports
WCON,1450 AM,Cornelia,Habersham Broadcasting Company,Country
WCON-FM,99.3 FM,Cornelia,Habersham Broadcasting Co.,Country
WCOQ,90.5 FM,Colquitt,D & K Communications Inc.,
WDAK,540 AM,Columbus,"CC Licenses, LLC",
WDAL,1430 AM,Dalton,"North Georgia Radio Group, L.P.",Sports
WDBG,103.1 FM,Dexter,"RadioJones, LLC",
WDBN,107.9 FM,Wrightsville,Dowdy Partners,Urban Contemporary
WDCY,1520 AM,Douglasville,Word Christian Broadcasting Inc.,Gospel
WDDK,103.9 FM,Greensboro,Wyche Services Corporation,Oldies
WDDO,1240 AM,Macon,Cumulus Licensing LLC,
WDDQ,92.1 FM,Adel,"Smalltown Broadcasting, LLC",Talk
WDEC-FM,94.7 FM,Americus,"Sumter Broadcasting Co., Inc.",Hot Adult Contemporary
WDEN-FM,99.1 FM,Macon,Cumulus Licensing LLC,Modern Country
WDGR,1210 AM,Dahlonega,Hye Cha Kim,
WDMG,860 AM,Douglas,"Broadcast South, LLC",
WDMG-FM,97.9 FM,Ambrose,"Broadcast South, LLC",Hot Adult Contemporary
WDPC,1500 AM,Dallas,"Word Christian Broadcasting, Inc.",Gospel
WDRR,93.9 FM,Martinez,"WGOR License, LLC",Adult Hits
WDRW-LP,107.9 FM,Athens,"Christian Pursuers' Radio, Inc.",Religious
WDUN,550 AM,Gainesville,Jacobs Media Corporation,
WDUN-FM,102.9 FM,Clarkesville,Jacobs Media Corporation,Talk Radio
WDVL-LP,96.7 FM,Dawsonville,OR Communications Inc.,
WDWD,590 AM,Atlanta,"Radio Disney Atlanta, LLC",Radio Disney
WDXQ,1440 AM,Cochran,"Georgia Eagle Media, Inc.",Hot AC
WDYN,980 AM,Rossville,Tennessee Temple University,
WEAM-FM,100.7 FM,Buena Vista,"Davis Broadcasting Inc., of Columbus",Gospel
WEAS-FM,93.1 FM,Springfield,Cumulus Licensing LLC,Mainstream Urban
WEBS,1030 AM,Calhoun,"Radio Webs, Inc.",Oldies
WECC-FM,89.3 FM,Folkston,Lighthouse Christian Broadcasting Corp.,Contemporary Christian
WEDB,98.1 FM,East Dublin,"Radiojones, LLC",Hot Adult Contemporary
WEEZ,89.9 FM,Greensboro,"Community Public Radio, Inc.",
WEGC,107.7 FM,Sasser,Cumulus Licensing LLC,Adult Contemporary
WEKL,102.3 FM,Augusta,"Aloha Station Trust, LLC",Classic Rock
WEKS,92.5 FM,Zebulon,"Legacy Media - South Atlanta, LLC",Country
WEYY,88.7 FM,Tallapoosa,Barnes Evangelistic Ministries,
WEZO,1230 AM,Augusta,"Msbuttoni, LLC",Adult standards
WFAM,1050 AM,Augusta,"J.J. & B. Broadcasting, Inc.",Christian
WFDR,1370 AM,Manchester,"Ploener Radio Group, LLC",Country
WFDR-FM,94.5 FM,Woodbury,"Ploener Radio Group, LLC",
WFFM,105.7 FM,Ashburn,"Plant Broadcasting, LLC",Country
WFNS,1350 AM,Blackshear,Southern Media Interactive LLC,Silent
WFOM,1230 AM,Marietta,Dickey Broadcasting Company,Sports
WFRC,90.5 FM,Columbus,"Family Stations, Inc.",
WFRP,88.7 FM,Americus,"Family Stations, Inc.",Religious
WFSH-FM,104.7 FM,Athens,"South Texas Broadcasting, Inc.",Contemporary Christian
WFSL,90.7 FM,Thomasville,Florida State University Board of Trustees,Classical
