KAGB,99.1 FM,Waimea,Hawai'i,"Pacific Radio Group, Inc.",Adult Contemporary
KAHU,91.7 FM,Pahala,Hawai'i,Hawaii Public Radio,
KAIM-FM,95.5 FM,Honolulu,Oahu,"Salem Media of Hawaii, Inc.",Contemporary Christian
KAKU-LP,88.5 FM,Kahului,Maui,"Maui County Community Television, Inc.",
KANO,91.1 FM,Hilo,Hawai'i,"Hawaii Public Radio, Inc.",Classical
KAOI,1110 AM,Kihei,Maui,"Visionary Related Entertainment, LLC",News Talk Information
KAOI-FM,95.1 FM,Wailuku,Maui,"Visionary Related Entertainment, LLC",Light Adult Contemporary
KAOY,101.5 FM,Kealakekua,Hawai'i,New West Broadcasting Corp.,Adult Contemporary
KAPA,100.3 FM,Hilo,Hawai'i,"Pacific Radio Group, Inc.",Hawaii Adult Contemporary
KAQA,91.9 FM,Kilauea,Hawai'i,"Kekahu Foundation, Inc.",Variety
KBGX,105.3 FM,Keaau,Hawai'i,"Mahalo Broadcasting, L.L.C.",Oldies/Classic Rock
KCCN-FM,100.3 FM,Honolulu,Oahu,"SM-KCCN, LLC",Island Contemporary Hit Radio
KCIF,90.3 FM,Hilo,Hawai'i,Hilo Christian Broadcasting Corp.,Contemporary Christian/Religious
KCIK,740 AM,Kihei,Maui,IHR Educational Broadcasting,
KCSK-LP,102.3 FM,Hanamaulu,Kauai,Kauai Christian Assembly,
KDDB,102.7 FM,Waipahu,Oahu,Ohana Broadcast Company LLC,Rhythmic Contemporary Hit Radio
KDLX,94.3 FM,Makawao,Maui,"Visionary Related Entertainment, LLC",Country
KDNN,98.5 FM,Honolulu,Oahu,Capstar TX LLC,Island Contemporary Hit Radio
KFMN,96.9 FM,Lihue,Kaua'i,FM 97 Associates,Adult Contemporary
KGU,760 AM,Honolulu,Oahu,"Salem Media of Hawaii, Inc.",Religious
KGU-FM,99.5 FM,Honolulu,Oahu,"Salem Media of Hawaii, Inc.",Adult Standards/MOR
KHAI,103.5 FM,Wahiawa,Oahu,Educational Media Foundation,Contemporary Christian
KHBC,92.7 FM,Hilo,Hawai'i,"Resonate Hawaii, LLC",
KHCM,880 AM,Honolulu,Oahu,"Salem Media of Hawaii, Inc.",Country
KHCM-FM,97.5 FM,Honolulu,Oahu,"Salem Media of Hawaii, Inc.",Country
KHEI-FM,107.5 FM,Kihei,Maui,"Visionary Related Entertainment, Inc.",
KHJC,88.9 FM,Lihue,Kaua'i,"Calvary Chapel of Twin Falls, Inc.",Contemporary Christian
KHJZ,93.9 FM,Honolulu,Oahu,Capstar TX LLC,Rhythmic Adult Contemporary
KHKA,1500 AM,Honolulu,Oahu,"Blow Up, LLC",All Sports
KHLO,850 AM,Hilo,Hawai'i,"Pacific Radio Group, Inc.",All Sports
KHNR,690 AM,Honolulu,Oahu,"Salem Media of Hawaii, Inc.",News Talk Information
KHNU,620 AM,Hilo/Kalaoa/Naalehu,Hawai'i,"Mahalo Broadcasting, L.L.C.",
KHPH,88.7 FM,Kailua,Oahu,"Hawaii Public Radio, Inc.",
KHPR,88.1 FM,Honolulu,Oahu,"Hawaii Public Radio, Inc.",Classical
KHRA,1460 AM,Honolulu,Oahu,RK Media Group,Korean
KHVH,830 AM,Honolulu,Oahu,Capstar TX LLC,News Talk Information
KHWI,92.1 FM,Holualoa,Hawai'i,"Resonate Hawaii, LLC",Hawai'ian
KIHL-LP,103.7 FM,Hilo,Hawai'i,Calvary Chapel Hilo,
KIKI,990 AM,Honolulu,Oahu,Capstar TX LLC,News Talk Information
KINE-FM,105.1 FM,Honolulu,Oahu,"SM-KINE, LLC",Traditional Hawaiian
KIOM-LP,98.9 FM,Kaunakakai,Moloka'i,KROS Radio Association,
KIPA,1060 AM,Hilo,Hawai'i,"Resonate Hawaii, LLC",Hawai'ian
KIPH,88.3 FM,Hana,Maui,"Hawaii Public Radio, Inc.",
KIPL,89.9 FM,Lihue,Kaua'i,Cross Roads Christian Fellowship,
KIPM,89.7 FM,Waikapu,Maui,"Hawaii Public Radio, Inc.",
KIPO,89.3 FM,Honolulu,Oahu,"Hawaii Public Radio, Inc.",News Talk Information
KITH,98.9 FM,Kapaa,Kaua'i,"Hochman Hawaii Two, Inc.",Hawai'ian
KJKS,99.9 FM,Kahului,Maui,"Pacific Radio Group, Inc.",Hot Adult Contemporary
KJMD,98.3 FM,Pukalani,Maui,"Pacific Radio Group, Inc.",Rhythmic Contemporary Hit Radio
KJMQ,98.1 FM,Lihue,Kaua'i,"Hochman Hawaii Four, Inc.",Rhythmic Contemporary Hit Radio
KKBG,97.9 FM,Hilo,Hawai'i,"Pacific Radio Group, Inc.",Hot Adult Contemporary
KKCR,90.9 FM,Hanalei,Kaua'i,"Kekahu Foundation, Inc.",Variety
