KACH,1340 AM,Preston,Alan J. White,Adult Contemporary
KAGF-LP,105.5 FM,Twin Falls,Amazing Grace Fellowship,Religious
KAIO,90.5 FM,Idaho Falls,Educational Media Foundation,Religious
KANP,91.3 FM,Ashton,Hi-Line Radio Fellowship Inc.,Christian
KARJ,88.3 FM,Kuna,Educational Media Foundation,Contemporary Christian
KART,1400 AM,Jerome,"KART Broadcasting Co., Inc.",Classic Country
KATW,101.5 FM,Lewiston,Pacific Empire Radio Corporation,Hot Adult Contemporary
KAVY,89.1 FM,McCall,"Idaho Conference of Seventh-Day Adventists, Inc.",
KAWO,104.3 FM,Boise,"Peak Broadcasting of Boise Licenses, LLC",Country
KAWS,89.1 FM,Marsing/Murphy,"Calvary Chapel of Twin Falls, Inc.",Religious
KAWZ,89.9 FM,Twin Falls,Calvary Chapel of Twin Falls,Religious
KBAR,1230 AM,Burley,"Lee Family Broadcasting, Inc.",News Talk Information
KBFI,1450 AM,Bonners Ferry,"Radio Bonners Ferry, Inc.",News Talk Information
KBGN,1060 AM,Caldwell,Nelson M. and Karen E. Wilson,Christian
KBOI,670 AM,Boise,"Radio License Holding CBC, LLC",News/Talk
KBRV,800 AM,Soda Springs,"Flash Broadcasting, LLC",Country
KBSK,89.9 FM,McCall,Idaho State Board of Education,Public Radio; Jazz
KBSM,91.7 FM,McCall,Idaho State Board of Education (Boise State University),Public Radio; Classical
KBSQ,90.7 FM,McCall,Idaho State Board of Education,Public Radio; News/Talk
KBSS,91.1 FM,Sun Valley,Idaho State Board of Education,Public Radio; News/Talk
KBSU-FM,90.3 FM,Boise,Idaho State Board of Education,Public Radio; Classical
KBSW,91.7 FM,Twin Falls,Idaho State Board of Education,Public Radio; Classical
KBSX,91.5 FM,Boise,Idaho State Board of Education,Public Radio; News/Talk
KBSY,88.5 FM,Burley,Idaho State Board of Education,Public Radio; News/Talk
KBWE,91.9 FM,Burley,Idaho Community Action Network,
KBXL,94.1 FM,Caldwell,"Inspirational Family Radio, Inc.",Religious
KBYI,94.3 FM,Rexburg,Brigham Young University - Idaho,College
KBYR-FM,91.5 FM,Rexburg,Brigham Young University - Idaho,Religious
KCDA,103.1 FM,Post Falls,Capstar TX LLC,Hot Adult Contemporary
KCHQ,102.1 FM,Driggs,"Rich Broadcasting Idaho LS, LLC",Country (KID-FM simulcast)
KCID,1490 AM,Caldwell,"SNL Radio, LLC",Spanish Religious
KCIR,90.7 FM,Twin Falls,Faith Communications Corp,Contemporary Christian
KCIX,105.9 FM,Garden City,"Peak Broadcasting of Boise Licenses, LLC",Hot Adult Contemporary
KCVI,101.5 FM,Blackfoot,"Riverbend Communications, LLC",Active Rock
KDBI,101.9 FM,Emmett,Adelante Media of Idaho License LLC,Regional Mexican
KDIL,940 AM,Jerome,Maria Rosario Ortega,Spanish Adult Hits
