KBWX,104.9 FM,Columbia,"Citicasters Licenses, Inc.",Rhythmic CHR
KFNS,590 AM,Wood River,"Grand Slam Sports, LLC",Silent
KSGM,980 AM,Chester,"Donze Communications, Inc.",Country/News/Talk
KUUL,101.3 FM,East Moline,"Citicasters Licenses, Inc.",Pop Contemporary Hit Radio
WAAG,94.9 FM,Galesburg,Galesburg Broadcasting Company,Country
WAED,88.5 FM,Lee,"American Education Foundation, Inc.",
WAES,88.1 FM,Lincolnshire,Adlai E. Stevenson HS Dist. 125,Variety/student-run station
WAIK,1590 AM,Galesburg,"WPW Broadcasting, Inc.",News/Talk
WAIT,850 AM,Crystal Lake,Chicago Newsweb Corporation,Religious
WAJK,99.3 FM,La Salle,La Salle County Broadcasting Corp.,Hot Adult Contemporary
WAKO,910 AM,Lawrenceville,"Lawrenceville Broadcasting Co., Inc.",Adult Contemporary
WAKO-FM,103.1 FM,Lawrenceville,"Lawrenceville Broadcasting Co., Inc.",Adult Contemporary
WALS,102.1 FM,Oglesby,"Laco Radio, Inc.",Country
WAOX,105.3 FM,Staunton,Talley Broadcasting Corporation,Hot AC
WAPO,90.5 FM,Mount Vernon,American Family Association,
WARG,88.9 FM,Summit,Community High School District #217,Alternative
WARH,106.5 FM,Granite City,"St. Louis FCC License Sub, LLC",Adult Hits
WARW,89.5 FM,Dorsey,Educational Media Foundation,AIR 1
WAWF,88.3 FM,Kankakee,"Family Worship Center Church, Inc.",Religious
WAWJ,90.1 FM,Marion,American Family Association,
WAXR,88.1 FM,Geneseo,American Family Association,Religious
WAZU,90.7 FM,Peoria,Sirius Syncope Inc.,
WBBA-FM,97.5 FM,Pittsfield,"DJ Two Rivers Radio, Inc.",Country
WBBE,97.9 FM,Heyworth,"Connoisseur Media Licenses, LLC",Adult Hits
WBBM,780 AM,Chicago,CBS Radio East Inc.,News
WBBM-FM,96.3 FM,Chicago,CBS Radio East Inc.,Rhythmic Top-40
WBCP,1580 AM,Urbana,"P & C Enterprises, Inc.",Urban Adult Contemporary
WBEL,1380 AM,South Beloit,Big Radio,Talk/Sports
WBEL-FM,88.5 FM,Cairo,American Family Association,Religious
WBEQ,90.7 FM,Morris,Chicago Public Media Inc.,Public Radio
WBEZ,91.5 FM,Chicago,Chicago Public Media Inc.,Public Radio
WBGL,91.7 FM,Champaign,"Illinois Bible Institute, Inc",Christian AC
WBGX,1570 AM,Harvey,"Great Lakes Radio-Chicago, LLC",
WBGZ,1570 AM,Alton,"Metroplex Communications, Inc.",News/Talk
WBIG,1280 AM,Aurora,"Big Broadcasting Company, Inc.",Talk/Home Shopping/Sports
