WABX,107.5 FM,Evansville,South Central Communications Corporation,Classic Rock
WAJI,95.1 FM,Fort Wayne,"Sarkes Tarzian, Inc.",Adult Contemporary
WAKE,1500 AM,Valparaiso,"Adams Radio of Northern Indiana, LLC",Oldies
WAMW,1580 AM,Washington,"DLC Media, Inc.",Adult Standards/MOR
WAMW-FM,107.9 FM,Washington,"DLC Media, Inc.",Classic Hits
WAOR,102.7 FM,Ligonier,Pathfinder Communications Corporation,Sports
WAOV,1450 AM,Vincennes,"Old Northwest Broadcasting, Inc.",News/Talk
WARA,88.3 FM,New Washington,Educational Media Foundation,Contemporary Christian
WARU,1600 AM,Peru,"Dream Weaver Marketing, LLC",Adult Hits
WARU-FM,101.9 FM,Roann,"Dream Weaver Marketing, LLC",Adult Hits
WASK,1450 AM,Lafayette,"WASK, Inc.",Sports
WASK-FM,98.7 FM,Battle Ground,"WASK, Inc.",Oldies
WATI,89.9 FM,Vincennes,American Family Association,Southern Gospel
WAUZ,89.1 FM,Greensburg,Good Shepherd Radio Inc,Southern Gospel
WAWC,103.5 FM,Syracuse,"Talking Stick Communications, LLC",Country
WAWK,1140 AM,Kendallville,"Northeast Indiana Broadcasting, Inc.",Classic Hits
WAXI,104.9 FM,Rockville,"DLC Media, Inc.",Oldies
WAXL,103.3 FM,Santa Claus,"Dubois County Broadcasting, Inc.",Adult Contemporary
WAYI,104.3 FM,Charlestown,"Way Media, Inc.",Contemporary Christian
WAZY-FM,96.5 FM,Lafayette,"Artistic Media Partners, Inc.",Contemporary Hits Radio
WBAA,920 AM,West Lafayette,Purdue University,Public Radio
WBAA-FM,101.3 FM,West Lafayette,Purdue University,Public Radio
WBAT,1400 AM,Marion,"Hoosier AM/FM, LLC",Oldies
WBCL,90.3 FM,Fort Wayne,"Taylor University Broadcasting, Inc.",Contemporary Christian
WBCW,89.7 FM,Upland,"Taylor University Broadcasting, Inc.",Contemporary Christian
WBDC,100.9 FM,Huntingburg,"Dubois County Broadcasting, Inc.",Country
WBDG,90.9 FM,Indianapolis,Metropolitan School District of Wayne Township,Variety
WBEW,89.5 FM,Chesterton,Chicago Public Media Inc.,Public Radio
WBGW,101.5 FM,Fort Branch,"Music Ministries, Inc.",Contemporary Christian
WBHW,88.7 FM,Loogootee,"Music Ministries, Inc.",Contemporary Christian
WBIW,1340 AM,Bedford,"Ad-Venture Media, Inc.",News/Talk
WBKE-FM,89.5 FM,North Manchester,Manchester College,College/Public Radio
WBKQ,96.7 FM,Alexandria,Woof Boom Radio Muncie License LLC,Country
WBNI-FM,94.1 FM,Roanoke,"Northeast Indiana Public Radio, Inc.",Public Radio
WBNL,1540 AM,Boonville,"Turpen Communications, LLC",Easy Listening
WBOI,89.1 FM,Fort Wayne,"Northeast Indiana Public Radio, Inc",Public Radio
WBPE,95.3 FM,Brookston,"Artistic Media Partners, Inc.",Adult Hits
WBRI,1500 AM,Indianapolis,"Heritage Christian Radio, Inc.",Religious
WBRO,89.9 FM,Marengo,"Crawford County Community Radio, Inc.",
WBSB,89.5 FM,Anderson,Ball State University,Public Radio
WBSH,91.1 FM,Hagerstown,Ball State University,Public Radio
WBSJ,91.7 FM,Portland,Ball State University,Public Radio
WBST,92.1 FM,Muncie,Ball State University,Public Radio
WBSW,90.9 FM,Marion,Ball State University,Public Radio
WBTO-FM,102.3 FM,Petersburg,"The Original Company, Inc",Classic Rock
WBTU,93.3 FM,Kendallville,"Adams Radio of Fort Wayne, LLC",Country
WBWB,96.7 FM,Bloomington,"Artistic Media Partners, Inc.",Top-40
WBYR,98.9 FM,Woodburn,Pathfinder Communications Corporation,Active Rock
WBYT,100.7 FM,Elkhart,Pathfinder Communications Corporation,Country
WBZQ,1300 AM,Huntington,Fifty Seven Media LLC,Oldies
WCBK-FM,102.3 FM,Martinsville,"Mid-America Radio Group, Inc.",Country
WCDQ,106.3 FM,Crawfordsville,"C.V.L. Broadcasting, Inc.",
WCFY-LP,99.1 FM,Evansville,Christian Fellowship Church Inc,Contemporary Christian
WCJC,99.3 FM,Van Buren,"Hoosier AM/FM, LLC",Country
WCJL,90.9 FM,Morgantown,"Calvary Radio Network, Inc.",Unknown Format
WCJZ,105.7 FM,Cannelton,"Hancock Communications, Inc.",Classic Rock
WCKZ,91.3 FM,Orland,"Star Educational Media Network, Inc.",Contemporary Christian
WCLS,97.7 FM,Spencer,"Mid-America Radio of Indiana, Inc.",Classic Hits
WCMR,1270 AM,Elkhart,"Progressive Broadcasting System, Inc.",Talk
WCNB,91.5 FM,Dayton,Indiana Community Radio Corporation,
WCOE,96.7 FM,La Porte,"Laporte County Broadcasting Co., Inc",Country
WCRT-FM,88.5 FM,Terre Haute,Illinois Bible Institute,Christian AC
WCSI,1010 AM,Columbus,"White River Broadcasting Co., Inc.",News/Talk
WCVL,1550 AM,Crawfordsville,"C.V.L. Broadcasting, Inc.",Oldies
WCYT,91.1 FM,Lafayette Township,Southwest Allen County Schools,Alternative
WDCK,88.9 FM,Oolitic,"Spirit Educational Radio, Inc.",Southern Gospel
WDKE,95.9 FM,Seelyville,"Midwest Communications, Inc.",Classic Country
WDKS,106.1 FM,Newburgh,"Townsquare Media of Evansville/Owensboro, Inc.",Top-40
WDND,1620 AM,South Bend,"Artistic Media Partners, Inc.",Hot AC
WDSO,88.3 FM,Chesterton,Duneland School Corp.,Grade School
WDWQ,102.7 FM,Terre Haute,"Midwest Communications, Inc.",Country
WEAX,88.3 FM,Angola,Trine University,College
WECI,91.5 FM,Richmond,Earlham College,Variety
WEDJ,107.1 FM,Danville,"Continental Broadcast Group, LLC",Regional Mexican
WEDM,91.1 FM,Indianapolis,Metropolitan School District of Warren Township,Grade School
WEEM-FM,91.7 FM,Pendleton,South Madison Community School Corp.,Top-40
WEFM,95.9 FM,Michigan City,"Michigan City FM Broadcasters, Inc.",Soft AC
WENS,89.7 FM,Liberty,Hoosier Public Radio Corporation,
