KABI,1560 AM,Abilene,"MCC Radio, LLC",
KACY,102.5 FM,Arkansas City,"Tornado Alley Communications, LLC",Classic Hits
KACZ,96.3 FM,Riley,"Manhattan Broadcasting Co., Inc.",Top 40 (CHR)
KAHE,95.5 FM,Dodge City,"Rocking M Radio, Inc.",Oldies
KAIG,89.9 FM,Dodge City,Educational Media Foundation,Contemporary Christian
KAIR,1470 AM,Atchison,"KNZA, Inc.",Country
KAIR-FM,93.7 FM,Horton,"KNZA, Inc.",Country
KAKA,88.5 FM,Salina,American Family Association,Religious
KANH,89.7 FM,Emporia,University of Kansas,Public Radio
KANQ,90.3 FM,Chanute,University of Kansas,Public Radio
KANS,96.1 FM,Emporia,"Kansas Radio, Inc.",Adult Contemporary
KANU,91.5 FM,Lawrence,University of Kansas,"NPR News, Classical, Jazz"
KANV,91.3 FM,Olsburg,The University of Kansas,Public Radio
KANZ,91.1 FM,Garden City,"Kanza Society, Inc.",Public Radio; NPR News; Classical; Jazz
KARF,91.5 FM,Independence,"Community Broadcasting, Inc.",Religious
KAXR,91.3 FM,Arkansas City,American Family Association,Religious
KAYS,1400 AM,Hays,"Eagle Communications, Inc.",Oldies
KBBE,96.7 FM,Mcpherson,"Davies Communications, Inc.",Oldies
KBCU,88.1 FM,North Newton,Bethel College,Jazz
KBDA,89.7 FM,Great Bend,American Family Association,Religious
KBDD,91.9 FM,Winfield,"Family Worship Center Church, Inc.",Religious
KBGL,106.9 FM,Larned,"Hull Broadcasting, Inc.",Top 40 (CHR)
KBIK,102.9 FM,Independence,"My Town Media, Inc.",Country
KBJQ,88.3 FM,Bronson,American Family Association,Religious
KBLS,102.5 FM,North Fort Riley,"MCC Radio, LLC",Adult Contemporary
KBMP,90.5 FM,Enterprise,"Community Broadcasting, Inc.",Religious
KBQC,88.5 FM,Independence,American Family Association,Religious
KBTL,88.1 FM,El Dorado,Butler County Community College,College
KBUF,1030 AM,Holcomb,KBUF Partnership,
KBUZ,90.3 FM,Topeka,American Family Association,Christian
KCAR-FM,104.3 FM,Baxter Springs,American Media Investments Inc.,Comedy
KCCA-LP,92.1 FM,Anthony,"The Christian Church of Anthony, Kansas, Inc.",Religious
KCCC-LP,98.5 FM,Hays,Celebration Community Church,Religious Contemporary Christian
KCCV,760 AM,Overland Park,Bott Broadcasting Company,Religious
KCCV-FM,92.3 FM,Olathe,Bott Broadcasting Company,Religious
KCFN,91.1 FM,Wichita,American Family Association,Religious
KCHZ,95.7 FM,Ottawa,"CMP Houston-KC, LLC",Top 40 (CHR)
KCIU-LP,101.7 FM,Lawrence,Lawrence Chinese Evangelical Church,Religious
KCLY,100.9 FM,Clay Center,"Taylor Communications, Inc.",Variety
KCMO-FM,94.9 FM,Shawnee,"CMP Houston-KC, LLC",Classic Hits
KCNW,1380 AM,Fairway,"Kansas City Radio, Inc.",Christian
KCVS,91.7 FM,Salina,"VCY America, Inc.",Religious
KCVT,92.5 FM,Silver Lake,"Richard P. Bott, II",Religious
KCVW,94.3 FM,Kingman,"Community Broadcasting, Inc.",Religious
KCZZ,1480 AM,Mission,"Davidson Media Station KCZZ Licensee, LLC",Spanish
KDCC,1550 AM,Dodge City,Dodge City Community College,
KDGS,93.9 FM,Andover,"Entercom License, LLC",Rhythmic Contemporary
KDJM,101.7 FM,Lindsborg,"Radioactive, LLC",
KDNS,94.1 FM,Downs,"Dierking Communications, Inc.",Country
KDTD,1340 AM,Kansas City,"Davidson Media Station KCKN Licensee, LLC",Mexican Regional Music
KDVB,96.9 FM,Effingham,Cumulus Licensing LLC,Rock
KDVV,100.3 FM,Topeka,Cumulus Licensing LLC,Album Oriented Rock
KEKS,103.1 FM,Olpe,Andrew A. Wachter,Top 40 (CHR)
KEOJ,101.1 FM,Caney,"KXOJ, Inc.",Contemporary Christian
KERP,96.3 FM,Ingalls,"Rocking M Radio, Inc.",Country
KEYN-FM,103.7 FM,Wichita,"Entercom License, LLC",Classic hits
KFBZ,105.3 FM,Haysville,"Entercom License, LLC",Hot Adult Contemporary
KFDI-FM,101.3 FM,Wichita,Journal Broadcast Corporation,Country
KFEX-LP,93.1 FM,Chanute,"Fire Escape Youth Ministries, Inc.",
KFFX,104.9 FM,Emporia,"Emporia's Radio Stations, Inc.",
KFH,1240 AM,Wichita,"Entercom License, LLC",Sports
KFH-FM,98.7 FM,Clearwater,"Entercom License, LLC",Sports
KFIX,96.9 FM,Plainville,"Hull Broadcasting, Inc.",Classic Rock
KFKF-FM,94.1 FM,Kansas City,Wilks License Company-Kansas City LLC,Country
KFNF,101.1 FM,Oberlin,"Armada Media - Mccook, Inc.",Country
KFRM,550 AM,Salina,"Taylor Communications, Inc.",
KFTI,1070 AM,Wichita,Journal Broadcast Corporation,Classic Country
KFTI-FM,92.3 FM,Newton,Journal Broadcast Corporation,Stunting
KFXJ,104.5 FM,Augusta,Journal Broadcast Corporation,Classic Rock
KFXX-FM,106.7 FM,Hugoton,KBUF Partnership,
KGBL,92.5 FM,Lakin,"Steckline Communications, Inc.",
KGCR,107.7 FM,Goodland,"The Praise Network, Inc.",Christian
KGGF,690 AM,Coffeyville,"KGGF-KUSN, Inc.",
KGGF-FM,104.1 FM,Fredonia,"KGGF-KUSN, Inc.",Oldies
KGGS,1340 AM,Garden City,"Steckline Communications, Inc.",Sports
KGLV,88.9 FM,Manhattan,Educational Media Foundation,Christian Contemporary
KGNO,1370 AM,Dodge City,"Rocking M Radio, Inc.",Talk
KGSO,1410 AM,Wichita,"Steckline Communications, Inc.",Sports
KHAZ,99.5 FM,Hays,"Eagle Communications, Inc.",Country
KHCA,95.3 FM,Wamego,"KHCA, Inc.",
KHCC-FM,90.1 FM,Hutchinson,Hutchinson Community College,Classical
KHCD,89.5 FM,Salina,Hutchinson Community College,Classical
KHCT,90.9 FM,Great Bend,Hutchinson Community College,Classical
KHLT-FM,99.7 FM,Belle Plaine,"Air Capitol Media Group, LLC",Adult Contemporary
KHMY,93.1 FM,Pratt,"Eagle Communications, Inc.",Hot Adult Contemporary
KHOK,100.7 FM,Hoisington,"Eagle Communications, Inc.",Country
KHUT,102.9 FM,Hutchinson,"Eagle Communications, Inc.",Country
KHYM,103.9 FM,Copeland,"Great Plains Christian Radio, Inc.",Christian
KHYS,89.7 FM,Hays,American Family Association,Religious
KHZZ-LP,100.1 FM,Hays,Maranatha Radio Association,
KIBB,97.1 FM,Haven,"Connoisseur Media Licenses, LLC",Variety Hits
KICT-FM,95.1 FM,Wichita,Journal Broadcast Corporation,Mainstream Rock
KIKS-FM,101.5 FM,Iola,"Iola Broadcasting, Inc.",Country
KINA,910 AM,Salina,"Eagle Communications, Inc.",News/Talk
KIND,1010 AM,Independence,"My Town Media, Inc.",
KIND-FM,94.9 FM,Elk City,"My Town Media, Inc.",
KINZ,95.3 FM,Humboldt,My Town Media Inc.,Classic Hits & Classic Rock
KIOL,1370 AM,Iola,"Iola Broadcasting, Inc.",
