KYAI,89.3 FM,McKee,Educational Media Foundation,Contemporary Christian
WAAJ,89.7 FM,Benton,"Heartland Ministries, Inc.",Southern Gospel
WAIN,1270 AM,Columbia,Tri-County Radio Broadcasting Corp.,Sports
WAIN-FM,93.5 FM,Columbia,Tri-County Radio Broadcasting Corp.,Country
WAKY,103.5 FM,Radcliff,"W & B Broadcasting Co., Inc.",Classic Hits
WAMZ,97.5 FM,Louisville,"CC Licenses, LLC",Country
WANO,1230 AM,Pineville,"Penelope, Inc.",Contemporary Christian/Positive Country
WANV,96.7 FM,Annville,"F.T.G. Broadcasting, Inc.",Oldies
WANY,1390 AM,Albany,Pamela Allred DBA Albany Broadcasting Company,Country
WANY-FM,100.9 FM,Albany,Pamela Allred DBA Albany Broadcasting Company,Country
WAPD,91.7 FM,Campbellsville,American Family Association,Religious
WAVJ,104.9 FM,Princeton,"Caldwell County CBC, Inc.",Classic Hits
WAXG,88.1 FM,Mount Sterling,American Family Association,Religious
WAYD,88.1 FM,Auburn,"Way Media, Inc.",Christian Contemporary
WAYK,105.9 FM,Valley Station,"Way Media, Inc.",Christian/Adult Contemporary
WBCE,1200 AM,Wickliffe,Wendell D. Gray,Religious
WBFC,1470 AM,Stanton,"Combs Broadcasting, Inc.",Gospel
WBFI,91.5 FM,Mcdaniels,"Bethel Fellowship, Inc.",Gospel
WBFK,91.1 FM,Smiths Grove,"Bethel Fellowship, Inc.",
WBFW,94.5 FM,Smith Mills,"Music Ministries, Inc.",
WBGB,91.3 FM,Scottsville,"Southern Wabash Communications of Middle Tennessee, Inc.",
WBGN,1340 AM,Bowling Green,"Forever Communications, Inc.",Sports
WBIO,94.7 FM,Philpot,"The Cromwell Group, Inc of Kentucky",Country
WBKR,92.5 FM,Owensboro,"Townsquare Media of Evansville/Owensboro, Inc.",Country
WBMK,88.5 FM,Morehead,American Family Association,Religious
WBRT,1320 AM,Bardstown,"Bardstown Radio Team, LLC",Country
WBTF,107.9 FM,Midway,"L.M. Communications of Kentucky, LLC",Urban Contemporary
WBUL-FM,98.1 FM,Lexington,"Citicasters Licenses, Inc.",Country
WBVR-FM,96.7 FM,Auburn,"Forever Communications, Inc.",Country
WBVX,92.1 FM,Carlisle,"L.M. Communications of Kentucky, LLC",Classic Rock
WCBJ,103.7 FM,Campton,"Morgan County Industries, Inc.",Classic Rock
WCBL,1290 AM,Benton,"Freeland Broadcasting Co, Inc.",Classic Country
WCBL-FM,99.1 FM,Grand Rivers,"Freeland Broadcasting Co, Inc.",Oldies
WCBR,1110 AM,Richmond,"WCBR, Inc.",Religious
WCCK,95.7 FM,Calvert City,"Freeland Broadcasting Co, Inc.",Classic Country
WCCR-LP,94.5 FM,Williamsburg,University of the Cumberlands,College
WCDA,106.3 FM,Versailles,"L.M. Communications, Inc",Adult Top 40
WCDS,1230 AM,Glasgow,"Newberry Broadcasting, Inc.",Sports
WCGW,770 AM,Nicholasville,"Christian Broadcasting System, Ltd.",Southern Gospel/Christian Talk
WCHQ-LP,100.9 FM,Louisville,Crescent Hill Radio Inc.,
WCKQ,104.1 FM,Campbellsville,CBC of Marion & Taylor Counties Inc,Top 40 (CHR)
WCLU,1490 AM,Glasgow,"Royse Radio, Inc.",Oldies
WCLU-FM,102.3 FM,Munfordville,"Royse Radio, Inc",Adult Contemporary
WCMI,1340 AM,Ashland,"Fifth Avenue Broadcasting Company, Inc",News/Talk
