KAGY,1510 AM,Port Sulphur,"Spotlight Broadcasting of New Orleans, LLC",Swamp Pop
KAJN-FM,102.9 FM,Crowley,"Agape Broadcasters, Inc.",Contemporary Christian
KANE,1240 AM,New Iberia,"Coastal Broadcasting of Lafourche, L.L.C.",Cajun music/Swamp Pop
KAOK,1400 AM,Lake Charles,Cumulus Licensing LLC,News/Talk
KAPB-FM,97.7 FM,Marksville,Three Rivers Radio Company,Country music
KAPI,88.3 FM,Ruston,American Family Association,Religious
KAPM,91.7 FM,Alexandria,American Family Association,Religious
KASO,1240 AM,Minden,"Minden Broadcasting, LLC",Classic Hits
KAVK,89.3 FM,Many,American Family Association,Religious
KAXV,91.9 FM,Bastrop,American Family Association,Religious
KAYT,88.1 FM,Jena,"Black Media Works, Inc.",Religious
KBAN,91.5 FM,DeRidder,American Family Association,Religious
KBCE,102.3 FM,Boyce,"JWBP Broadcasting, LLC",urban contemporary
KBCL,1070 AM,Bossier City,Barnabas Center Ministries,Christian Talk
KBDV,92.7 FM,Leesville,"Baldridge-Dumas Communications, Inc.",Hot adult contemporary
KBEF,104.5 FM,Gibsland,"Minden Broadcasting, LLC",Contemporary Christian
KBIO,89.7 FM,Natchitoches,"Radio Maria, Inc.",Christian radio
KBIU,103.3 FM,Lake Charles,Cumulus Licensing LLC,Adult Contemporary
KBKK,105.5 FM,Ball,"Mapleton License of Alexandria, LLC",Classic country
KBLK-LP,106.3 FM,Shreveport,"Blacks United For Lasting Leadership, Inc.",Gospel
KBMQ,88.7 FM,Monroe,"Media Ministries, Inc.",Contemporary Christian
KBON,101.1 FM,Mamou,Rose Ann Marx,Americana
KBRH,1260 AM,Baton Rouge,East Baton Rouge Parish Public Schools Board,Urban oldies
KBTT,103.7 FM,Haughton,Access.1 Louisiana Holding Company LLC,Mainstream Urban
KBYO,1360 AM,Tallulah,"Retail Social Activities Center, Inc. (R-SAC)",Gospel
KBYO-FM,92.7 FM,Farmerville,"Media Ministries, Inc.",80's and 90's hits
KBYS,88.3 FM,Moss Bluff,McNeese State University,
KBZE,105.9 FM,Berwick,"Hubcast Broadcasting, Inc.",urban adult contemporary
