WAAF,107.3 FM,Westborough,"Entercom License, LLC",Active Rock
WACE,730 AM,Chicopee,Carter Broadcasting Corporation,Christian Radio
WACM,1490 AM,West Springfield,"Davidson Media Station WACM Licensee, LLC",Spanish
WAIC,91.9 FM,Springfield,American International College,College Radio
WAMG,890 AM,Dedham,Gois Broadcasting Boston LLC,Spanish
WAMH,89.3 FM,Amherst,Trustees of Amherst College,College Radio
WAMQ,105.1 FM,Great Barrington,WAMC,Public Radio
WAQY,102.1 FM,Springfield,"Saga Communications of New England, LLC",Classic Rock
WARE,1250 AM,Ware,"Success Signal Broadcasting, Inc.",Oldies
WATD-FM,95.9 FM,Marshfield,"Marshfield Broadcasting Co., Inc.",Adult Contemporary
WAVM,91.7 FM,Maynard,Maynard School Committee,High school radio
WAZK,97.7 FM,Nantucket,"Nantucket Radio, LLC",Adult Hits
WAZN,1470 AM,Watertown,"Multicultural Radio Broadcasting Licensee, LLC",Ethnic
WBAS,1240 AM,West Yarmouth,"Langer Broadcast Group, LLC",News/Talk
WBCR-LP,97.7 FM,Great Barrington,Berkshire Community Radio Alliance,Community Radio
WBEC,1420 AM,Pittsfield,"Gamma Broadcasting, LLC",News Talk Information
WBEC-FM,95.9 FM,Pittsfield,"Gamma Broadcasting, LLC",Hot Adult Contemporary
WBIM-FM,91.5 FM,Bridgewater,Bridgewater State College,"College Radio, Alternative"
WBMT,88.3 FM,Boxford,Masconomet Regional School System,Album Oriented Rock
WBMX,104.1 FM,Boston,Infinity Broadcasting Corporation,Hot AC
WBNW,1120 AM,Concord,"Money Matters Radio, Inc.",Business Talk
WBOQ,104.9 FM,Gloucester,Westport Communications Limited Partnership,Oldies
WBOS,92.9 FM,Brookline,"Greater Boston Radio, Inc.",Modern Rock
WBPR,91.9 FM,Worcester,University of Massachusetts,Adult Album Alternative
WBQT,96.9 FM,Boston,"Greater Boston Radio, Inc.",Rhythmic Hot AC
WBRK,1340 AM,Pittsfield,"WBRK, Inc.",Adult contemporary
WBRK-FM,101.7 FM,Pittsfield,"WBRK, Inc.",Hot AC
WBRS,100.1 FM,Waltham,Brandeis University,College Radio
WBSL-FM,91.7 FM,Sheffield,"The Berkshire School, Inc.",Variety
WBSM,1420 AM,New Bedford,"Townsquare Media New Bedford License, LLC",Talk radio
WBUA,92.7 FM,Tisbury,The Trustees of Boston University,Public radio
WBUH,89.1 FM,Brewster,Trustees of Boston University,Public radio
WBUR-FM,90.9 FM,Boston,The Trustees of Boston University,News/Talk
WBWL,101.7 FM,Lynn,"AMFM Radio Licenses, L.L.C.",Country
WBZ,1030 AM,Boston,CBS Radio East Inc.,News/Talk
WBZ-FM,98.5 FM,Boston,CBS Radio Stations Inc.,Sports
WCAI,90.1 FM,Woods Hole,WGBH Educational Foundation,Public Radio
WCAP,980 AM,Lowell,"Merrimack Valley Radio, LLC",Talk radio
WCCH,103.5 FM,Holyoke,Holyoke Community College,College Radio
WCCT-FM,90.3 FM,Harwich,Cape Cod Regional Tech High School,National Public Radio
WCEC,1490 AM,Haverhill,Costa-Eagle Radio Ventures Limited Partnership,Talk radio
WCFM,91.9 FM,Williamstown,The President & Trustees of Williams College,Variety
WCHC,88.1 FM,Worcester,College of the Holy Cross,College Radio
WCIB,101.9 FM,Falmouth,"Qantum of Cape Cod License Company, LLC",Classic Hits
WCMX,1000 AM,Leominster,"Twin City Baptist Temple, Inc.",Christian Radio
WCOD-FM,106.1 FM,Hyannis,"Qantum of Cape Cod License Company, LLC",Hot Adult Contemporary
WCRB,99.5 FM,Lowell,WGBH Educational Foundation,Classical
WCRN,830 AM,Worcester,Carter Broadcasting Corporation,Talk radio
WCTK,98.1 FM,New Bedford,"Hall Communications, Inc.",Country Music
WCUW,91.3 FM,Worcester,"WUW, Inc.",Educational
WDIS,1170 AM,Norfolk,"Discussion Radio, Incorporated",News Talk Information
WDJM-FM,91.3 FM,Framingham,Framingham State College,College Radio
WEEI,850 AM,Boston,"Entercom License, LLC",Sports Radio
WEEI-FM,93.7 FM,Lawrence,"Entercom License, LLC",Sports Radio
WEIB,106.3 FM,Northampton,"Cutting Edge Broadcasting, Inc.",New AC (NAC)/Smooth Jazz
WEII,96.3 FM,Dennis,"Qantum of Cape Cod License Company, LLC",Sports
WERS,88.9 FM,Boston,Emerson College,College Radio
WESO,970 AM,Southbridge,"Emmanuel Communications, Inc.",Talk radio
WESX,1230 AM,Salem,Principle Boston Holdco LLC,Ethnic
WEZE,590 AM,Boston,"Pennsylvania Media Associates, Inc.",Religion
WFAT,700 AM,Orange-Athol,"County Broadcasting Company, LLC",Oldies
WFCC-FM,107.5 FM,Chatham,"Cape Cod Broadcasting License I, LLC",Classical music
WFCR,88.5 FM,Amherst,University of Massachusetts,National Public radio
WFGL,960 AM,Fitchburg,Horizon Christian Fellowship,Religion
WFHL,88.1 FM,New Bedford,"New Bedford Christian Radio, Inc.",Ethnic
WFHN,107.1 FM,Fairhaven,"Townsquare Media New Bedford License, LLC",Rhythmic Contemporary Hit Radio
WFMR,91.3 FM,Orleans,"Lower Cape Communications, Inc.",Community Radio
WFNX,99.9 FM,Athol,"County Broadcasting Company, LLC",Adult Hits
WFPB,1170 AM,Orleans,University of Massachusetts,Adult Album Alternative
WFPB-FM,91.9 FM,Falmouth,University of Massachusetts,Adult Album Alternative
WFRQ,93.5 FM,Harwich Port,"CodComm, Inc.",Variety hits
WGAO,88.3 FM,Franklin,Dean College,College radio
WGAW,1340 AM,Gardner,"County Broadcasting Company, LLC",News/talk
WGBH,89.7 FM,Boston,WGBH Educational Foundation,Public Radio
WGFP,940 AM,Webster,"Just Because, Inc.",Country
WGTX,102.3 FM,Truro,Dunes 102FM LLC,Classic Hits
WHAB,89.1 FM,Acton,Acton-Boxborough Regional School District,High school radio
WHAI,98.3 FM,Greenfield,"Saga Communications of New England, LLC",Adult contemporary
WHHB,99.9 FM,Holliston,Holliston High School,High school radio
WHLL,1450 AM,Springfield,"Radio License Holding CBC, LLC",Sports talk
WHMP,1400 AM,Northampton,"Saga Communications of New England, LLC",News/talk
WHMQ,1240 AM,Greenfield,"Saga Communications of New England, LLC",News/talk
WHNP,1600 AM,East Longmeadow,"Saga Communications of New England, LLC",News/talk
WHRB,95.3 FM,Cambridge,"Harvard Radio Broadcasting Co., Inc.",College radio
WHTB,1400 AM,Fall River,"SNE Broadcasting, Ltd.",Ethnic
WHYA,101.1 FM,Mashpee,"CodComm, Inc.",Contemporary hit radio
WHYN,560 AM,Springfield,"CC Licenses, LLC",News/talk
WHYN-FM,93.1 FM,Springfield,"CC Licenses, LLC",Hot AC
WICN,90.5 FM,Worcester,"WICN Public Radio, Inc",Folk music
WILD,1090 AM,Boston,"Radio One of Boston Licenses, LLC",Various
WIQH,88.3 FM,Concord,Concord-Carlisle Regional School District,High school radio
WIZZ,1520 AM,Greenfield,"P. & M. Radio, LLC",Nostalgia
WJDA,1300 AM,Quincy,Principle Boston Holdco LLC,Ethnic
