KTGG,1540 AM,Spring Arbor,Spring Arbor University,Religious
WAAM,1600 AM,Ann Arbor,"Coolarity A2, LLC",News Talk Information
WABJ,1490 AM,Adrian,"Friends Communications of MI, Inc.",News Talk Information
WAGN,1340 AM,Menominee,"Radio Plus Bay Cities, LLC",News Talk Information
WAHS,89.5 FM,Auburn Hills,Avondale School District,Variety
WAIR,104.9 FM,Lake City,Smile FM,Contemporary Christian
WAKL,88.9 FM,Flint,Educational Media Foundation,Contemporary Christian
WAKV,980 AM,Otsego,"Vintage Radio Enterprises, L.L.C.",Adult Standards/Oldies
WARD,750 AM,Petoskey,Roy E. Henderson,Adult Contemporary
WATT,1240 AM,Cadillac,"MacDonald Garber Broadcasting, Inc",News Talk Information
WATZ,1450 AM,Alpena,"WATZ Radio, Inc.",News Talk Information
WATZ-FM,99.3 FM,Alpena,"WATZ Radio, Inc.",Country
WAUS,90.7 FM,Berrien Springs,Andrews Broadcasting Corp.,Classical
WAVC,93.9 FM,Mio,West Central Michigan Media Ministries,Silent
WAWB-LP,107.3 FM,West Branch,"West Branch Seventh Day Adventist Broadcasting, Inc.",Religious
WAWL-LP,103.5 FM,Grand Haven,Tri-Cities Broadcasting Foundation,
WAXT-LP,98.9 FM,Whitehall,"White Lake Broadcasters, Inc.",
WBBL-FM,107.3 FM,Greenville,"Radio License Holding CBC, LLC",Sports
WBCH,1220 AM,Hastings,Barry Broadcasting Co.,News Talk Information
WBCH-FM,100.1 FM,Hastings,Barry Broadcasting Co.,Country
WBCK,95.3 FM,Battle Creek,"Townsquare Media Battle Creek License, LLC",News Talk Information
WBCM,93.5 FM,Boyne City,"WBCM Radio, Inc.",Country
WBCT,93.7 FM,Grand Rapids,"CC Licenses, LLC",Country
WBET,1230 AM,Sturgis,"Swick Broadcasting Company, Inc.",Sports
WBET-FM,99.3 FM,Sturgis,"Swick Broadcasting Company, Inc.",Oldies
WBFH,88.1 FM,Bloomfield Hills,Bloomfield Hills School District,Variety
WBFN,1400 AM,Battle Creek,Family Life Broadcasting System,Contemporary Christian
WBFX,101.3 FM,Grand Rapids,"CC Licenses, LLC",Classic Rock
WBGV,92.5 FM,Marlette,GB Broadcasting Company,Country
WBHC-LP,96.5 FM,Benton Harbor,Benton Harbor Area Schools,Variety/Urban
WBHL,90.7 FM,Harrison,West Central Michigan Media Ministries,Religious
WBLD,89.3 FM,Orchard Lake,West Bloomfield School District,Album Oriented Rock
WBLU-FM,88.9 FM,Grand Rapids,Blue Lake Fine Arts Camp,Classical
WBLV,90.3 FM,Twin Lake,Blue Lake Fine Arts Camp,Classical
WBLW,88.1 FM,Gaylord,Grace Baptist Church,Religious
WBMI,105.5 FM,West Branch,"CF Broadcasting, LLC",Classic Country
WBNZ,92.3 FM,Frankfort,Roy E. Henderson,Adult Contemporary
WBRN,1460 AM,Big Rapids,"Mentor Partners, Inc.",News Talk Information
WBTI,96.9 FM,Lexington,"Liggett Communications, L.L.C.",Hot Adult Contemporary
WBXX,104.9 FM,Marshall,"Townsquare Media Battle Creek License, LLC",Adult Contemporary
WBZV,102.5 FM,Hudson,Friends Communications of Hudson Inc,Classic Rock
WCAR,1090 AM,Livonia,Birach Broadcasting Corp.,Sports
WCBN-FM,88.3 FM,Ann Arbor,Regents of the University of MIchigan,Variety
WCBY,1240 AM,Cheboygan,"Northern Star Broadcasting, L.L.C.",Classic Country
WCCW,1310 AM,Traverse City,"WCCW Radio, Inc.",Sports
WCCW-FM,107.5 FM,Traverse City,"WCCW Radio, Inc.",Classic Hits
WCCY,1400 AM,Houghton,Houghton Community Broadcasting Corporation,Adult Standards
WCDY,107.9 FM,McBain,"Up North Radio, LLC",Hot Adult Contemporary
WCEN-FM,94.5 FM,Hemlock,"NM License, LLC",Country
WCFG,90.9 FM,Springfield,Cornerstone University,Contemporary Christian
WCFX,95.3 FM,Clare,"Grenax Broadcasting, LLC",Top 40 (CHR)
WCHB,1200 AM,Taylor,"Radio One of Detroit, LLC",News Talk Information/Smooth Jazz
WCHT,600 AM,Escanaba,"Lake Radio, Inc.",News Talk Information
WCHW-FM,91.3 FM,Bay City,"School District, Bay City",Variety
WCHY,97.7 FM,Cheboygan,"Northern Star Broadcasting, L.L.C.",Classic Rock
WCKC,107.1 FM,Cadillac,"Northern Star Broadcasting, L.L.C.",Classic Rock
WCMB-FM,95.7 FM,Oscoda,Central Michigan University,Variety
WCML-FM,91.7 FM,Alpena,Central Michigan University,Variety
WCMM,102.5 FM,Gulliver,"Lakes Radio, Inc.",New Country
WCMU-FM,89.5 FM,Mt. Pleasant,Central Michigan University Board of Trustees,Variety
WCMW-FM,103.9 FM,Harbor Springs,Central Michigan University,Variety
WCMZ-FM,98.3 FM,Sault Ste. Marie,Central Michigan University,Variety
WCRR,88.9 FM,Manistique,Christian Radio Broadcasting Inc.,Religious
WCRZ,107.9 FM,Flint,"Townsquare Media of Flint, Inc.",Adult Contemporary
WCSG,91.3 FM,Grand Rapids,Cornerstone University,Contemporary Christian
WCSR,1340 AM,Hillsdale,"WCSR, Inc.",Adult Contemporary
WCSR-FM,92.1 FM,Hillsdale,"WCSR, Inc",Adult Contemporary
WCSX,94.7 FM,Birmingham,"Greater Boston Radio, Inc.",Classic Rock
WCSY-FM,103.7 FM,South Haven,WSJM Inc.,Classic Hits
WCTP,88.5 FM,Gagetown,Plonta Broadcasting Inc.,Southern Gospel
WCUP,105.7 FM,L'Anse,Keweenaw Bay Indian Community,Country
WCUZ,100.1 FM,Bear Lake,Roy E. Henderson,Talk
WCVM,94.7 FM,Bronson,"Taylor University Broadcasting, Inc.",Contemporary Christian
WCXB,89.9 FM,Benton Harbor,Cornerstone University,Contemporary Christian
WCXG,89.9 FM,Grand Rapids,Cornerstone University,Contemporary Christian
WCXI,1160 AM,Fenton,Birach Broadcasting Corporation,Oldies/Brokered
WCXK,88.3 FM,Kalamazoo,Cornerstone University,Contemporary Christian
WCXT,98.3 FM,Hartford,WSJM Inc.,Hot Adult Contemporary
WCZE,103.7 FM,Harbor Beach,Jennifer & Edward Czelada,Country
WCZW,107.9 FM,Charlevoix,"WCCW Radio, Inc.",Classic Hits
WCZY-FM,104.3 FM,Mt. Pleasant,"Latitude Media, LLC",Adult Hits
WDBC,680 AM,Escanaba,"KMB Broadcasting, Inc.",Adult Standards
WDBM,88.9 FM,East Lansing,Bd of Trustee of MIchigan State Univ,Alternative
WDEE-FM,97.3 FM,Reed City,Steven V. Beilfuss,Oldies
WDEO,990 AM,Ypsilanti,AM Media Services,Religious (Catholic)
WDET-FM,101.9 FM,Detroit,Wayne State University,News Talk Information
WDFN,1130 AM,Detroit,"AMFM Radio Licenses, L.L.C.",Sports
WDLP-LP,93.1 FM,Fenwick,"Montcalm Public Radio, Inc.",Oldies
WDMJ,1320 AM,Marquette,"Sovereign Communications, LLC",News Talk Information
WDMK,105.9 FM,Detroit,"Radio One of Detroit, LLC",Urban Adult Contemporary
WDPW,91.9 FM,Greenville,Larlen Communications Inc.,Gospel
WDRQ,93.1 FM,Detroit,Radio License Holdings LLC,Country
WDTE,88.3 FM,Grosse Pointe Shores,Smile FM,Contemporary Christian
WDTK,1400 AM,Detroit,"Pennsylvania Media Associates, Inc.",News Talk Information
WDTP,89.5 FM,Huron Township,Smile FM,Contemporary Christian
WDTR,89.1 FM,Imlay City,Michigan Community Radio,Contemporary Christian
WDTW,1310 AM,Dearborn,"MMTC Broadcasting, LLC",Silent
WDTW-FM,106.7 FM,Detroit,"AMFM Radio Licenses, L.L.C.",Classic Rock
WDVD,96.3 FM,Detroit,Radio License Holdings LLC,Hot Adult Contemporary
WDZH,98.7 FM,Detroit,CBS Radio East Inc.,Pop Contemporary Hit Radio
WDZZ-FM,92.7 FM,Flint,Cumulus Licensing LLC,Urban Adult Contemporary
WEEH-LP,100.5 FM,Hart,"Oceana Broadcasters, Inc",Oldies
WEJC,88.3 FM,White Star,Smile FM,Contemporary Christian
WEMU,89.1 FM,Ypsilanti,Eastern Michigan University,Jazz/Adult Alternative
WERW,94.3 FM,Monroe,"Monroe Public Access Cable Television, Inc.",1980s Hits
WEUL,98.1 FM,Kingsford,"Gospel Opportunities, Inc.",Religious
WEXL,1340 AM,Royal Oak,"WMUZ Radio, Inc.",Gospel
WFBE,95.1 FM,Flint,"Radio License Holding CBC, LLC",Country
WFCX,94.3 FM,Leland,"Northern Michigan Radio, Inc.",Classic Hits
WFDF,910 AM,Farmington Hills,"Radio Disney Group, LLC",Family Hits
WFDX,92.5 FM,Atlanta,"Northern Michigan Radio, Inc.",Classic Hits
WFER,1230 AM,Iron River,"Heartland Comm. License, LLC",News Talk Information
WFGR,98.7 FM,Grand Rapids,"Townsquare Media of Grand Rapids, Inc.",Classic Hits
WFLT,1420 AM,Flint,Christian Evangelical Broadcasting Association,Gospel
WFMK,99.1 FM,East Lansing,"Townsquare Media Lansing License, LLC",Adult Contemporary
WFNT,1470 AM,Flint,"Townsquare Media of Flint, Inc.",News Talk Information
WFPM-LP,99.5 FM,Battle Creek,First Pentecostal Church of God In Christ,Gospel
WFUM,91.1 FM,Flint,The Regents of the Univ. of MIchigan,News Talk Information
WFUR,1570 AM,Grand Rapids,Furniture City Broadcasting Corp.,Contemporary Inspirational
WFUR-FM,102.9 FM,Grand Rapids,Furniture City Broadcasting Corp.,Contemporary Christian
WFXD,103.3 FM,Marquette,"Great Lakes Radio, Inc.",Country
WFYC,1280 AM,Alma,"Jacom, Inc.",Sports
WGCP,91.9 FM,Cadillac,West Central Michigan Media Ministries,Religious
WGDN,1350 AM,Gladwin,"Apple Broadcasting Company, Inc.",News Talk Information
WGDN-FM,103.1 FM,Gladwin,"Apple Broadcasting Company, Inc.",Country
WGER,106.3 FM,Saginaw,"NM License, LLC",Hot Adult Contemporary
WGFM,105.1 FM,Cheboygan,"Northern Star Broadcasting, L.L.C.",Mainstream Rock
WGFN,98.1 FM,Glen Arbor,"Northern Star Broadcasting, L.L.C.",Classic Rock
WGGL-FM,91.1 FM,Houghton,Minnesota Public Radio,News Talk Information/Classical
WGHN,1370 AM,Grand Haven,"WGHN, Inc.",Sports
WGHN-FM,92.1 FM,Grand Haven,"WGHN, Inc.",Adult Contemporary
WGJU,91.3 FM,East Tawas,Baraga Broadcasting,Religious (Catholic)
WGKL,105.5 FM,Gladstone,"Lakes Radio, Inc.",Oldies
WGLI,98.7 FM,Hancock,Keweenaw Bay Indian Community,Mainstream Rock
WGLM,1380 AM,Greenville,"Packer Radio Greenville, Inc.",Classic Country
WGLM-FM,106.3 FM,Lakeview,"Packer Radio Greenville, Inc.",Adult Hits
WGLN-LP,93.5 FM,Cedar Lake,Great Lakes Adventist Academy,Religious
WGLQ,97.1 FM,Escanaba,"Lakes Radio, Inc.",Pop Contemporary Hit Radio
WGNB,89.3 FM,Zeeland,The Moody Bible Institute of Chicago,Religious
WGNC-FM,88.5 FM,Constantine,"Christian Radio Friends, Inc.",Country
WGPR,107.5 FM,Detroit,"WGPR, Inc.",Mainstream Urban
WGRD-FM,97.9 FM,Grand Rapids,"Townsquare Media of Grand Rapids, Inc.",Active Rock
WGRT,102.3 FM,Port Huron,"Port Huron Family Radio, Inc.",Adult Contemporary
WGRY,1230 AM,Grayling,"Blarney Stone Broadcasting, Inc.",Sports
WGRY-FM,101.1 FM,Roscommon,"Blarney Stone Broadcasting, Inc.",Sports
WGTO,910 AM,Cassopolis,"Larry Langford, Jr.",Classic Hits
WGVS,850 AM,Whitehall,Grand Valley State University,Oldies
WGVS-FM,95.3 FM,Whitehall,Grand Valley State University,News Talk Information
WGVU,1480 AM,Kentwood,Grand Valley State University,Oldies
WGVU-FM,88.5 FM,Allendale,Grand Valley State University,News Talk Information
WGZR,88.9 FM,Alpena,"Baraga Broadcasting, Inc.",Religious (Catholic)
WHAK,960 AM,Rogers City,"Edwards Communications, LC",Classic Hits
WHAK-FM,99.9 FM,Rogers City,"Edwards Communications, LC",Classic Hits
WHBP,90.1 FM,Harbor Springs,Interlochen Center for the Arts,News Talk Information
WHEY,88.9 FM,North Muskegon,Muskegon Community Radio Broadcast Company,Christian Alternative Rock
WHFB,1060 AM,Benton Harbor,"Gerard Media, LLC",Classic Rock/Talk
WHFB-FM,99.9 FM,Benton Harbor,"Douglas Road Radio, Inc.",Country
WHFR,89.3 FM,Dearborn,Henry Ford Community College,Variety
WHHQ,1250 AM,Bridgeport,Ave Maria Communications,Religious (Catholic)
WHKB,102.3 FM,Houghton,Houghton Community Broadcasting Corporation,Country
WHLS,1450 AM,Port Huron,"Liggett Communications, L.L.C.",Classic Hits
WHLX,1590 AM,Marine City,"Liggett Communications, L.L.C.",Classic Hits
WHMI-FM,93.5 FM,Howell,The Livingston Radio Company,Classic Hits
WHNN,96.1 FM,Bay City,"Radio License Holding CBC, LLC",Classic Hits
WHPD,92.1 FM,Dowagiac,Lesea Broadcasting Corporation,Contemporary Christian
WHPR-FM,88.1 FM,Highland Park,R.J.'s Late Night Entertainment Corporation,Variety
WHSB,107.7 FM,Alpena,"Edwards Communications, LC",Hot Adult Contemporary
WHST,106.1 FM,Tawas City,"Northern Christian Radio, Inc.",Contemporary Christian
WHTC,1450 AM,Holland,"Midwest Communications, Inc.",News Talk Information
WHTO,106.7 FM,Iron Mountain,"Results Broadcasting of Iron Mountain, Inc.",Classic Hits
WHTS,105.3 FM,Coopersville,"Radio License Holding CBC, LLC",Pop Contemporary Hit Radio
WHWG,89.9 FM,Trout Lake,"Gospel Opportunities, Inc.",Religious
WHWL,95.7 FM,Marquette,"Gospel Opportunities, Inc.",Religious
WHYB,103.7 FM,Menominee,"Radio Plus Bay Cities, LLC",Oldies
WHYT,88.1 FM,Goodland Township,Smile FM,Contemporary Christian
WHZZ,101.7 FM,Lansing,MacDonald Broadcasting Company,Variety Hits
WIAA,88.7 FM,Interlochen,Interlochen Center for the Arts,Classical
WIAB,88.5 FM,Mackinaw City,Interlochen Center for the Arts,Classical
WIAN,1240 AM,Ishpeming,"Sovereign Communications, LLC",News Talk Information
WIBM,1450 AM,Jackson,"Jackson Radio Works, Inc.",Sports
WICA,91.5 FM,Traverse City,Interlochen Center for the Arts,News Talk Information
WICV,100.9 FM,East Jordan,Interlochen Center for the Arts,Classical
WIDG,940 AM,St. Ignace,"Baraga Broadcasting, Inc.",Sports
WIDL,92.1 FM,Cass City,"Edwards Communications, LC",Hot Adult Contemporary
WIDR,89.1 FM,Kalamazoo,Western Michigan University,Variety
WIHC,97.9 FM,Newberry,West Central Michigan Media Ministries,Religious
WIKB-FM,99.1 FM,Iron River,"Heartland Comm. License, LLC",Country
WILS,1320 AM,Lansing,MacDonald Broadcasting Company,News Talk Information
WILZ,104.5 FM,Saginaw,"Radio License Holding CBC, LLC",Classic Rock
WIMI,99.7 FM,Ironwood,"J & J Broadcasting, Inc.",Adult Hits
