KADU,90.1 FM,Hibbing,Heartland Christian Broadcasters,Contemporary Inspirational
KAGE,1380 AM,Winona,"KAGE, Inc.",Country
KAGE-FM,95.3 FM,Winona,"KAGE, Inc.",Hot Adult Contemporary
KAKK,1570 AM,Walker,Edward De La Hunt,Classic Hits
KAOD,106.7 FM,Babbitt,Red Rock Radio Corp.,Classic Rock
KARL,105.1 FM,Tracy,KMHL Broadcasting Company,Country
KARP-FM,106.9 FM,Dassel,"Iowa City Broadcasting Company, Inc.",Country
KARZ,107.5 FM,Marshall,KMHL Broadcasting Company,Album Oriented Rock
KASM,1150 AM,Albany,"Starcom, LLC",News Talk Information
KATE,1450 AM,Albert Lea,"Three Eagles of Luverne, Inc.",News Talk Information
KATO-FM,93.1 FM,New Ulm,Minnesota Valley Broadcasting Co.,Country
KAUS,1480 AM,Austin,"Three Eagles of Luverne, Inc.",News Talk Information
KAUS-FM,99.9 FM,Austin,"Three Eagles of Luverne, Inc.",Country
KAXE,91.7 FM,Grand Rapids,Northern Community Radio,Variety
KBAJ,105.5 FM,Deer River,Red Rock Radio Corp.,Classic Rock
KBEK,95.5 FM,Mora,Colleen Ruth McKinney,Oldies
KBEM-FM,88.5 FM,Minneapolis,"Board of Education, Special School District #1",Jazz
KBEW,1560 AM,Blue Earth,"KBEW, Inc.",Oldies
KBEW-FM,98.1 FM,Blue Earth,"KBEW, Inc.",Country
KBFT,89.9 FM,Nett Lake,Bois Forte Tribal Council,Public Radio
KBGY,107.5 FM,Faribault,Milestone Radio II LLC,Regional Mexican
KBHL,103.9 FM,Osakis,"Christian Heritage Broadcasting, Inc.",Religious
KBHP,101.1 FM,Bemidji,Paul Bunyan Broadcasting Co.,Country
KBHW,99.5 FM,International Falls,Heartland Christian Broadcasters,Christian radio
KBHZ,91.9 FM,Willmar,"Christian Heritage Broadcasting, Inc.",Religious
KBJI-LP,92.3 FM,Bemidji,Bemidji Religious Education Broadcasting,Religious
KBLB,93.3 FM,Nisswa,"BL Broadcasting, Inc.",Country
KBMO,1290 AM,Benson,"Headwaters Media, LLC",Adult Standards
KBMW,1450 AM,Breckenridge,"Radio Fargo-Moorhead, Inc.",Country
KBMX,107.7 FM,Proctor,"Townsquare Media Duluth License, LLC",Pop Contemporary Hit Radio
KBOT,104.1 FM,Pelican Rapids,"Leighton Enterprises, Inc.",Country
KBPG,89.5 FM,Montevideo,American Family Association,Religious
KBPN,88.3 FM,Brainerd,Minnesota Public Radio,News Talk Information
KBPR,90.7 FM,Brainerd,Minnesota Public Radio,Classical
KBRF,1250 AM,Fergus Falls,"Result Radio, Inc.",News Talk Information
KBSB,89.7 FM,Bemidji,Bemidji State College,Pop Contemporary Hit Radio
KBUN,1450 AM,Bemidji,Paul Bunyan Broadcasting Co.,Sports
KBVB,95.1 FM,Barnesville,"Radio Fargo-Moorhead, Inc.",Country
KBXE,90.5 FM,Bagley,"Northern Community Radio, Inc.",Community Radio
KCAJ-FM,102.1 FM,Roseau,"North Country Media, Inc.",Adult Contemporary
KCCD,90.3 FM,Moorhead,Minnesota Public Radio,News Talk Information
KCCM-FM,91.1 FM,Moorhead,Minnesota Public Radio,Classical
KCFB,91.5 FM,St. Cloud,"Minnesota Christian Broadcasters, Inc.",Religious
KCGN-FM,101.5 FM,Ortonville,"Christian Heritage Broadcasting, Inc.",Religious
KCHK,1350 AM,New Prague,"Ingstad Brothers Broadcasting, LLC",News Talk Information
KCHK-FM,95.5 FM,New Prague,"Ingstad Brothers Broadcasting, LLC",Oldies
KCLD-FM,104.7 FM,St. Cloud,"Leighton Enterprises, Inc.",Pop Contemporary Hit Radio
KCLH,94.7 FM,Caledonia,"Family Radio, Inc.",Religious
KCMF,89.7 FM,Fergus Falls,Minnesota Public Radio,Classical
KCML,99.9 FM,St. Joseph,"Leighton Enterprises, Inc.",Adult Contemporary
KCMP,89.3 FM,Northfield,Minnesota Public Radio,Adult Album Alternative
KCPI,94.9 FM,Albert Lea,"Three Eagles of Luverne, Inc.",Classic Hits
KCRB-FM,88.5 FM,Bemidji,Minnesota Public Radio,Classical
KCUE,1250 AM,Red Wing,Q Media Group LLC,Classic Country
KDAL,610 AM,Duluth,"Midwest Communications, Inc.",News Talk Information
KDAL-FM,95.7 FM,Duluth,"Midwest Communications, Inc.",Adult Album Alternative
KDCZ,103.9 FM,Eyota,"Townsquare Media Rochester License, LLC",Active Rock
KDDG,105.5 FM,Albany,"Starcom, LLC",Classic Country
KDHL,920 AM,Faribault,"Townsquare Media Faribault License, LLC",Classic Country
KDIO,1350 AM,Ortonville,"Armada Media - Watertown, Inc.",Country
KDIZ,1440 AM,Golden Valley,"RD Minneapolis Assets, LLC",Children's Radio
KDJS,1590 AM,Willmar,"Iowa City Broadcasting Company, Inc.",Oldies
KDJS-FM,95.3 FM,Willmar,"Iowa City Broadcasting Company, Inc.",Country
KDKK,97.5 FM,Park Rapids,De La Hunt Broadcasting Corporation,Adult Standards/MOR
KDLM,1340 AM,Detroit Lakes,"Leighton Enterprises, Inc.",News Talk Information
KDMA,1460 AM,Montevideo,"Iowa City Broadcasting Company, Inc.",Country
KDNI,90.5 FM,Duluth,Northwestern College,Religious
KDNW,97.3 FM,Duluth,Northwestern College,Contemporary Christian
KDOG,96.7 FM,North Mankato,Minnesota Valley Broadcasting Co.,Pop Contemporary Hit Radio
KDOM,1580 AM,Windom,Windom Radio Incorporated,Country
KDOM-FM,94.3 FM,Windom,"Windom Radio, Inc.",Country
KDUZ,1260 AM,Hutchinson,"Iowa City Broadcasting Company, Inc.",Country
KDWA,1460 AM,Hastings,"K & M Broadcasting, Inc.",Talk & Personality
KDWB-FM,101.3 FM,Richfield,"AMFM Broadcasting Licenses, LLC",Pop Contemporary Hit Radio
