KAAN,870 AM,Bethany,Cameron/Bethany License Co. LLC,Oldies
KAAN-FM,95.5 FM,Bethany,Cameron/Bethany License Co. LLC,Country
KADI,1340 AM,Springfield,Vision Communications Inc.,News/Talk/Info
KADI-FM,99.5 FM,Republic,Vision Communications Inc.,Contemporary Christian
KAHR,96.7 FM,Poplar Bluff,Eagle Bluff Enterprises,Adult Hits
KAIA,91.5 FM,Bloomfield,Educational Media Foundation,
KALM,1290 AM,Thayer,E-Communications LLC,Gospel
KAOL,1430 AM,Carrollton,Kanza Inc.,Top 40
KAPE,1550 AM,Cape Girardeau,Withers Broadcasting Company of Missouri LLC,News/Talk/Sports
KATI,94.3 FM,California,"Zimmer Radio of Mid-Missouri, Inc.",Country
KATZ,1600 AM,St. Louis,"Citicasters Licenses, Inc.",Urban Gospel
KAUD,90.5 FM,Mexico,The Curators of the University of Missouri,
KAUF,89.9 FM,Kennett,American Family Association,AFR
KAYQ,97.1 FM,Warsaw,"Valkyrie Broadcasting, Inc.",Classic Country
KAYX,92.5 FM,Richmond,"Bott Communications, Inc.",Religious
KBBM,100.1 FM,Jefferson City,Cumulus Licensing LLC,Country
KBCV,1570 AM,Hollister,"Bott Communications, Inc.",Religious
KBDZ,93.1 FM,Perryville,"Donze Communications, Inc.",Classic Rock
KBEQ-FM,104.3 FM,Kansas City,Wilks License Company - Kansas City LLC,Country
KBFL,1060 AM,Springfield,"Meyer-Baldridge, Inc.",Adult Standards
KBFL-FM,99.9 FM,Buffalo,"Meyer-Baldridge, Inc.",Adult Standards
KBGM,91.1 FM,Park Hills,American Family Association,AFR
KBHI,107.1 FM,Miner,Dana R Withers,Rock
KBIA,91.3 FM,Columbia,The Curators of the University of Missouri,Public Radio
KBIY,91.3 FM,Van Buren,"New Life Evangelistic Center, Inc.",Religious
KBKC,90.1 FM,Moberly,Covenant Network,AFR
KBMV-FM,107.1 FM,Birch Tree,"E-Communications, LLC",Sports
KBNN,750 AM,Lebanon,Waynesville/ Lebanon License Co.,News/Talk/Information
KBOA,1540 AM,Kennett,Pollack Broadcasting Co.,Nostalgia
KBOD,99.7 FM,Gainesville,"KTLO, LLC",Sports
KBTC,1250 AM,Houston,"Media Professionals, Inc.",Country
KBTN,1420 AM,Neosho,American Media Investments Inc.,News Talk Information
KBTN-FM,99.7 FM,Neosho,American Media Investments Inc.,Classic Country
KBXB,97.9 FM,Sikeston,"Withers Broadcasting Company of Southeast Missouri, LLC",Country
KBXR,102.3 FM,Columbia,Cumulus Licensing LLC,Adult Album Alternative
KCAH-LP,107.9 FM,Carthage,Iglesia Cristiana Hispano-Americana,
KCBW,104.5 FM,Grandin,"Fox Radio Network, LLC",
KCFV,89.5 FM,Ferguson,St. Louis Community College,College
KCFX,101.1 FM,Harrisonville,"CMP Houston-KC, LLC",Classic Rock
KCGQ-FM,99.3 FM,Gordonville,"MRR License, LLC",Active Rock
KCGR,90.5 FM,Oran,Community Broadcasting,Christian
KCHI,1010 AM,Chillicothe,"Leatherman Communications, Inc.",Classic Hits
KCHI-FM,102.5 FM,Chillicothe,"Leatherman Communications, Inc.",Classic Hits
KCHR,1350 AM,Charleston,"South Missouri Broadcasting Company, Inc.",Oldies
KCJK,105.1 FM,Garden City,"CMP Houston-KC, LLC",Variety Hits
KCJS-LP,102.5 FM,Kennett,Calvary Chapel of Kennett,
KCKC,102.1 FM,Kansas City,Wilks License Company - Kansas City LLC,Adult Contemporary
KCKE,90.3 FM,Chillicothe,Lake Area Educational Broadcasting Foundation,
KCKJ,89.5 FM,Sarcoxie,Lake Area Educational Broadcasting Foundation,Contemporary Christian
KCKP,100.9 FM,Laurie,Lake Area Education Broadcasting Foundation,
KCKV,91.9 FM,Kirksville,Lake Area Educational Broadcasting Foundation,
KCKZ,103.5 FM,Huntsville,Lake Area Educational Broadcasting Foundation,
KCLC,89.1 FM,St. Charles,Lindenwood University,Album Adult Alternative
KCLQ,107.9 FM,Lebanon,"Pearson Broadcasting of Lebanon, Inc.",Country
KCLR-FM,99.3 FM,Boonville,"Zimmer Radio of Mid-Missouri, Inc.",Country
KCMO,710 AM,Kansas City,"CMP Houston-KC, LLC",Talk
KCMQ,96.7 FM,Columbia,"Zimmer Radio of Mid-Missouri, Inc.",Classic Rock
KCOU,88.1 FM,Columbia,The Curators of the University of Missouri,College
KCOZ,91.7 FM,Point Lookout,College of the Ozarks,Jazz
KCPZ-LP,95.3 FM,Kansas City,Concrete Truth Community Network,
KCRL,90.3 FM,Sunrise Beach,Community Broadcasting Inc.,Religious
KCRV,1370 AM,Caruthersville,Pollack Broadcasting Co.,Country
KCRV-FM,105.1 FM,Caruthersville,Pollack Broadcasting Co.,Oldies
KCSP,610 AM,Kansas City,"Entercom Kansas City License, LLC",Sports
KCSW-LP,97.1 FM,Canton,Culver-Stockton College,
KCTE,1510 AM,Independence,Union Broadcasting,Sports & Talk
KCTO,1160 AM,Cleveland,Alpine Broadcasting,Talk/Music
KCUR-FM,89.3 FM,Kansas City,The Curators of the University of Missouri,National Public Radio
KCVJ,100.3 FM,Osceola,Lake Area Educational Broadcasting Foundation,Christian Contemporary
