KBUD,102.1 FM,Sardis,"George S. Flinn, Jr.",Adult Hits
KJMS,101.1 FM,Olive Branch,"CC Licenses, LLC",Urban AC
KOUI,90.7 FM,Louisville,South Central Oklahoma Christian Broadcasting Inc.,
KQMP,89.7 FM,Hollywood,"Hispanic Family Christian Network, Inc.",
KRIQ-FM,88.9 FM,Richton,"Hispanic Family Christian Network, Inc.",
WABG,960 AM,Greenwood,SPB LLC,
WABO,990 AM,Waynesboro,Martin Broadcasting Company,Adult Hits
WABO-FM,105.5 FM,Waynesboro,Martin Broadcasting Company,Adult Hits
WACR-FM,105.3 FM,Columbus AFB,"Urban Radio Licenses, LLC",Urban AC
WADI,95.3 FM,Corinth,Power Valley Communications Inc.,Country
WAFM,95.7 FM,Amory,"Stanford Communications, Inc.",Oldies
WAFR,88.3 FM,Tupelo,American Family Association,AFR
WAGR-FM,102.5 FM,Lexington,"Holmes County Broadcasting Company, LLC",Urban Oldies
WAID,106.5 FM,Clarksdale,"Radio Cleveland, Inc.",Urban Contemporary
WAII,89.3 FM,Hattiesburg,American Family Association,AFR
WAJS,91.7 FM,Tupelo,American Family Association,AFR
WAJV,98.9 FM,Brooksville,"Urban Radio Licenses, LLC",Gospel
WAKH,105.7 FM,McComb,"Charles W. Dowdy, Debtor-in-Possession",Country
WAKK,980 AM,McComb,"Charles W. Dowdy, Debtor-in-Possession",Gospel
WALT,910 AM,Meridian,"New South Communications, Inc.",Talk Radio
WALT-FM,102.1 FM,Meridian,"New South Communications, Inc.",Talk Radio
WAML,1340 AM,Laurel,"Walking By Faith Ministries, Inc.",Silent
WAMY,1580 AM,Amory,"Stanford Communications, Inc.",News/Talk
WAOY,91.7 FM,Gulfport,American Family Association,AFR
WAPF,1140 AM,McComb,"Charles W. Dowdy, Debtor-in-Possession",Sports
WAQB,90.9 FM,Tupelo,American Family Association,AFR
WAQL,90.5 FM,McComb,American Family Association,AFR
WASM,91.1 FM,Natchez,American Family Association,AFR
WATP,90.9 FM,Laurel,American Family Association,AFR
WATU,89.3 FM,Port Gibson,American Family Association,AFR
WAUM,91.9 FM,Duck Hill,American Family Association,AFR
WAVI,91.5 FM,Oxford,American Family Association,AFR
WAVN,1240 AM,Southaven,Arlington Broadcasting Company,Southern Gospel
WAZA,107.7 FM,Liberty,"Charles W. Dowdy, Debtor-in-Possession",Urban Contemporary
WBAD,94.3 FM,Leland,"Interchange Communications, Inc.",Urban
WBBN,95.9 FM,Taylorsville,"Blakeney Communications, Inc",Country
WBBV,101.3 FM,Vicksburg,"Holladay Broadcasting of Louisiana, L.L.C.",Country
WBIP,1400 AM,Booneville,"Community Broadcasting Services of Mississippi, Inc.",Classic Country
WBKN,92.1 FM,Brookhaven,"Charles W. Dowdy, Debtor-in-Possession",Country
WBLE,100.5 FM,Batesville,"Batesville Broadcasting Co., Inc.",Country
WBUV,104.9 FM,Moss Point,"CC Licenses, LLC",Talk Radio
WBVV,99.3 FM,Guntown,"CC Licenses, LLC",Gospel
WBYP,107.1 FM,Belzoni,"Zoo-Bel Broadcasting, LLC",Country
WBZL,103.3 FM,Greenwood,"Telesouth Communications, Inc.",
WCHJ,1470 AM,Brookhaven,"Tillman Broadcasting Network, Inc.",
WCJU,1450 AM,Columbia,"WCJU, Incorporated",
WCJU-FM,104.9 FM,Prentiss,Sunbelt Broadcasting Corporation,Oldies
WCKK,96.7 FM,Walnut Grove,Johnny Boswell Radio LLC,Country
WCLD,1490 AM,Cleveland,"Radio Cleveland, Inc.",
WCLD-FM,103.9 FM,Cleveland,"Radio Cleveland, Inc.",
WCNA,95.9 FM,Potts Camp,"Air South Radio, Inc.",Adult Hits
WCPC,940 AM,Houston,Cajun Radio Corporation,
WCPR-FM,97.9 FM,Wiggins,"L&L Licensee, LLC",Active Rock
WCSA,1260 AM,Ripley,Keyboard Broadcasting Communication,
WCSO,90.5 FM,Columbus,American Family Association,AFR
WDFX,98.3 FM,Cleveland,American Family Association,AFR
WDMS,100.7 FM,Greenville,"ARK-LA-MS Radio Group, LLC",Country
WDON-LP,102.3 FM,Vicksburg,Vicksburg Community Radio,
WDSV,91.9 FM,Greenville,"Delta Foundation, Inc.",
WDXO,92.9 FM,Hazlehurst,"Telesouth Communications, Inc.",Sports
WEBL,95.3 FM,Coldwater,"Memphis First Ventures, L.P.",Country
WEHS-LP,101.7 FM,Eupora,Voice of Eupora,
WELO,580 AM,Tupelo,"JMD, Inc.",
WELZ,1460 AM,Belzoni,"Zoo-Bel Broadcasting, LLC",
WESE,92.5 FM,Baldwyn,Capstar TX LLC,Urban Contemporary
WESY,1580 AM,Leland,"East Delta Communications, Inc.",
WEXR,106.9 FM,Stonewall,Meridian Community College Foundation,Easy Listening
WFCA,107.9 FM,Ackerman,"French Camp Radio, Inc.",Southern Gospel
WFCG,107.3 FM,Tylertown,"Charles W. Dowdy, Debtor-in-Possession",
WFFF,1360 AM,Columbia,"Haddox Enterprises, Inc.",
WFFF-FM,96.7 FM,Columbia,"Haddox Enterprises, Inc.",Adult Contemporary
WFFX,103.7 FM,Hattiesburg,"CC Licenses, LLC",Active Rock
WFMM,97.3 FM,Sumrall,"Telesouth Communications, Inc",Talk Radio
WFMN,97.3 FM,Flora,"WFMN Radio, Inc.",Talk Radio
WFOR,1400 AM,Hattiesburg,"CC Licenses, LLC",
WFQY,970 AM,Brandon,"Jackson Radio, LLC",Classic Hip Hop
WFTA,101.9 FM,Fulton,"Air South Radio, Inc.",Adult contemporary
WGBL,96.7 FM,Gulfport,"L&L Licensee, LLC",Country
WGCM,1240 AM,Gulfport,"JMD, Inc",Country
WGCM-FM,102.3 FM,Gulfport,"JMD, Inc.",Classic Hits
WGDQ,93.1 FM,Hattiesburg,Vernon Floyd dba Circuit Broadcasting of Hattiesburg,Urban Oldies
WGNG,106.3 FM,Tchula,"Team Broadcasting Company, Inc.",Urban Contemporary
WGNL,104.3 FM,Greenwood,"Team Broadcasting Company, Inc.",
WGRM,1240 AM,Greenwood,"Christian Broadcasting of Greenwood, Inc.",
WGRM-FM,93.9 FM,Greenwood,"Christian Broadcasting of Greenwood, Inc.",Gospel
WGVM,1260 AM,Greenville,"ARK-LA-MS Radio Group, LLC",Classic Rock
WGWT-LP,103.7 FM,Houston,"Compass Points Educational Foundation, Inc.",
WHAL-FM,95.7 FM,Horn Lake,"CC Licenses, LLC",Urban Gospel
WHJA,890 AM,Laurel,"Donald Pugh, Sr.",OFF AIR
WHJT,93.5 FM,Clinton,Mississippi College,Contemporary Christian
WHKL,106.9 FM,Crenshaw,"Batesville Broadcasting Co., Inc.",Oldies
WHLH,95.5 FM,Jackson,Capstar TX LLC,Gospel
WHOC,1490 AM,Philadelphia,"WHOC, Inc.",
WHSY,950 AM,Hattiesburg,"Gulf South Communications, LLC",
WIBT,104.7 FM,Greenville,Mondy-Burke Broadcasting Network,Urban Contemporary
WIIN,780 AM,Ridgeland,"New South Radio, Inc",Oldies (all-Beatles)
WIQQ,102.3 FM,Leland,"Delta Radio Network, LLC",Top 40 Hits
WIVG,96.1 FM,Tunica,Flinn Broadcasting Corporation,Classic Hip Hop
WIXP-LP,106.7 FM,Greenville,"Grace Outreach Bible Church, Inc.",
WIZK,1570 AM,Bay Springs,"Sage Communications, LLC",
WJAI,93.9 FM,Pearl,Educational Media Foundation,Christian Rock
WJBI,1290 AM,Batesville,"Batesville Broadcasting Co., Inc.",Oldies
WJDQ,101.3 FM,Meridian,Mississippi Broadcasters LLC,Adult CHR
WJDR,98.3 FM,Prentiss,Sun Belt Broadcasting Corporation,Country
WJDX,620 AM,Jackson,Capstar TX LLC,News/Talk
WJDX-FM,105.1 FM,Kosciusko,Capstar TX LLC,Classic Hits
WJKK,98.7 FM,Vicksburg,"New South Radio, Inc.",Adult Contemporary
WJKX,102.5 FM,Ellisville,"CC Licenses, LLC",Urban AC
WJLV,94.7 FM,Jackson,Educational Media Foundation,Contemporary Christian
WJMG,92.1 FM,Hattiesburg,Circuit Broadcasting Company of Hattiesburg,Urban Contemporary
WJMI,99.7 FM,Jackson,Alpha Media Licensee LLC,Mainstream Urban
WJNS-FM,92.1 FM,Bentonia,"Family Worship Center Church, Inc.",Religious
WJNT,1180 AM,Pearl,Alpha Media Licensee LLC,
WJQS,1400 AM,Jackson,Alpha Media Licensee LLC,
WJSU-FM,88.5 FM,Jackson,Jackson State University,College
WJWF,1400 AM,Columbus,Cumulus Licensing LLC,Silent
WJXM,105.7 FM,De Kalb,"Mississippi Broadcasters, L.L.C.",Mainstream Urban
WJXN-FM,100.9 FM,Utica,Flinn Broadcasting Corporation,Adult Hits
WJZB,88.7 FM,Starkville,American Family Association,AFR
WJZD-FM,94.5 FM,Long Beach,"WJZD, Inc.",Mainstream Urban
WKBB,100.9 FM,West Point,"Telesouth Communications, Inc.",
WKCU,1350 AM,Corinth,"Telesouth Communications, Inc.",Sports
WKDJ-FM,96.5 FM,Clarksdale,"Radio Cleveland, Inc.",
WKIF,96.5 FM,Holly Springs,"George S. Flinn, Jr.",Contemporray Christian (K-LOVE)
WKIU-LP,95.1 FM,Tupelo,"Tupelo 2000, Inc.",
WKJN,104.9 FM,Centreville,"Charles W. Dowdy, Debtor-in-Possession",Gospel
WKMQ,1060 AM,Tupelo,Capstar TX LLC,
WKNN-FM,99.1 FM,Pascagoula,"CC Licenses, LLC",Country
WKOR-FM,94.9 FM,Columbus,Cumulus Licensing LLC,Country
WKOZ-FM,98.3 FM,Carthage,Johnny Boswell Radio LLC,
WKRA,1110 AM,Holly Springs,Billy R. Autry,
WKRA-FM,92.7 FM,Holly Springs,Billy R. Autry,Urban Contemporary/Black Gospel
WKSO,97.3 FM,Natchez,Will Perk Broadcasting,Adult Top 40
WKXG,1540 AM,Greenwood,"Eternity Records Company, LLC",
WKXI-FM,107.5 FM,Magee,Alpha Media Licensee LLC,Urban AC
WKXY,92.1 FM,Merigold,Delta Radio LLC,Country
WKZB,95.1 FM,Marion,New South Communications,Classic Hits
WKZU,104.9 FM,Iuka,"Kudzu Communications, Inc.",Classic Country
WKZW,94.3 FM,Sandersville,"Blakeney Communications, Inc.",Hot AC
WLAU,99.3 FM,Heidelberg,"TeleSouth Communications, Inc.",News/Talk
WLEZ-LP,98.1 FM,Jackson,Voice of the Community Radio,Standards
WLIN-FM,101.1 FM,Durant,"Boswell Media, LLC",Hot AC
WLRC,850 AM,Walnut,B. R. and Martha S. Clayton,
