KAAK,98.9 FM,Great Falls,"CCR-Great Falls IV, LLC",Top 40 (CHR)
KAAR,92.5 FM,Butte,"CCR-Butte IV, LLC",Country
KAFH,91.5 FM,Great Falls,American Family Association,Religion
KALS,97.1 FM,Kalispell,Kalispell Christian Radio Fellowship,Religious
KANA,580 AM,Anaconda,"A.W.A.R.E., Inc.",Classic Hits
KANB-LP,102.3 FM,Kalispell,"Flathead Adventist Radio, Inc.",
KAPC,91.3 FM,Butte,University of Montana,Montana Public Radio
KATL,770 AM,Miles City,Star Printing Company,Adult Contemporary
KATQ,1070 AM,Plentywood,Radio International KATQ Broadcast Association,Classic Country
KATQ-FM,100.1 FM,Plentywood,Radio International KATQ Broadcast Association,Classic Rock
KBAS-LP,98.3 FM,Basin,Jefferson County Disaster & Emergency Services,
KBAZ,96.3 FM,Hamilton,"townsquare Media Missoula License, LLC",Active Rock
KBBZ,98.5 FM,Kalispell,"Bee Broadcasting, Inc.",Classic Rock
KBCK,1400 AM,Deer Lodge,Robert Cummings Toole,Classic Country
KBEV-FM,98.3 FM,Dillon,"Dead Air Broadcasting Company, Inc.",Adult Contemporary
KBGA,89.9 FM,Missoula,University of Montana,Student Radio
KBIL,89.7 FM,Park City,Educational Media Foundation,Religion
KBLG,910 AM,Billings,"Connoisseur Media Licenses, LLC",Sports
KBLL,1240 AM,Helena,"CCR-Helena IV, LLC",News/Talk
KBLL-FM,99.5 FM,Helena,"CCR-Helena IV, LLC",Country
KBLW,90.1 FM,Billings,"Hi-Line Radio Fellowship, Inc.",Religiou
KBMC,102.1 FM,Bozeman,Montana State University - Billings,NPR/Public Radio
KBMI-FM,104.1 FM,East Helena,"CCR-Helena IV, LLC",Hot Adult Contemporary
KBOW,550 AM,Butte,"Butte Broadcasting, Inc",Country
KBOZ,1090 AM,Bozeman,Reier Broadcasting Company,Talk/Personality
KBOZ-FM,99.9 FM,Bozeman,Reier Broadcasting Company,Country
KBSR,1490 AM,Laurel,Sun Mountain,Talk
KBUL,970 AM,Billings,"Townsquare Media Billings License, LLC",News/Talk
KBWG-LP,107.5 FM,Browning,Town of Browning,
KBXI,92.5 FM,Park City,"Chaparral Broadcasting, Inc.",Adult Hits
KBZM,104.7 FM,Big Sky,Orion Media LLC,Classic Rock
KCAP,950 AM,Helena,"The Montana Radio Company, LLC",News/Talk
KCCH-LP,97.7 FM,Helena,"Calvary Chapel of Helena, Inc.",
KCGM,95.7 FM,Scobey,"Prairie Communications, Inc.",Country
