WAAE,91.9 FM,New Bern,American Family Association,Religious
WAAV,980 AM,Leland,Cumulus Licensing LLC,News/Talk
WACB,860 AM,Taylorsville,Apple City Broadcasting,Variety
WADE,1340 AM,Wadesboro,Inspirational Deliverance Center,Urban Gospel
WAGO,88.7 FM,Snow Hill,Pathway Christian Academy,Religious
WAGR,1340 AM,Lumberton,WAGR Broadcasting,Gospel
WAGY,1320 AM,Forest City,"WAGY, Inc.",Country
WAIZ,630 AM,Hickory,Newton-Conover Communications,Oldies
WAME,550 AM,Statesville,Statesville Family Radio Corporation,Classic Country
WANG,1330 AM,Havelock,"NM License, LLC",Adult Standards/MOR
WAOG-LP,100.7 FM,Aberdeen,Calvary Chapel of the Sandhills,
WARR,1520 AM,Warrenton,"Quad Divisions, Inc. dba Darensburg Broadcasting",
WASU-FM,90.5 FM,Boone,WASU-FM,College Radio
WATA,1450 AM,Boone,"High Country Adventures, LLC",
WAUG,750 AM,New Hope,Saint Augustine's College,Variety
WAVQ,1400 AM,Jacksonville,"CDV Broadcasting, LLC",Classic Hits
WAYN,900 AM,Rockingham,WAYN Incorporated,Adult Contemporary
WAZO,107.5 FM,Southport,"Sunrise Broadcasting, LLC",Top 40 (CHR)
WAZZ,1490 AM,Fayetteville,WAZZ License Limited Partnership,Soft Adult Contemporary
WBAG,1150 AM,Burlington-Graham,"Gray Broadcasting, LLC",
WBAV-FM,101.9 FM,Gastonia,CBS Radio Stations Inc.,Urban AC
WBBB,96.1 FM,Raleigh,"Carolina Media Group, Inc.",Adult Hits
WBCN,1660 AM,Charlotte,CBS Radio Stations Inc.,Sports
WBFJ,1550 AM,Winston-Salem,"Word of Life Broadcasting, Inc.",
WBFJ-FM,89.3 FM,Winston-Salem,"Triad Family Network, Inc.",Christian Teaching & Talk
WBFY,90.3 FM,Pinehurst,American Family Association,Religious
WBHN,1590 AM,Bryson City,"Lighthouse Broadcasting, Inc.",
WBJD,91.5 FM,Atlantic Beach,Craven Community College,Public Radio
WBKU,91.7 FM,Ahoskie,American Family Association,Religious
WBLA,1440 AM,Elizabethtown,Baldwin Branch Missionary Baptist Church,Oldies
WBLO,790 AM,Thomasville,"GHB Radio, Inc.",
WBNE,103.7 FM,Wrightsville Beach,Sea-Comm Media,News/Talk
WBNK,92.7 FM,Pine Knoll Shores,"Tower Investment Trust, Inc.",
WBPL-LP,92.7 FM,Wilmington,Archangel Gabriel Association,
WBRM,1250 AM,Marion,"WBRM, Inc.",
WBT,1110 AM,Charlotte,Greater Media Charlotte Inc.,News/Talk
WBTE,990 AM,Windsor,Dr. Tine Hicks & Associate,
WBUX,90.5 FM,Buxton,Board of Trustees University of NC at Chapel Hill,Classical
WBXB,100.1 FM,Edenton,"Edenton Christian Radio, Inc.",Urban Gospel
WBYJ-LP,97.9 FM,Burlington,"Burlington Christian Radio, Inc.",
WCAB,590 AM,Rutherfordton,"Isothermal Broadcasting Company, Inc.",
WCBQ,1340 AM,Oxford,"The Paradise Network (TPN) of North Carolina, Inc.",
WCBT,1230 AM,Roanoke Rapids,"Johnson Broadcast Ventures, Ltd.",
WCCE,90.1 FM,Buies Creek,"Radio Training Network, Inc.",Religious
WCCG,104.5 FM,Hope Mills,Dr. James E. Carson,Mainstream Urban
WCGC,1270 AM,Belmont,"WVHN, Inc.",
WCHL,1360 AM,Chapel Hill,"Vilcom Interactive Media, LLC",News/Talk/Sports
WCIS,760 AM,Morganton,W.F.M. Incorporated,
WCKB,780 AM,Dunn,"North Carolina Central Broadcasters, Inc.",
WCLN,1170 AM,Clinton,"Clinton Sampson Radio Company, Inc.",Oldies
WCLN-FM,107.3 FM,Clinton,Christian Listening Network,Religious
WCLW,1130 AM,Eden,Dr. Jerry L. Carter dba Reidsville Baptist Church,
