WANH,91.5 FM,Meredith,"New Hampshire Gospel Radio, Inc.",Religious
WASR,1420 AM,Wolfeboro,"Winnipesaukee Network, Inc.",Adult Standards/MOR
WBNC,1340 AM,Conway,"Mt. Washington Radio & Gramophone, L.L.C.",
WBUB-LP,101.5 FM,Portsmouth,Cultural Media Connection,
WBYY,98.7 FM,Somersworth,"Garrison City Broadcasting, Inc.",Adult Contemporary
WCCM,1110 AM,Salem,Costa-Eagle Radio Ventures Limited Partnership,News/Talk
WCNH,91.5 FM,Bow,"New Hampshire Public Radio, Incorporated",Classical
WCNL,1010 AM,Newport,"Koor Communications, Inc.",Country
WDER,1320 AM,Derry,"Blount Communications, Inc. of NH",Religious
WDER-FM,92.1 FM,Peterborough,"Blount Communications, Inc. of NH",Religious
WEEY,93.5 FM,Swanzey,"Great Eastern Radio, LLC",Sports
WEMJ,1490 AM,Laconia,"WBIN Media Co., Inc.",News/Talk
WERZ,107.1 FM,Exeter,Capstar TX LLC,Top 40/CHR
WEVC,107.1 FM,Gorham,"New Hampshire Public Radio, Incorporated",Public Radio
WEVF,90.3 FM,Colebrook,"New Hampshire Public Radio, Incorporated",Public Radio
WEVH,91.3 FM,Hanover,"New Hampshire Public Radio, Incorporated",Public Radio
WEVJ,99.5 FM,Jackson,"New Hampshire Public Radio, Incorporated",Public Radio
WEVN,90.7 FM,Keene,"New Hampshire Public Radio, Incorporated",Public Radio
WEVO,89.1 FM,Concord,"New Hampshire Public Radio, Incorporated",Public Radio
WEVQ,91.9 FM,Littleton,"New Hampshire Public Radio, Incorporated",News/Talk
WEVS,88.3 FM,Nashua,"New Hampshire Public Radio, Incorporated",Public Radio
WEZS,1350 AM,Laconia,Gary W. Hammond,Oldies
WFEA,1370 AM,Manchester,"Saga Communications of New England, LLC",Adult Standards/MOR
WFNQ,106.3 FM,Nashua,"WBIN Media Co., Inc.",Classic Hits
WFPC-LP,105.3 FM,Rindge,Franklin Pierce College,College
WFRD,99.3 FM,Hanover,Trustees of Dartmouth College,Modern Rock
WFTN,1240 AM,Franklin,Northeast Communications Corporation,Adult Standards/MOR
WFTN-FM,94.1 FM,Franklin,Northeast Communications Corporation,Top 40/CHR
WFYX,96.3 FM,Walpole,"Great Eastern Radio, LLC",Classic Hits
WGAM,1250 AM,Manchester,"Absolute Broadcasting, LLC",Sports
WGHM,900 AM,Nashua,"Absolute Broadcasting, LLC",Sports
WGIR,610 AM,Manchester,Capstar TX LLC,News/Talk
WGIR-FM,101.1 FM,Manchester,Capstar TX LLC,Album Oriented Rock
WGXL,92.3 FM,Hanover,"Great Eastern Radio, LLC",Hot AC
WHDQ,106.1 FM,Claremont,"Great Eastern Radio, LLC",Classic Rock
WHEB,100.3 FM,Portsmouth,Capstar TX LLC,Album Oriented Rock
WHOM,94.9 FM,Mount Washington,"Townsquare Media Portland License, LLC",Adult Contemporary
WINQ,98.7 FM,Winchester,"Saga Communications of New Hampshire, LLC",Country
WJSK-LP,101.1 FM,Bartlett,The Bartlett-Jackson Community Broadcasters Association,
WJYY,105.5 FM,Concord,"WBIN Media Co., Inc.",Top 40/CHR
WKBK,1290 AM,Keene,"Saga Communications of New England, LLC",News/Talk
WKDR,1490 AM,Berlin,"White Mountains Broadcasting, LLC",Classic Rock
WKHP-LP,94.9 FM,Keene,Keene Foursquare Church D/B/A Harvest Christian Fellowship,Religious
WKNE,103.7 FM,Keene,"Saga Communications of New England, LLC",Hot AC
