Call sign,Frequency,City of License [1][2],Licensee,Format [3]
WADB,1310 AM,Asbury Park,"Townsquare Media Monmouth-Ocean License, LLC",News/Talk (simulcast of WOBM (AM))
WAIV,105.5 FM,Cape May,Equity Communications,Contemporary Hit Radio
WAJM,88.9 FM,Atlantic City,Atlantic City Board of Education,Freeform/Educational
WAWZ,99.1 FM,Zarephath,Pillar of Fire Church,Contemporary Christian
WAYV,95.1 FM,Atlantic City,Equity Communications,Top 40
WBBO,98.5 FM,Ocean Acres,"Press Communications, LLC",Top 40
WBGO,88.3 FM,Newark,Newark Public Radio,Jazz
WBHX,99.7 FM,Tuckerton,"Press Communications, LLC",Simulcast of WWZY
WBJB-FM,90.5 FM,Lincroft,Brookdale Community College,Adult album alternative
WBNJ,91.9 FM,Barnegat,WWN Educational Radio Corporation,Adult standards
WBSS,1490 AM,Pleasantville,Longport Media,Simulcast of WTKU-FM
WBZC,88.9 FM,Pemberton,Burlington County College,Rhythmic Contemporary
WCFA-LP,101.5 FM,Cape May,"Center for Community Arts, Inc.",Jazz
WCHR,920 AM,Trenton,"Connoisseur Media Licenses, LLC",News/Talk
WCHR-FM,105.7 FM,Manahawkin,"Townsquare Media Monmouth-Ocean License, LLC",Classic rock
WCMC,1230 AM,Wildwood,"Equity Communications, LP",Oldies
WCTC,1450 AM,New Brunswick,The Sentinel Publishing Co.,Talk
WCVH,90.5 FM,Flemington,Hunterdon Central High School Board of Education,Country
WCZT,98.7 FM,Villas,"Coastal Broadcasting Systems, Inc.",Hot Adult Contemporary
WDBK,91.5 FM,Blackwood,Camden County College,Alternative rock
WDHA-FM,105.5 FM,Dover,The Sentinel Publishing Co.,Rock
WDNJ,88.1 FM,Hopatcong,"Youngshire Media, Inc.",
WDVR,89.7 FM,Delaware Township,Penn-Jersey Educational Radio Corp.,Variety
WEHA,88.7 FM,Port Republic,"Spread the Gospel, Inc.",Gospel
WEMG,1310 AM,Camden,"Davidson Media Station WEMG Licensee, LLC",Spanish contemporary
WENJ,97.3 FM,Millville,"Townsquare Media Atlantic City License, LLC",ESPN Radio
WEZW,93.1 FM,Wildwood Crest,"Equity Communications, LP",Easy listening
WFAI,1510 AM,Salem,QC Communications,nonbroadcast
WFDS,88.1 FM,Pennsville,"Chesapeake Catholic Radio, Inc.",
WFDU,89.1 FM,Teaneck,Fairleigh Dickinson University,College radio
WFJS,1260 AM,Trenton,Domestic Church Media Foundation,Religious
WFJS-FM,89.3 FM,Freehold,Domestic Church Media Foundation,
WFMU,91.1 FM,East Orange,Auricle Communications,Freeform/eclectic
WFPG,96.9 FM,Atlantic City,"Townsquare Media Atlantic City License, LLC",Adult Contemporary
WGBZ,102.3 FM,Cape May Court House,Equity Communications,Rhythmic Contemporary
WGHT,1500 AM,Pompton Lakes,Mariana Broadcasting,Oldies
WGLS-FM,89.7 FM,Glassboro,Rowan University,College radio
WGYM,1580 AM,Hammonton,Access 1 New Jersey Licensing Company,Spanish
WHCY,106.3 FM,Blairstown,"CC Licenses, LLC",Hot AC
WHTG,1410 AM,Eatontown,"Press Communications, LLC",Oldies
WHTZ,100.3 FM,Newark,"AMFM Radio Licenses, L.L.C.",Top 40
WHWH,1350 AM,Princeton,"Multicultural Radio Broadcasting Licensee, LLC",Radio TED
WIBG,1020 AM,Ocean City,Enrico S. Brancadora,News/Talk
WIBG-FM,94.3 FM,Avalon,WIBG LLC,Oldies
WIFI,1460 AM,Florence,Real Life Broadcasting,Variety
WIMG,1300 AM,Ewing,"Morris Broadcasting Company of New Jersey, Inc.",Gospel
WJDM,1530 AM,Elizabeth,"Multicultural Radio Broadcasting Licensee, LLC",Spanish religious
WJKS,101.7 FM,Canton,QC Communications,Urban contemporary
WJLK,94.3 FM,Asbury Park,"Townsquare Media Monmouth-Ocean License, LLC",Hot AC
WJPG,88.1 FM,Cape May Court House,Maranatha Ministries,Contemporary Christian
WJPH,89.9 FM,Woodbine,Maranatha Ministries,Simulcast of WJPG
WJRZ-FM,100.1 FM,Manahawkin,Jersey Shore Broadcasting Corporation,Classic Hits
WJSE,106.3 FM,North Cape May,"Coastal Broadcasting Systems, Inc.",Alternative Rock
WJSV,90.5 FM,Morristown,Morris School District,Top 40
WKMB,1070 AM,Stirling,"World Harvest Communications, Inc",Gospel
WKMK,106.3 FM,Eatontown,"Press Communications, LLC",Country
WKNJ-FM,90.3 FM,Union Township,Kean University,Freeform
WKVP,106.9 FM,Camden,Educational Media Foundation,Contemporary Christian
WKXW,101.5 FM,Trenton,"Townsquare Media Trenton License, LLC",News/Talk; Classic Hits
WLFR,91.7 FM,Pomona,Richard Stockton College of New Jersey,Freeform
WLNJ,91.7 FM,Lakehurst,WYRS Broadcasting,
WLOM-LP,92.7 FM,Ocean City,"Calvary Chapel of Ocean City, Inc.",
WMCX,88.9 FM,West Long Branch,Monmouth University,Modern Rock
WMDI-LP,107.9 FM,Lakewood,American Institute for Jewish Education (AIJE),
WMGM,103.7 FM,Atlantic City,Longport Media,Mainstream Rock
WMGQ,98.3 FM,New Brunswick,The Sentinel Publishing Co.,Adult Contemporary/Soft rock
WMID,1340 AM,Atlantic City,Equity Communications,Oldies
WMIZ,1270 AM,Vineland,Clear Communications,Spanish Tropical
WMRH-LP,101.7 FM,Linwood,Mainland Regional High School,
WMSC,90.3 FM,Upper Montclair,Montclair State University,Freeform
WMTR,1250 AM,Morristown,The Sentinel Publishing Co.,Oldies
WMVB,1440 AM,Millville,Quinn Broadcasting,Simulcast of WSNJ
WNEQ,90.3 FM,Taylortown,"Redeemer Broadcasting, Inc.",
WNJB-FM,89.3 FM,Bridgeton,"WHYY, Inc.",NPR
WNJC,1360 AM,Washington Township,Forsythe Broadcasting,Brokered Time
WNJE,1040 AM,Flemington,"Connoisseur Media Licenses, LLC",Religious
WNJM,89.9 FM,Manahawkin,"WHYY, Inc.",NPR
WNJN-FM,89.7 FM,Atlantic City,"WHYY, Inc.",NPR
WNJO,90.3 FM,Toms River,New York Public Radio,NPR
