Call sign,Frequency,City of License [1][2],Licensee,Format [3]
KABG,98.5 FM,Los Alamos,"AGM Nevada, LLC",Oldies
KABQ,1350 AM,Albuquerque,"Clear Channel Broadcasting Licenses, Inc.",Talk (Progressive)
KABQ-FM,104.7 FM,Bosque Farms,"Aloha Station Trust, LLC",Classic Hits
KABR,107.5 FM,Alamo Community,"Alamo Navajo School Board, Inc.",
KAGM,106.7 FM,Los Alamos,"AGM Nevada, LLC",Rhythmic Contemporary
KALH-LP,95.1 FM,Alamogordo,Southwestern Trails Cultural Heritage Association,
KALN,96.1 FM,Dexter,"Hispanic Target Media, Inc.",
KAMQ,1240 AM,Carlsbad,KAMQ Inc.,Sports
KANW,89.1 FM,Albuquerque,"Board of Education of the City of Albuquerque, NM",Spanish Variety
KAQF,91.1 FM,Clovis,American Family Association,
KARS,840 AM,Belen,"AGM Nevada, LLC",Modern Rock
KASV,91.3 FM,Red River,Top O Texas Educational Broadcasting Foundation,
KATK,740 AM,Carlsbad,Carlsbad Radio,Classic Hits
KATK-FM,92.1 FM,Carlsbad,Carlsbad Radio,Country
KAZX,102.9 FM,Kirtland,Capstar TX LLC,Top 40
KBAC,98.1 FM,Las Vegas,"Hutton Broadcasting, LLC",Adult Album Alternative
KBCQ,1230 AM,Roswell,"Majestic Broadcasting, LLC",Oldies
KBCQ-FM,97.1 FM,Roswell,"Majestic Broadcasting, LLC",Rhythmic Top 40
KBIM,910 AM,Roswell,Noalmark Broadcasting Corporation,News/Talk
KBIM-FM,94.9 FM,Roswell,Noalmark Broadcasting Corporation,Country
KBKZ,96.5 FM,Raton,Phillips Broadcasting,Country
KBNM-LP,98.7 FM,Belen,Tixs for Kids,
KBOM,88.7 FM,Socorro,Regents of the University of New Mexico,
KBQI,107.9 FM,Albuquerque,"Citicasters Licenses, Inc.",Country
KBQL,92.7 FM,Las Vegas,Matias C Martinez,
KBUY,1360 AM,Ruidoso,"Walton Stations - New Mexico, Inc.",
KBZU,96.3 FM,Albuquerque,"Radio License Holding CBC, LLC",Country
KCCC,930 AM,Carlsbad,Compass Enterprise,Oldies
KCDY,104.1 FM,Carlsbad,KAMQ Inc.,Hot AC
KCEI,90.1 FM,Red River,Cultural Energy,
KCHS,1400 AM,Truth Or Consequences,GPK Media,
KCIE,90.5 FM,Dulce,Jicarilla Apache Tribe,Variety
KCKN,1020 AM,Roswell,Radio Vision Cristiana Subsidiary Corp.,Classic Country
KCLV,1240 AM,Clovis,Zia Broadcasting,
KCLV-FM,99.1 FM,Clovis,Zia Broadcasting,Country
KCMG-LP,100.1 FM,Lovington,Lovington Christian Broadcasting Corporation,
KCQL,1340 AM,Aztec,Capstar TX LLC,Sports
KCRX,1430 AM,Roswell,Rosendo Casarez Jr.,Oldies
KDAG,96.9 FM,Farmington,Capstar TX LLC,Active Rock
KDAZ,730 AM,Albuquerque,Pan American Broadcasting,Christian Radio
KDCE,950 AM,Espanola,"Richard L. Garcia Broadcasting, Inc.",Spanish AC
KDEF,1150 AM,Albuquerque,Ramh Corporation,News & Sports
KDEM,94.3 FM,Deming,Luna County Broadcasting,Adult Contemporary
KDLW,106.3 FM,Los Lunas,"AGM Nevada, LLC",Contemporary Hit Radio
KDNM,90.1 FM,Reserve,Cochise Community Radio Corporation,
KDRF,103.3 FM,Albuquerque,"Radio License Holding CBC, LLC",Adult Hits
