KACE,97.9 FM,Beatty,"Smith and Fitzgerald, Partnership",
KACP,95.9 FM,Pahrump,"Shamrock Communications, Inc.",
KADD,93.5 FM,Logandale,M&M Broadcasting LLC,Ethnic
KAER,89.3 FM,Mesquite,Educational Media Foundation,
KAIZ,91.1 FM,Mesquite,Educational Media Foundation,Contemporary Christian
KAVB,98.7 FM,Hawthorne,"Alma Vision Hispanic Network, Inc.",
KAVS-LP,93.9 FM,Fallon,Oasis Christian Radio,Christian
KBAD,920 AM,Las Vegas,Lotus Broadcasting Corp.,Sports
KBET,790 AM,Winchester,Silver State Broadcasting LLC,Classic Country
KBGZ,103.9 FM,Spring Creek,Ruby Radio Corporation,
KBSJ,91.3 FM,Jackpot,Idaho State Board of Education,News Talk Information
KBUL-FM,98.1 FM,Carson City,"Radio License Holding CBC, LLC",Country
KBZZ,1270 AM,Sparks,Americom Las Vegas Limited Partnership,Sports
KCEP,88.1 FM,Las Vegas,Economic Opportunity Board of Clark County,Urban Contemporary
KCMY,1300 AM,Carson City,"The Evans Broadcasting Company, Inc.",Classic Country
KCNV,89.7 FM,Las Vegas,Nevada Public Radio,Classical
KCYE,102.7 FM,Boulder City,"KJUL License, LLC",Country
KDOT,104.5 FM,Reno,Lotus Radio Corp.,Active Rock
KDSS,92.7 FM,Ely,"Coates Broadcasting, Inc.",Country
KDWN,720 AM,Las Vegas,KDWN License Limited Partnership,News Talk Information
KEKL,88.5 FM,Mesquite,Southern Nevada Educational Broadcasters,Contemporary Christian
KELC,91.9 FM,Hawthorne,"American Educational Broadcasting, Inc.",
KELK,1240 AM,Elko,Elko Broadcasting Company,Adult Contemporary
KELY,1230 AM,Ely,"Ely Radio, LLC",News/Talk
KENO,1460 AM,Las Vegas,Lotus Broadcasting Corp.,Spanish Sports
KFBR,91.5 FM,Gerlach,Friends of Black Rock High Rock Inc.,
KFOY,1060 AM,Sparks,Lotus Radio Corp.,
KFRH,104.3 FM,North Las Vegas,Silver State Broadcasting LLC,Top 40
KGFN,89.1 FM,Goldfield,Radio Goldfield Broadcasting Inc.,
KHIT,1450 AM,Reno,Lotus Radio Corp.,Spanish Sports
KHIX,96.7 FM,Carlin,Ruby Radio Corporation,Hot Adult Contemporary
KHWG,750 AM,Fallon,"Media Enterprises, Inc.",Classic Country
KHWG-FM,100.1 FM,Crystal,"President of the Liberty Church of Nevada and His Successors, A Corporation Sole",
KHYX,102.7 FM,Winnemucca,Ruby Radio Corporation,Hot Adult Contemporary
KIHM,920 AM,Reno,IHR Educational Broadcasting,Religious
KISF,103.5 FM,Las Vegas,Univision Radio License Corporation,Mexican Regional
KJJJ,102.3 FM,Laughlin,Steven M. Greeley,
KJUL,104.7 FM,Moapa Valley,"Summit American, Inc.",Adult Standards/MOR
KKFT,99.1 FM,Gardnerville-Minden,"The Evans Broadcasting Company, Inc.",News Talk Information
KKLZ,96.3 FM,Las Vegas,"KJUL License, LLC",Classic Hits
KKOH,780 AM,Reno,"Radio License Holding CBC, LLC",News Talk Information
KKTT-LP,97.9 FM,Winnemucca,Winnemucca Christian Broadcasting Association,
KKTU-FM,99.5 FM,Fallon,"Lahontan Valley Broadcasting Company, LLC",Hot Adult Contemporary
KKVV,1060 AM,Las Vegas,"Las Vegas Broadcasters, Inc.",Religious
KLAP,89.5 FM,Gerlach,Openskyradio Corp.,
KLAV,1230 AM,Las Vegas,Lotus Broadcasting Corp.,News Talk Information
KLKO,93.7 FM,Elko,Elko Broadcasting Company,Adult Hits
KLKR,89.3 FM,Elko,Nevada Public Radio,
KLNR,91.7 FM,Panaca,Nevada Public Radio,News Talk Information
KLRH,92.9 FM,Reno,Educational Media Foundation,Contemporary Christian (K-LOVE)
KLSQ,870 AM,Whitney,KLSQ-AM License Corporation,Spanish Variety
KLUC-FM,98.5 FM,Las Vegas,CBS Radio Stations Inc.,Top 40/CHR
KLYX,89.7 FM,Pioche,Lincoln County School District,
