WAAL,99.1 FM,Binghamton,"Townsquare Media Binghamton License, LLC",Classic Rock
WABC,770 AM,New York City,Radio License Holdings LLC,News/Talk/Oldies
WABH,1380 AM,Bath,Pembrook Pines Mass Media N.A. Corp.,Sports
WABY,900 AM,Saratoga Springs,Empire Broadcasting Corporation,Adult Standards
WACK,1420 AM,Newark,"Waynco Radio, Inc.",News/Talk Information
WADO,1280 AM,New York City,WADO-AM License Corp.,Spanish News and Talk
WAER,88.3 FM,Syracuse,Syracuse University,Public Radio
WAIH,90.3 FM,Potsdam,State University of New York,Mixed
WAIO,95.1 FM,Honeoye Falls,"Citicasters Licenses, Inc.",Classic Rock
WAIX,1160 AM,Mechanicville,Empire Broadcasting Corporation,Hot AC
WAJZ,96.3 FM,Voorheesville,"6 Johnson Road Licenses, Inc.",Rhythmic Contemporary
WALF,89.7 FM,Alfred,Alfred University,Variety
WALK,1370 AM,Patchogue,"Aloha Station Trust, LLC",Adult Standards
WALK-FM,97.5 FM,Patchogue,"Aloha Station Trust, LLC",Adult Contemporary
WALL,1340 AM,Middletown,"Townsquare Media Poughkeepsie Licenses, LLC",Oldies
WAMC,1400 AM,Albany,"WAMC, Inc.",Public Radio
WAMC-FM,90.3 FM,Albany,"WAMC, Inc.",Public Radio
WAMK,90.9 FM,Kingston,"WAMC, Inc.",Public Radio
WANC,103.9 FM,Ticonderoga,"WAMC, Inc.",Public Radio
WANR,88.5 FM,Brewster,WAMC,
WANZ,90.1 FM,Stamford,"WAMC, Inc.",Public Radio
WAPP-LP,100.3 FM,Westhampton,Aquila Broadcasting Corp.,
WAQX-FM,95.7 FM,Manlius,"Radio License Holding CBC, LLC",Alternative rock
WARY,88.1 FM,Valhalla,Westchester Community College,Variety
WASB,1590 AM,Brockport,Genesee Media Corporation,Sports
WATN,1240 AM,Watertown,"Community Broadcasters, LLC",News/Talk
WAUB,1590 AM,Auburn,"Auburn Broadcasting, Inc.",News/Talk Information
WAVR,102.1 FM,Waverly,"WATS Broadcasting, Inc.",Adult Contemporary
WAXQ,104.3 FM,New York City,"AMFM Radio Licenses, L.L.C.",Classic Rock
WBAB,102.3 FM,Babylon,Cox Radio,Classic Rock
WBAI,99.5 FM,New York City,"Pacifica Foundation, Inc.",Community radio
WBAR-FM,94.7 FM,Lake Luzerne,Capital Media Corporation,Christian
WBAZ,102.5 FM,Bridgehampton,"LRS Radio, LLC",Adult Contemporary
WBBF,1120 AM,Buffalo,"Radio License Holding CBC, LLC",Spanish
WBBI,107.5 FM,Endwell,"CC Licenses, LLC",Country music
