WABQ,1460 AM,Painesville,"Radio Advantage One, LLC.",Gospel music
WAGX,101.3 FM,Manchester,Jewell Schaeffer Broadcasting Co.,Classic hits
WAIF,88.3 FM,Cincinnati,Real Stepchild Radio of Cincinnati,Variety
WAIS,770 AM,Buchtel,"Nelsonville TV Cable, Inc.",Talk
WAJB-LP,92.5 FM,Wellston,The Calvary Connection Independent Holiness Church,
WAKR,1590 AM,Akron,Rubber City Radio Group,Oldies
WAKS,96.5 FM,Akron,Capstar TX LLC,Top 40
WAKW,93.3 FM,Cincinnati,Pillar of Fire Church,Contemporary Christian
WAOL,99.5 FM,Ripley,Queen Cities Broadcasting LLC,Variety hits
WAOM,90.5 FM,Mowrystown,"God's Final Call & Warning, Inc.",
WAPS,91.3 FM,Akron,"Board of Education, Akron City School District",Adult album alternative
WARF,1350 AM,Akron,Capstar TX LLC,Sports (FSR)
WASN,1500 AM,Youngstown,"Y-Town Radio Broadcasting, LLC",News/talk
WATH,970 AM,Athens,"WATH, Inc.",Classic hits/Talk
WAUI,88.3 FM,Shelby,American Family Association,Christian (American Family)
WBBG,106.1 FM,Niles,"Citicasters Licenses, Inc.",Oldies
WBBW,1240 AM,Youngstown,Cumulus Licensing LLC,Sports (ESPN)
WBCJ,88.1 FM,Spencerville,"Taylor University Broadcasting, Inc.",Contemporary Christian
WBCO,1540 AM,Bucyrus,"Franklin Communications, Inc.",Adult standards
WBCY,89.5 FM,Archbold,"Taylor University Broadcasting, Inc.",Contemporary Christian
WBEX,1490 AM,Chillicothe,"Citicasters Licenses, Inc.",News/talk
WBGI-FM,100.5 FM,Bellaire,"Keymarket Licenses, LLC",Country music
WBGU,88.1 FM,Bowling Green,Bowling Green State University,College radio
WBIE,91.5 FM,Delphos,American Family Association,Christian (American Family)
WBIK,92.1 FM,Pleasant City,David L. Wilson,Classic rock
WBJV,88.9 FM,Steubenville,American Family Association,Christian (American Family)
WBKS,93.9 FM,Columbus Grove,"CC Licenses, LLC",Top 40
WBLL,1390 AM,Bellefontaine,V-Teck Communications,News/talk
WBNO-FM,100.9 FM,Bryan,"Impact Radio, LLC.",Classic rock
WBNS,1460 AM,Columbus,"Radiohio, Incorporated",Sports (ESPN)
WBNS-FM,97.1 FM,Columbus,"Radiohio, Incorporated",Sports (ESPN)
WBNV,93.5 FM,Barnesville,W. Grant Hafley,Soft Adult contemporary
WBTC,1540 AM,Uhrichsville,Tuscarawas Broadcasting Co.,News/talk
WBUK,106.3 FM,Ottawa,Blanchard River Broadcasting Company,Classic rock
WBVB,97.1 FM,Coal Grove,Capstar TX LLC,Oldies
WBVI,96.7 FM,Fostoria,"TCB Holdings, Inc.",Hot AC
WBWC,88.3 FM,Berea,Baldwin Wallace University,College/Alternative
WBWH-LP,99.3 FM,Bluffton,Bluffton College,Smooth Jazz/Variety
WBWR,105.7 FM,Hilliard,"Citicasters Licenses, Inc.",Alternative rock
WBZI,1500 AM,Xenia,Town and Country Broadcasting,Classic country
WCBE,90.5 FM,Columbus,"Board of Education, City School District, Columbus",Public radio (NPR)
