KACO,98.5 FM,Apache,"Perry Broadcasting of Apache, Inc.",Country
KADA,1230 AM,Ada,The Chickasaw Nation,Sports Talk
KADA-FM,99.3 FM,Ada,The Chickasaw Nation,Soft AC
KADB-LP,96.7 FM,Ada,"Pontotoc Educational Radio, Inc.",Classical Music
KADS,1240 AM,Elk City,"Paragon Communications, Inc.",Sports
KAJT,88.7 FM,Ada,"Family Worship Center Church, Inc.",Gospel
KAKC,1300 AM,Tulsa,"Clear Channel Broadcasting Licenses, Inc.",ESPN Sports
KAKO,91.3 FM,Ada,American Family Association,Christian
KALU,89.3 FM,Langston,Langston University,Urban Contemporary
KALV,1430 AM,Alva,"MM&K of Alva, Inc.",Oldies
KAMG-LP,92.1 FM,Enid,Maranatha Radio Corporation,Spanish
KARG,91.7 FM,Poteau,American Family Association,Religious
KARU,88.9 FM,Cache,Educational Media Foundation,Christian
KATT-FM,100.5 FM,Oklahoma City,"Radio License Holding CBC, LLC",Album-Oriented Rock
KAYC,91.1 FM,Durant,American Family Association,Religious
KAYE-FM,90.7 FM,Tonkawa,Northern Oklahoma College,Active Rock
KAYM,90.5 FM,Weatherford,American Family Association,Religious
KAZC,89.3 FM,Healdton,South Central Oklahoma Christian Broadcasting Inc.,Southern Gospel
KBBC,99.7 FM,Tishomingo,"Texoma Broadcasting, Inc.",
KBCW-FM,91.9 FM,McAlester,The University of Central Oklahoma,Classical Music
KBEL,1240 AM,Idabel,Brute Force Radio LLC,"Sports, News Talk"
KBEL-FM,96.7 FM,Idabel,Brute Force Radio LLC,Country
KBEZ,92.9 FM,Tulsa,Journal Broadcast Corporation,Adult Hits
KBIJ,99.5 FM,Guymon,"OMI Oilfield Investments, LLC",Regional Mexican
KBIX,1490 AM,Muskogee,KMMY Inc.,Sports
KBLP,105.1 FM,Lindsay,South Central Oklahoma Broadcasting & Advertising Corp.,Country
KBRU,94.7 FM,Oklahoma City,"Clear Channel Broadcasting Licenses, Inc.",80s Rock
KBWW,88.3 FM,Broken Bow,Golden Baptist Church,Southern Gospel
KBZQ,99.5 FM,Lawton,"William R. Fritsch, Jr.",Adult Contemporary
KCBK,91.5 FM,Frederick,"First Dallas Media, Inc.",Religious
KCCU,89.3 FM,Lawton,Cameron University,Classical Music
KCFO,970 AM,Tulsa,"Friendship Broadcasting, L.P.",Christian Talk
KCLI,1320 AM,Clinton,"Wright Broadcasting Systems, Inc.",News/Talk
KCLI-FM,99.3 FM,Cordell,"Wright Broadcasting Systems, Inc.",News/Talk
KCNP,89.5 FM,Ada,The Chickasaw Nation,Community Radio
KCRC,1390 AM,Enid,Chisholm Trail Broadcasting Co.,"Talk, Sports"
KCXR,100.3 FM,Taft,"ABS Communications, Inc.",Christian Music
KDDQ,105.3 FM,Comanche,"Perry Broadcasting of Southwest Oklahoma, Inc.",Classic Rock
KDIM,88.1 FM,Coweta,"Creative Educational Media Corporation, Inc.",Religious
KDOE,102.3 FM,Antlers,Will Payne,Adult Contemporary
KEBC,1560 AM,Del City,Tyler Media LLC,Sports
KECO,96.5 FM,Elk City,"Paragon Communications, Inc.",Country
KEMX,94.5 FM,Locust Grove,"ABS Communications, Inc.",Christian
KEOK,102.1 FM,Tahlequah,"Payne 5 Communications, LLC",Country
KEOR,1120 AM,Catoosa,La Zeta 95.7 Inc.,Gospel
KEYB,107.9 FM,Altus,"Altus FM, Inc.",Country
KFAQ,1170 AM,Tulsa,Journal Communications,Talk Radio
KFMY-LP,107.9 FM,Tulsa,"Tulsa Community Radio, Inc.",Christian
KFXH,88.7 FM,Marlow,"The Sister Sherry Lynn Foundation, Inc.",Unknown Format
KFXI,92.1 FM,Marlow,"DFWU, Inc.",Country
KFXT,90.7 FM,Sulphur,"Sister Sherry Lynn Foundation, Inc.",Religious
KFXU,90.5 FM,Chickasha,"Sister Sherry Lynn Foundation, Inc.",Nostalgia
KGFF,1450 AM,Shawnee,Citizen Potawatomi Nation,Adult Standard
KGFY,105.5 FM,Stillwater,"Stillwater Broadcasting, LLC",Hot Country
KGHM,1340 AM,Midwest City,"Clear Channel Broadcasting Licenses, Inc.",Sports
KGLC,100.9 FM,Miami,"Northeast Oklahoma Broadcast Network, Inc.",Oldies
KGND,1470 AM,Vinita,"KXOJ, Inc.",Sports
KGOU,106.3 FM,Norman,The University of Oklahoma,"Public Radio, Jazz, Blues"
KGTO,1050 AM,Tulsa,"KJMM, Inc.",Urban Contemporary
KGUY,91.3 FM,Guymon,"Kanza Society, Inc.",Public Radio
KGVE,99.3 FM,Grove,Caleb Corporation,Country
KGVV,90.5 FM,Goltry,"The Love Station, Inc.",Christian Music
KGWA,960 AM,Enid,Williams Broadcasting LLC,News Talk
KGYN,1210 AM,Guymon,"Steckline Communications, Inc.",Country
KHEB,91.9 FM,Granite,South Central Oklahoma Christian Broadcasting Inc.,Religious
KHEV,90.3 FM,Fairview,"Great Plains Christian Radio, Inc.",Christian
KHIM,97.7 FM,Mangum,Fuchs Radio L.L.C.,Classic Hits
KHKC-FM,102.1 FM,Atoka,Keystone Broadcasting Corporation,Country
KHTT,106.9 FM,Muskogee,Journal Broadcast Corporation,Top 40
KHWL,98.7 FM,Lone Wolf,Wolfpack Media LLC,
KICM,97.7 FM,Healdton,Keystone Broadcasting Corporation,"Top 40, Country"
KIEL,89.3 FM,Loyal,New Life Mission,
KIMY,93.9 FM,Watonga,"South Central Oklahoma Christian Broadcasting, Inc.",Gospel
KINB,105.3 FM,Kingfisher,"The Last Bastion Station Trust, LLC, as Trustee",Sports
KIOP,88.3 FM,Prague,"St. Wenceslaus Catholic Church of Prague, Oklahoma",
KIRC,105.9 FM,Seminole,"One Ten Broadcast Group, Inc.",Country
KITO-FM,96.1 FM,Vinita,"KXOJ, Inc.",Sports
KITX,95.5 FM,Hugo,"K95.5, Inc.",Contemporary Country
KIXO,106.1 FM,Sulphur,"DFWU, Inc.",Country
KIZS,101.5 FM,Collinsville,"Clear Channel Broadcasting Licenses, Inc.",Spanish
KJCC,89.5 FM,Carnegie,"Calvary Chapel of Twin Falls, Inc.",Religious
KJCM,100.3 FM,Snyder,Fuchs Radio L.L.C.,Sports
KJDR,88.1 FM,Guymon,Top O Texas Educational Broadcasting Foundation,Religious
