KACI,1300 AM,The Dalles,"Bicoastal Media Licenses IV, LLC",News/Talk
KACI-FM,93.5 FM,The Dalles,"Bicoastal Media Licenses IV, LLC",Classic Hits
KAGI,930 AM,Grants Pass,Oregon State Board of Higher Education for the University of Oregon,Public Radio
KAGO,1150 AM,Klamath Falls,"Basin Mediactive, LLC",News/Talk
KAGO-FM,99.5 FM,Klamath Falls,"Basin Mediactive, LLC",Rock
KAHG-LP,99.9 FM,Hood River,River of Life Assembly,
KAIK,88.5 FM,Tillamook,Educational Media Foundation,Christian rock (Air 1)
KAJC,90.1 FM,Salem,Calvary Chapel Monmouth-Independence,Christian radio
KAJO,1270 AM,Grants Pass,Grants Pass Broadcasting Corporation,News/Talk
KAKT,105.1 FM,Phoenix,"Mapleton License of Medford, LLC",Country
KANL,90.7 FM,Baker City,American Family Association,Contemporary Christian (AFR)
KAPK,91.1 FM,Grants Pass,American Family Association,Contemporary Christian (AFR)
KAPL,1300 AM,Phoenix,"Applegate Media, Inc.",Christian radio
KARO,98.7 FM,Nyssa,Educational Media Foundation,Christian rock (Air 1)
KAST,1370 AM,Astoria,OMG FCC Licenses LLC,News/Talk
KAVE,88.5 FM,Oakridge,Lane County School District 4J,Variety
KBAV-LP,103.9 FM,Coos Bay,"Coos Bay Gospel Ministry, Inc.",Religious
KBBR,1340 AM,North Bend,"Bicoastal Media Licenses III, LLC",Progressive Talk
KBCH,1400 AM,Lincoln City,"Pacific West Broadcasting, Inc.",Adult Standards
KBDF,107.7 FM,Diamond Lake,Oregon North Star Radio Network LLC,Oldies 60's 70s & 80's
KBDN,96.5 FM,Bandon,"Bicoastal Media Licenses III, LLC",Country
KBFF,95.5 FM,Portland,Alpha Media Licensee LLC,Adult Top 40
KBKR,1490 AM,Baker City,Pacific Empire Radio Corp.,News/Talk
KBLU-FM,90.5 FM,Pilot Rock,The KBOO Foundation,Silent
KBND,1110 AM,Bend,"Combined Communications, Inc.",News/Talk
KBNH,1230 AM,Burns,"Harney County Radio, LLC",Classic Country
KBNP,1410 AM,Portland,"KBNP Radio, Inc.",Business News
KBNW,1340 AM,Bend,"Summit Broadcasting Group, LLC",News/Talk
KBOO,90.7 FM,Portland,The KBOO Foundation,Variety
KBOY-FM,95.7 FM,Medford,"Mapleton License of Medford, LLC",Classic Rock
KBPS,1450 AM,Portland,"School District #1, Multnomah County, Oregon",Educational
KBVM,88.3 FM,Portland,"Catholic Broadcasting Northwest, Inc.",Catholic Religious
KBVR,88.7 FM,Corvallis,Oregon State University,College radio
KBWR-LP,98.1 FM,Burns,"Desert Broadcasting, Inc.",Religious
KBZY,1490 AM,Salem,"Capital Broadcasting, Inc.",Oldies
KCFM,1250 AM,Florence,Coast Broadcasting Company,Adult Standards
KCGB-FM,105.5 FM,Hood River,"Bicoastal Media Licenses IV, LLC",Hot AC
KCGP-LP,106.7 FM,Grants Pass,Calvary Chapel of Grants Pass,Religious
KCKX,1460 AM,Stayton,Edward C. Distell,Country
KCMB,104.7 FM,Baker City,"KCMB, LLC",Country
KCMD,99.3 FM,Grants Pass,Three Rivers Broadcasting LLC,Classic Hits
KCMX,880 AM,Phoenix,"Mapleton License of Medford, LLC",News/Talk
KCMX-FM,101.9 FM,Ashland,"Mapleton License of Medford, LLC",Adult Contemporary
KCNA,102.7 FM,Cave Junction,"Opus Broadcasting Systems, Inc.",Classic Hits
KCPB-FM,90.9 FM,Warrenton,Tillicum Foundation,Public Radio
KCRF-FM,96.7 FM,Lincoln City,"Pacific West Broadcasting, Inc.",Classic Rock
KCRX-FM,102.3 FM,Seaside,OMG FCC Licenses LLC,Classic Rock
KCST-FM,106.9 FM,Florence,"Coast Broadcasting Co., Inc.",Adult Contemporary
KCUP,1230 AM,Toledo,Agpal Broadcasting Inc.,Talk
KCUW-LP,104.3 FM,Pendleton,Confederated Tribes of the Umatilla Indian Reservation,Native American
KCYS,96.5 FM,Seaside,Dave's Broadcasting Corporation,Country
KDCB,89.5 FM,Coos Bay,"UCB USA, Inc.",Christian radio
KDCQ,92.9 FM,Coos Bay,"Bay Cities Building Company, Inc.",Classic Hits
KDEP,105.5 FM,Garibaldi,"Alexandra Communications, Inc.",Adult Contemporary
KDJC,88.1 FM,Baker City,"Calvary Chapel of Twin Falls, Inc.",Christian radio (CSN)
KDOB,91.5 FM,Brookings,"UCB USA, Inc.",Christian radio
KDOV,91.7 FM,Medford,"UCB USA, Inc.",Christian radio
KDPO,91.9 FM,Port Orford,"UCB USA, Inc.",Christian radio
KDUK-FM,104.7 FM,Florence,"Bicoastal Media Licenses V, LLC",Contemporary Hits
KDUN,1030 AM,Reedsport,Post Rock Communications LLC,Oldies
KDZR,1640 AM,Lake Oswego,"Radio Disney Group, LLC",Radio Disney
KEFS,89.5 FM,North Powder,"Calvary Chapel of Twin Falls, Inc.",Christian rock (Effect Radio)
KEHK,102.3 FM,Brownsville,Cumulus Licensing LLC,Hot AC
KEJO,1240 AM,Corvallis,"Bicoastal Media Licenses V, LLC",Sports (FSR)
KEOL,91.7 FM,La Grande,Oregon State Board of Higher Education for Eastern Oregon University,College radio
KESY,91.9 FM,Baker City,"Idaho Conference of Seventh-Day Adventists, Inc.",Contemporary Christian
KETP,88.7 FM,Enterprise,Oregon Public Broadcasting,Public Radio
KEUG,105.5 FM,Veneta,"McKenzie River Broadcasting Company, Inc.",Adult Hits
KEX,1190 AM,Portland,"Citicasters Licenses, Inc.",News/Talk
KEZX,730 AM,Medford,"Opus Broadcasting Systems, Inc.",Sports (FSR)
KFEG,104.7 FM,Klamath Falls,Cove Road Publishing LLC,Classic Rock
KFIR,720 AM,Sweet Home,"Radio Fiesta Network, LLC",Talk
