KDKA,1020 AM,Pittsburgh,CBS Radio East Inc.,News/Talk
KDKA-FM,93.7 FM,Pittsburgh,CBS Radio Stations Inc.,Sports
KQV,1410 AM,Pittsburgh,"Calvary, Inc.",News
KYW,1060 AM,Philadelphia,CBS Radio East Inc.,News
WABT,96.7 FM,Lehman Township,"Neversink Radio, LLC",Classic Hits
WADV,940 AM,Lebanon,"WADV Radio, Inc.",Southern Gospel
WAEB,790 AM,Allentown,Capstar TX LLC,News/Talk/Sports
WAEB-FM,104.1 FM,Allentown,Capstar TX LLC,Top 40
WAKZ,95.9 FM,Sharpsville,"Citicasters Licenses, Inc.",Top 40
WALY,103.9 FM,Bellwood,"Forever Broadcasting, LLC",Hot AC
WAMO,660 AM,Wilkinsburg,"Radio Power, Inc.",Urban Contemporary
WANB,1210 AM,Waynesburg,"Broadcast Communications, Inc.",Country
WAOB,860 AM,Millvale,Saint Joseph Missions,Catholic Religious
WAOB-FM,106.7 FM,Beaver Falls,Saint Joseph Missions,Catholic Religious
WARC,90.3 FM,Meadville,Allegheny College,Variety
WARM,590 AM,Scranton,"Radio License Holding CBC, LLC",Sports
WARM-FM,103.3 FM,York,Radio License Holding SRC LLC,Adult Contemporary
WATS,960 AM,Sayre,"WATS Broadcasting, Inc.",Adult Contemporary
WAVL,910 AM,Apollo,Evangel Heights Assembly of God,Contemporary Christian
WAVT-FM,101.9 FM,Pottsville,Pottsville Broadcasting Co.,Top 40
WAWN,89.5 FM,Franklin,American Family Association,Religious
WAYC,1600 AM,Bedford,"Cessna Communications, Inc.",Adult Standards/Religious
WAYC-FM,100.9 FM,Bedford,"Cessna Communications, Inc.",Adult Contemporary
WAZL,1490 AM,Hazleton,Geos Communications,Adult hits
WBAX,1240 AM,Wilkes-Barre,"The Scranton Times, L.P.",Sports (ESPN)
WBBY-LP,100.3 FM,Berwick,"Berwick Adventist Broadcasting, Inc.",Religious
WBCB,1490 AM,Levittown,"Progressive Broadcasting Company, Inc.",Adult Standards/Talk
WBEB,101.1 FM,Philadelphia,"Jerry Lee Broadcasting, LLC",Adult Contemporary
WBEN-FM,95.7 FM,Philadelphia,"Greater Philadelphia Radio, Inc.",Adult Hits
WBFD,1310 AM,Bedford,"Cessna Communications, Inc.",News/Talk/Sports
WBGG,970 AM,Pittsburgh,"AMFM Radio Licenses, L.L.C.",Sports (ESPN)
WBGM,88.1 FM,New Berlin,Montrose Broadcasting Corp.,Religious/CCM
WBHB-FM,101.5 FM,Waynesboro,HJV Limited Partnership,Active Rock
WBHD,95.7 FM,Olyphant,"Radio License Holding CBC, LLC",Top 40
WBHT,97.1 FM,Mountain Top,"Radio License Holding CBC, LLC",Top 40
WBHV-FM,94.5 FM,State College,"2510 Licenses, LLC",Top 40
WBLF,970 AM,Bellefonte,"Magnum Broadcasting, Inc.",News/Talk/Sports
WBLJ-FM,95.3 FM,Shamokin,"Clear Channel Broadcasting Licenses, Inc.",Country
WBMR,91.7 FM,Telford,United Ministries,Religious
WBPZ,1230 AM,Lock Haven,"Schlesinger Communications, Inc.",Oldies
WBRR,100.1 FM,Bradford,"Radio Station WESB, Inc.",Classic Hits
WBRX,94.7 FM,Cresson,"Sounds Good, Inc.",Adult Contemporary
WBSX,97.9 FM,Hazleton,"Radio License Holding CBC, LLC",Modern Rock
WBUQ,91.1 FM,Bloomsburg,Bloomsburg University of Pennsylvania,Variety
WBUS,93.7 FM,Boalsburg,"Forever Broadcasting, LLC",Classic rock
WBUT,1050 AM,Butler,Butler County Radio Network Inc.,Country
WBVE,107.5 FM,Bedford,"Cessna Communications, Inc.",Classic rock
WBVP,1230 AM,Beaver Falls,"Sound Ideas Media, LLC",Full Service
WBWX,1280 AM,Berwick,Columbia Broadcasting Company,Full Service
WBXQ,94.3 FM,Patton,"Sherlock Broadcasting, Inc.",Country
WBYB,103.9 FM,Eldred,"Colonial Radio Group, Inc.",Talk
WBYH,89.1 FM,Hawley,Four Rivers Community Broadcasting Company,Contemporary Christian
WBYL,95.5 FM,Salladasburg,"Clear Channel Broadcasting Licenses, Inc.",Country
WBYN,1160 AM,Lehighton,"Connoisseur Media Licenses, LLC",Religious
WBYN-FM,107.5 FM,Boyertown,WDAC Radio Company,Christian radio
WBYO,88.9 FM,Sellersville,Four Rivers Community Broadcasting Corporation,Contemporary Christian
WBYX,88.7 FM,Stroudsburg,Four Rivers Community Broadcasting Corporation,Contemporary Christian
WBZD-FM,93.3 FM,Muncy,"Backyard Broadcasting PA, LLC",Oldies
WBZU,910 AM,Scranton,Entercom Wilkes-Barre Scranton,News/Talk
WBZZ,100.7 FM,New Kensington,CBS Radio Stations Inc.,Adult Top 40
WCAL,91.9 FM,California,"The Student Association, Inc.",Modern Rock
WCAT-FM,102.3 FM,Carlisle,"Radio Carlisle, Inc.",Country
WCBG,1380 AM,Waynesboro,HJV Limited Partnership,Sports (ESPN)
WCCL,101.7 FM,Central City,"Forever Broadcasting, LLC",Oldies
WCCR,92.7 FM,Clarion,Clarion County Broadcasting Corp.,Hot AC
WCCS,1160 AM,Homer City,"The St. Pier Group, LLC",News/Talk/Sports
WCDL,1440 AM,Carbondale,"Bold Gold Media Group, LP",Spanish
WCED,1420 AM,DuBois,WCED Radio LLC,News/Talk/Sports
WCGF,89.9 FM,Cambridge Springs,"Family LIfe Ministries, Inc.",
WCGM,102.7 FM,Clarendon,"Family Life Ministries, Inc.",Country
WCHA,800 AM,Chambersburg,Alpha Media Licensee LLC,Oldies
WCHE,1520 AM,West Chester,"Chester County Radio, Inc.",Modern Rock
WCHX,105.5 FM,Lewistown,"Mifflin County Communications, Inc.",Classic rock
WCIG,107.7 FM,Dallas,"Family Life Ministries, Inc.",Contemporary Christian
WCIM,91.5 FM,Shenandoah,"Family Life Ministries, Inc.",Contemporary Christian
WCIN,91.3 FM,Tunkhannock,"Family Life Ministries, Inc.",Contemporary Christian
WCIS-FM,90.9 FM,Laporte,"Family Life Ministries, Inc.",
WCIT-FM,90.1 FM,Trout Run,"Family Life Ministries, Inc.",Contemporary Christian
WCLH,90.7 FM,Wilkes-Barre,Wilkes University,Modern Rock
WCNS,1480 AM,Latrobe,"LHTC Media, Inc.",Adult Standards
WCOG-FM,100.7 FM,Galeton,"Family Life Ministries, Inc.",Contemporary Christian
WCOH-FM,107.3 FM,DuBois,"Family Life Ministries, Inc.",Contemporary Christian
WCOJ,1420 AM,Coatesville,"Holy Spirit Radio Foundation, Inc.",Catholic Religious
WCOP,106.1 FM,Farmington Township,"Family Life Ministries, Inc.",
WCOZ,90.5 FM,Laceyville,Telikoja Educational Broadcasting Inc.,
WCPA,900 AM,Clearfield,"First Media Radio, LLC",Oldies
WCRG,90.7 FM,Williamsport,"Salt & Light Media Ministries, Inc.",Contemporary Christian
WCRO,1230 AM,Johnstown,Greater Johnstown School District,Full Service
WCSD-LP,104.9 FM,Shawnee-on-Delaware,Shawnee Presbyterian Church,Variety
WCTL,106.3 FM,Union City,"Inspiration Time, Inc.",Religious/CCM
WCTO,96.1 FM,Easton,"Radio License Holding CBC, LLC",Country
WCUC-FM,91.7 FM,Clarion,Clarion State College,Indie Rock
WCUR,91.7 FM,West Chester,"Student Services, Inc.",Variety
WCXR,103.7 FM,Lewisburg,"Backyard Broadcasting PA, LLC",Mainstream Rock
WCYJ-FM,88.7 FM,Waynesburg,Waynesburg University,Hot AC
WDAC,94.5 FM,Lancaster,WDAC Radio Company,Religious
WDAD,1450 AM,Indiana,The St. Pier Group,Oldies
WDAS,1480 AM,Philadelphia,"AMFM Radio Licenses, L.L.C.",Urban Oldies
WDAS-FM,105.3 FM,Philadelphia,"AMFM Radio Licenses, L.L.C.",Urban Contemporary
WDCV-FM,88.3 FM,Carlisle,Trustees of Dickinson College,Variety
WDDH,97.5 FM,St. Marys,"Laurel Media, Inc.",Country
WDDZ,1250 AM,Pittsburgh,"Sports Radio Group, LLC",Children's music (Radio Disney)
WDIY,88.1 FM,Allentown,Lehigh Valley Community Broadcasters Association,Community/Public radio
WDKC,101.5 FM,Covington,"Mid-Atlantic Broadcasting, Inc.",Country
WDNH-FM,95.3 FM,Honesdale,"Bold Gold Media Group, L.P.",Top 40
WDRE,100.5 FM,Susquehanna,Equinox Broadcasting Corp.,Modern Rock
WDSN,106.5 FM,Reynoldsville,"Priority Communications, Inc.",Adult Contemporary
WDSY-FM,107.9 FM,Pittsburgh,CBS Radio Stations Inc.,Country
WDVE,102.5 FM,Pittsburgh,Capstar TX LLC,Classic rock
WECZ,1540 AM,Punxsutawney,"Renda Radio, Inc.",News/Talk/Sports
WEDO,810 AM,McKeesport,810 Incorporated,Brokered Variety
WEEO,1480 AM,Shippensburg,"Shippensburg Broadcasting, Inc.",Classic Country
WEEO-FM,103.7 FM,McConnellsburg,"Magnum Broadcasting, Inc.",Talk
WEEU,830 AM,Reading,WEEU Broadcasting Company,Talk
WEEX,1230 AM,Easton,"Connoisseur Media Licenses, LLC",Sports (ESPN)
WEFR,88.1 FM,Erie,"Family Stations, Inc.",Christian radio (Family Radio)
WEGH,107.3 FM,Northumberland,Sunbury Broadcasting Corporation,Classic Hits
WEHP,92.7 FM,Lawrence Park,"The Erie Radio Company, LLC",Top 40
WEJL,630 AM,Scranton,"The Scranton Times, LP",Sports (ESPN)
