WAAW,94.7 FM,Williston,"Wisdom, LLC",Urban Gospel
WABB,1390 AM,Belton,The Power Foundation,
WABV,1590 AM,Abbeville,"Hellinger Broadcasting, Inc.",Sports
WAFJ,88.3 FM,Belvedere,"Radio Training Network, Inc.",Christian Contemporary
WAGL,1560 AM,Lancaster,"Palmetto Broadcasting System, Inc.",Oldies
WAGP,88.7 FM,Beaufort,"Community Broadcasting Corp. of Beaufort, Inc.",Christian Talk
WAGS,1380 AM,Bishopville,"Beaver Communications, A General Partnership",Country
WAHP,91.9 FM,Cokesbury,"Radio Training Network, Inc.",
WAHT,1560 AM,Clemson,"Byrne Acquisition Group, LLC",Sports Talk (WCCP-FM simulcast)
WAIM,1230 AM,Anderson,"Palmetto Broadcasting Company, Inc.",News/Talk
WALC,100.5 FM,Charleston,"Radio Training Network, Inc.",Christian Contemporary
WALD,1080 AM,Johnsonville,"Glory Communications, Inc.",
WALI,93.7 FM,Walterboro,"Premier Enterprises, LLC",Country
WANS,1280 AM,Anderson,"Ervin Broadcasting, LLC",Classic Hits
WARQ,93.5 FM,Columbia,"L&L Licensee, LLC",Hot AC
WASC,1530 AM,Spartanburg,New South Broadcasting Corporation,
WASD-LP,101.9 FM,Aiken,Aiken Christian Broadcasting Corp.,Religious
WAVF,101.7 FM,Hanahan,"Apex Broadcasting, Inc.",Adult Hits
WAVO,1150 AM,Rock Hill,"WHVN, Inc.",Adult Standards
WAYA-FM,100.9 FM,Ridgeville,"Caswell Capital Partners, LLC",Contemporary Christian
WAZS,980 AM,Summerville,Thomas B. Daniels,Regional Mexican
WBAJ,890 AM,Blythewood,Family First,Religious
WBAW-FM,99.1 FM,Barnwell,Bullie Broadcasting Corporation,Silent
WBCU,1460 AM,Union,"Union-Carolina Broadcasting Company, Inc.",Country
WBHC-FM,92.1 FM,Hampton,"Bocock Communications, LLC",Adult Hits
WBIJ,88.7 FM,Saluda,"Richburg Educational Broadcasters, Inc.",
WBLR,1430 AM,Batesburg,"Augusta Radio Fellowship Institute, Inc.",
WBT-FM,99.3 FM,Chester,Greater Media Charlotte Inc.,News/Talk
WBZF,98.5 FM,Hartsville,Cumulus Licensing LLC,Urban Gospel
WCAM,1590 AM,Camden,Kershaw Radio Corp.,
WCCP-FM,105.5 FM,Clemson,"Byrne Acquisition Group, LLC",Sports Talk
WCEO,840 AM,Columbia,"Norsan Broadcasting WCEO, LLC",Spanish
WCKI,1300 AM,Greer,"Mediatrix SC, Inc.",Catholic
WCKN,92.5 FM,Moncks Corner,"Apex Broadcasting, Inc.",Country
WCMG,94.3 FM,Latta,Cumulus Licensing LLC,Urban AC
WCOO,105.5 FM,Kiawah Island,"L.M. Communications II of South Carolina, Inc.",Album Adult Alternative
WCOS,1400 AM,Columbia,Capstar TX LLC,Sports
WCOS-FM,97.5 FM,Columbia,Capstar TX LLC,Country
WCRE,1420 AM,Cheraw,"Pee Dee Broadcasting, LLC",Oldies
WCRS,1450 AM,Greenwood,"Anne's Entertainment Vision, Inc.",
WCSZ,1070 AM,Sans Souci,"Redemptive Strategies Broadcasting, LLC",
WCZZ,1090 AM,Greenwood,"Broomfield Broadcasting, Inc.",
WDAB,1580 AM,Travelers Rest,"Dabney-Adamson Broadcasting, Inc.",Spanish
WDAI,98.5 FM,Pawleys Island,Cumulus Licensing LLC,Urban Contemporary
WDAR-FM,105.5 FM,Darlington,"Qantum of Florence License Company, LLC",Contemporary Christian
WDEK,1170 AM,Lexington,"Broomfield Broadcasting of Lexington, Inc.",Oldies
WDKD,1310 AM,Kingstree,"Miller Communications, Inc.",
WDLL,90.5 FM,Dillon,American Family Association,Religious
WDOG,1460 AM,Barnwell,Good Radio Broadcasting Corp.,
WDOG-FM,93.5 FM,Allendale,"Good Radio Broadcasting, Inc.",Country
WDSC,800 AM,Dillon,"Qantum of Florence License Company, LLC",
WDXY,1240 AM,Sumter,"Miller Communications, Inc.",News Talk Information
WEAF,1130 AM,Camden,Jeff Andrulonis,
WEBK,91.1 FM,Society Hill,"Richburg Educational Broadcasters, Inc.",
WEGX,92.9 FM,Dillon,"Qantum of Florence License Company, LLC",Country
WELP,1360 AM,Easley,"Upstate Radio, Inc.",Religious
WEPC,88.5 FM,Belton,Toccoa Falls College,Contemporary Christian
WEPR,90.1 FM,Greenville,South Carolina Educational TV Commission,Classical
WESC-FM,92.5 FM,Greenville,"Clear Channel Broadcasting Licenses, Inc.",Country
WEZG-LP,101.5 FM,Greenville,"Quality Radio Partners, Inc.",
WEZL,103.5 FM,Charleston,"Citicasters Licenses, Inc.",Country
WEZV,105.9 FM,North Myrtle Beach,Fidelity Broadcasting Corporation,Easy Listening
WFBC-FM,93.7 FM,Greenville,"Entercom License, LLC",Top 40 (CHR)
WFCH,88.5 FM,Charleston,"Family Stations, Inc.",Religious
WFGN,1180 AM,Gaffney,"Hope Broadcasting, Inc.",
WFMV,95.3 FM,South Congaree,"Glory Communications, Inc.",Urban Contemporary Gospel
WFRK,95.3 FM,Quinby,"Miller Communications, Inc.",Adult Hits
WFXH-FM,106.1 FM,Hilton Head Island,"L&L Licensee, LLC",Active Rock
WGCD,1490 AM,Chester,"Wisdom, LLC",
WGCV,620 AM,Cayce,"Glory Communications, Inc.",
WGEO-LP,105.7 FM,Georgetown,City of Georgetown (Georgetown City Fire Department),News Talk Information
WGFG,105.3 FM,Branchville,"Miller Communications, Inc.",Country
WGFJ,94.1 FM,Cross Hill,"Radio Training Network, Inc.",Contemporary Christian
WGOG,96.3 FM,Walhalla,"Appalachian Broadcasting Company, Inc.",
WGSP-FM,102.3 FM,Pageland,"Norsan Media Group of South Carolina, LLC",Tropical / Latin Pop
WGTK-FM,94.5 FM,Greenville,"Caron Broadcasting, Inc.",Talk
WGTN,1400 AM,Georgetown,"Waccamaw Broadcasting, LLC",
WGTN-FM,100.7 FM,Andrews,Fidelity Broadcasting Corporation,Easy Listening
WGTR,107.9 FM,Buckport,"Qantum of Myrtle Beach License Company, LLC",Country
WGUS-FM,102.7 FM,New Ellenton,WAEC License Limited Partnership,Southern Gospel
WGVL,1440 AM,Greenville,Capstar TX LLC,Sports Talk
WHEZ-LP,95.9 FM,Hartsville,Lighthouse Gospel Network,Easy Listening
WHGS,1270 AM,Hampton,"Bocock Communications, LLC",
WHHD,98.3 FM,Clearwater,WAEC License Limited Partnership,Top 40 (CHR)
WHHW,1130 AM,Hilton Head Island,"L&L Licensee, LLC",
WHLZ,100.5 FM,Marion,Cumulus Licensing LLC,Country
WHMC-FM,90.1 FM,Conway,South Carolina Educational TV Commission,Public Radio
WHRZ-LP,104.1 FM,Spartanburg,First Baptist Church,Religious
WHSC,1050 AM,Conway,Cumulus Licensing LLC,Sports
WHXT,103.9 FM,Orangeburg,"L&L Licensee, LLC",Urban Contemporary
WHYM,1260 AM,Lake City,"Miller Communications, Inc.",Urban Oldies
WHZK-LP,97.7 FM,Greenwood,"South Carolina Mass Choir, Inc.",Spanish
WHZT,98.1 FM,Williamston,"SM-WHZT, LLC",Rhythmic Contemporary Hit
WIAR-LP,100.5 FM,Hilton Head Island,"Island Christian Radio, Inc.",Religious
WIBZ,95.5 FM,Wedgefield,"Miller Communications, Inc.",Adult Hits
WIIZ,97.9 FM,Blackville,"Nicwild Communications, Inc.",Mainstream Urban
WISW,1320 AM,Columbia,"Radio License Holding CBC, LLC",News/Talk
WIWF,96.9 FM,Charleston,"Radio License Holding CBC, LLC",Country
WJAY,1280 AM,Mullins,The Greater Highway Church of Christ,
WJBS,1440 AM,Holly Hill,Harry J. Govan,
WJKB,950 AM,Moncks Corner,"Kirkman Broadcasting, Inc.",Sports Talk
WJMX,1400 AM,Darlington,"Qantum of Florence License Company, LLC",
WJMX-FM,103.3 FM,Cheraw,"Qantum of Florence License Company, LLC",Hot Adult Contemporary
WJMZ-FM,107.3 FM,Anderson,"SM-WJMZ, LLC",Urban Adult Contemporary
WJNI,106.3 FM,Ladson,Thomas B. Daniels,Gospel
WJWJ-FM,89.9 FM,Beaufort,South Carolina Educational TV Commission,News/Talk
WJXY-FM,93.9 FM,Conway,"Volt Radio, LLC, as Trustee",News/Talk
WKCL,91.5 FM,Ladson,Chapel Holy Spirit Church & Bible College,Religious
WKDK,1240 AM,Newberry,"Newberry Broadcasting Company, Inc.",Variety
WKER-FM,91.1 FM,McCormick,"Saint Paul Radio, Inc.",
WKMG,1520 AM,Newberry,Cornell Blakely,
WKSP,96.3 FM,Aiken,Capstar TX LLC,Urban Adult Contemporary
WKSX-FM,92.7 FM,Johnston,Michaelsen Communications LLC,Oldies
WKVC,88.9 FM,North Myrtle Beach,Educational Media Foundation,Contemporary Christian
WKXC-FM,99.5 FM,Aiken,WAEC License Limited Partnership,Country
WKZK,1600 AM,North Augusta,"Gospel Radio, Inc.",
WKZQ-FM,96.1 FM,Forestbrook,"NM License, LLC",Alternative
WLBG,860 AM,Laurens,"Southeastern Broadcast Associates, Inc.",
WLFF,106.5 FM,Georgetown,Cumulus Licensing LLC,Country
WLFJ,660 AM,Greenville,"Clear Channel Broadcasting Licenses, Inc.",
WLFJ-FM,89.3 FM,Greenville,"Radio Training Network, Inc.",Contemporary Christian
WLGI,90.9 FM,Hemingway,Regional Baha'i Council of the Southeastern States,Variety
WLHH,104.9 FM,Ridgeland,"Apex Broadcasting, Inc.",Classic Hits
WLJI,98.3 FM,Summerton,"Glory Communications, Inc.",Urban Contemporary Gospel
WLJK,89.1 FM,Aiken,South Carolina Educational TV Commission,Public Radio; News Talk
WLMC,1470 AM,Georgetown,"Waccamaw Broadcasting, LLC",
