KWAM,990 AM,Memphis,"Legacy Media - Memphis, LLC",
KYTN,104.9 FM,Union City,Thunderbolt Broadcasting Company,Country
WAEW,1330 AM,Crossville,"Peg Broadcasting, LLC",Talk
WAEZ,94.9 FM,Greeneville,"Bristol Broadcasting Company, Inc.",Top 40 (CHR)
WAJJ,89.3 FM,McKenzie,Temple Broadcasting Company,Religious
WAKI,1230 AM,McMinnville,"Peg Broadcasting, LLC",Sports
WAKM,950 AM,Franklin,"Franklin Radio Associates, Inc.",Country
WAKQ,105.5 FM,Paris,"WENK of Union City, Inc.",Top 40 (CHR)
WALV-FM,105.1 FM,Lakesite,"J. L. Brewer Broadcasting of Cleveland, LLC",Sports
WAMB,1200 AM,Nashville,"Great Southern Broadcasting Company, Inc.",
WAMP,88.1 FM,Jackson,American Family Association,Religious
WANT,98.9 FM,Lebanon,"Bay-Pointe Broadcasting, Inc.",Country
WAPX-FM,91.9 FM,Clarksville,Austin Peay State University,College
WASL,100.1 FM,Dyersburg,"Dr Pepper Pepsi-Cola Bottling Company of Dyersburg, LLC",
WATX,1600 AM,Algood,"Stonecom Cookeville, LLC",News/Talk
WAUO,90.7 FM,Hohenwald,American Family Association,Religious
WAUV,89.7 FM,Ripley,American Family Association,Religious
WAWI,89.7 FM,Lawrenceburg,American Family Association,Religious
WAXO,1220 AM,Lewisburg,Marshall County Radio Corporation,Country
WAYB-FM,95.7 FM,Graysville,"Family Worship Center Church, Inc.",Religious
WAYM,88.7 FM,Spring Hill,"Way Media, Inc.",Christian Contemporary
WAYQ,88.3 FM,Clarksville,"Way Media, Inc.",
WAYW,89.9 FM,New Johnsonville,"Way Media, Inc.",Christian Contemporary
WAZD,88.1 FM,Savannah,American Family Association,Religious
WBAC,1340 AM,Cleveland,"East Tennessee Radio Group III, L.P.",Talk
WBBP,1480 AM,Memphis,"Bountiful Blessing, Inc.",
WBBX,1410 AM,Kingston,"Pilgrim Pathway, Inc.",Gospel
WBCR,1470 AM,Alcoa,Blount County Broadcasting Corp.,Religious
WBEJ,1240 AM,Elizabethton,"CB Radio, Inc.",Modern Country
WBFG,96.5 FM,Parker's Crossroads,"Crossroads Broadcasting, LLC",Sports
WBGQ,100.7 FM,Bulls Gap,Cherokee Broadcasting,Top 40 (CHR)
WBIA,88.3 FM,Shelbyville,American Family Association,Religious
WBIN,1540 AM,Benton,"John A. Sines and L. Jane Sines, JTWROS",Religious
WBLC,1360 AM,Lenoir City,"Three Angels Broadcasting Network, Inc.",Religious
WBMC,960 AM,McMinnville,"Peg Broadcasting, LLC",News/Talk
WBNT-FM,105.5 FM,Oneida,"Oneida Broadcasters, Incorporated",Adult Contemporary
WBOL,1560 AM,Bolivar,Shaw's Broadcasting Co.,Oldies
WBOZ,104.9 FM,Woodbury,Reach Satellite Network,Southern Gospel
WBRY,1540 AM,Woodbury,"Volunteer Broadcasting, LLC",Country
WBUZ,102.9 FM,La Vergne,"WYCQ, Inc",Active Rock
WBXE,93.7 FM,Baxter,"Stonecom Cookeville, LLC",Active Rock
WCDT,1340 AM,Winchester,"Franklin County Radio & B/Cting, Inc",
WCDZ,95.1 FM,Dresden,Thunderbolt Broadcasting Company,Classic Hits
WCJK,96.3 FM,Murfreesboro,South Central Communications Corporation,Adult Hits
WCLC,1260 AM,Jamestown,"Bible Believers Network, Inc.",
WCLC-FM,105.1 FM,Jamestown,"Bible Believers Network, Inc.",Gospel
WCLE,1570 AM,Cleveland,"Hartline, LLC",News Talk Information
WCLE-FM,104.1 FM,Calhoun,"Hartline, LLC",Adult Contemporary
WCMT,1410 AM,Martin,Thunderbolt Broadcasting Company,
WCMT-FM,101.3 FM,South Fulton/Martin,Thunderbolt Broadcasting Company,Adult Contemporary
WCOR,1490 AM,Lebanon,"Bay-Pointe Broadcasting, Inc.",Country
WCPH,1220 AM,Etowah,"George C. Hudson, III",Oldies
WCPI,91.3 FM,McMinnville,Warren County Educational Foundation,
WCQR-FM,88.3 FM,Kingsport,"Positive Alternative Radio, Inc.",Christian Contemporary
WCRK,1150 AM,Morristown,Radio Acquisition Corp.,Classic Hits
WCRT,1160 AM,Donelson,"Bott Communications, Inc.",Religious
WCRV,640 AM,Collierville,Bott Broadcasting Company/Tennessee,
WCSK,90.3 FM,Kingsport,Kingsport City Schools Bd. of Educ .,Educational
WCSV,1490 AM,Crossville,"Peg Broadcasting, LLC",Sports talk
WCTA,810 AM,Alamo,Billy H. Williams,Silent
WCVD-LP,106.7 FM,Cordova,Comunidad Cristiana of Memphis,Religious
WCXZ,740 AM,Harrogate,Lincoln Memorial University,
WCYQ,100.3 FM,Oak Ridge,Journal Broadcast Corporation,Country
WDBL,1590 AM,Springfield,"Lightning Broadcasting, LLC",News Talk Information
WDEB,1500 AM,Jamestown,"Baz Broadcasting, Inc.",Oldies
WDEB-FM,103.9 FM,Jamestown,"Baz Broadcasting, Inc.",Country
WDEF,1370 AM,Chattanooga,"Jackson Telecasters, Inc.",Sports
WDEF-FM,92.3 FM,Chattanooga,"Jackson Telecasters, Inc.",Adult Contemporary
WDEH,800 AM,Sweetwater,"Horne Radio, LLC",Religious
WDIA,1070 AM,Memphis,"CC Licenses, LLC",Urban Oldies/Classic Soul
WDKN,1260 AM,Dickson,"R & F Communications, Inc.",Country
WDNT,1280 AM,Dayton,"Beverly Broadcasting Company, LLC",Oldies
WDNX,89.1 FM,Olive Hill,"Rural Life Foundation, Inc",Religious
WDOD-FM,96.5 FM,Chattanooga,"WDOD of Chattanooga, Inc.",Top 40 (CHR)
WDTM,1150 AM,Selmer,"Grace Broadcasting Services, Inc.",
WDUC,93.9 FM,Lynchburg,"Bowman Broadcasting, LLC",
WDVX,89.9 FM,Clinton,Cumberland Communities Communications Corporation,Variety
WDXE,1370 AM,Lawrenceburg,Lakewood Communications LLC,Classic Country
WDXE-FM,98.3 FM,Loretto,"Pulaski Broadcasting, Inc.",Adult Contemporary
WDXI,1310 AM,Jackson,Gerald W. Hunt,News/Talk
WECO,940 AM,Wartburg,"Morgan County Broadcasting Company, Inc.",Country
WECO-FM,101.3 FM,Wartburg,"Morgan County Broadcasting Company, Inc.",
WECV,89.1 FM,Nashville,"Community Broadcasting, Inc.",Religious
WEEN,1460 AM,Lafayette,"Lafayette Broadcasting Co., Inc.",
WEGR,102.7 FM,Arlington/Memphis,"CC Licenses, LLC",Classic Rock
WEIO,100.9 FM,Huntingdon,"Freeland Broadcasting Co, Inc.",Country
WEKR,1240 AM,Fayetteville,Elk River Broadcasting Inc,
WEKX,102.7 FM,Jellico,"Whitley Broadcasting Co., Inc.",Classic Rock
WEMB,1420 AM,Erwin,"WEMB, Incorporated",Various
WENK,1240 AM,Union City,"WENK of Union City, Inc.",Oldies
WENO,760 AM,Nashville,"Broady Media Group, LLC",Christian radio
WENR,1090 AM,Englewood,"George C. Hudson, III",
WENV-LP,97.3 FM,Gainesboro,"Save The Cumberland, Inc.",
WEPG,910 AM,South Pittsburg,"Stone/Collins Communications, Inc.",Classic Country
WETB,790 AM,Johnson City,"Mountain Signals, Inc.",
WETR,760 AM,Knoxville,Thomas Moffit Jr.,
WETS-FM,89.5 FM,Johnson City,East Tennessee State University,"News, Americana"
WEUZ,92.1 FM,Minor Hill,"Broadcast One, Inc.",Urban Contemporary
WEVL,89.9 FM,Memphis,"Southern Communication Volunteers, Inc.",Freeform
WEYE,104.3 FM,Surgoinsville,"Positive Alternative Radio, Inc.",Classic Country
WFCL,91.1 FM,Nashville,Nashville Public Radio,Classical
WFCM,710 AM,Smyrna,The Moody Bible Institute of Chicago,Religious
WFCM-FM,91.7 FM,Murfreesboro,The Moody Bible Institute of Chicago,Religious
WFFH,94.1 FM,Smyrna,"Caron Broadcasting, Inc.",Contemporary Christian
WFFI,93.7 FM,Kingston Springs,"Caron Broadcasting, Inc.",Contemporary Christian
WFGW,106.7 FM,Norris,Blue Ridge Broadcasting Company,Contemporary Christian
WFHG-FM,92.9 FM,Bluff City,"Bristol Broadcasting Company, Inc.",News/Talk
WFHU,91.5 FM,Henderson,Freed-Hardeman University,Variety
WFIV-FM,105.3 FM,Loudon,"Horne Radio, LLC",Adult Album Alternative
WFKX,95.7 FM,Henderson,"Thomas Radio, LLC, debtor-in-possession",Urban Adult Contemporary
WFLI,1070 AM,Lookout Mountain,"WFLI, Inc.",
WFMQ,91.5 FM,Lebanon,Cumberland University,College
WFSK-FM,88.1 FM,Nashville,Fisk University,Smooth & Contemporary Jazz
WFTZ,101.5 FM,Manchester,"Phase Two Communications, Inc.",Adult Contemporary
WFWL,1220 AM,Camden,"Community Broadcasting Services, Inc",Country
WGAP,1400 AM,Maryville,Blount Broadcasting Corporation,Country
WGBQ,91.9 FM,Lynchburg,American Family Association,
WGFX,104.5 FM,Gallatin,"Radio License Holding CBC, LLC",Sports Talk
WGKX,105.9 FM,Memphis,"Radio License Holding CBC, LLC",Country
WGND-LP,101.7 FM,Lafollette,"Lighthouse Ministries, Inc.",Religious
WGNS,1450 AM,Murfreesboro,"The Rutherford Group, Inc.",
WGOC,1320 AM,Kingsport,"Radio License Holding CBC, LLC",Business Radio
WGOW,1150 AM,Chattanooga,"Radio License Holding CBC, LLC",News/Talk
WGOW-FM,102.3 FM,Soddy-Daisy,"Radio License Holding CBC, LLC",Talk
WGRV,1340 AM,Greeneville,"Radio Greeneville, Inc.",News Talk Information
WGSF,1030 AM,Memphis,Flinn Broadcasting Corporation,
WGSM-LP,104.7 FM,Madisonville,"Spirit Ministries, Inc.",
WGSN,90.7 FM,Newport,Bible Believers Network Inc.,Country
WGSQ,94.7 FM,Cookeville,"Cookeville Communications, LLC",
WGUE,830 AM,Memphis,Memphis First Ventures LP,Classic Hits
WHBQ,560 AM,Memphis,Flinn Broadcasting Corporation,Sports
WHBQ-FM,107.5 FM,Germantown,Flinn Broadcasting Corporation,Top 40 (CHR)
WHCB,91.5 FM,Bristol,Appalachian Educational Communication Corporation,Religious
WHDM,1440 AM,McKenzie,"WHDM Broadcasting, Inc.",Oldies
WHEW,1380 AM,Franklin,"SG Communications, Inc.",
WHGG,1090 AM,Kingsport,Information Communications Corporation,
WHHM-FM,107.7 FM,Henderson,"Thomas Radio, LLC, debtor-in-possession",Adult Contemporary
WHIN,1010 AM,Gallatin,"WHIN, Inc.",Country
WHMT,740 AM,Tullahoma,"Coffee County Broadcasting, Inc.",Gospel
WHPP,105.3 FM,Humboldt,"Grace Broadcasting Services, Inc.",Contemporary Christian
WHPY-FM,94.5 FM,Lobelville,"Kensington Digital Media, L.L.C.",Classic Hits
WHRK,97.1 FM,Memphis,"CC Licenses, LLC",Mainstream Urban
WHRS,91.7 FM,Cookeville,Nashville Public Radio,
WHUB,1400 AM,Cookeville,"Cookeville Communications, LLC",News Talk Information
WIAM-LP,101.1 FM,Knoxville,Calvary Chapel of Knoxville,Religious
WIFA,1240 AM,Knoxville,"Progressive Media, Inc.",Contemporary Christian
WIGH,88.7 FM,Lexington,American Family Association,Religious
WIGN,1550 AM,Bristol,"Mountain Music Ministries, LLC",
WIHG,105.7 FM,Rockwood,"Crossville Radio, Inc.",Classic Hits
