KAAM,770 AM,Garland,"DJRD Broadcasting, LLC",Adult Standards/Oldies
KABA,90.3 FM,Louise,Aleluya Broadcasting Network,
KABW,95.1 FM,Baird,Community Broadcast Partners LLC,
KACB-LP,96.9 FM,College Station,Saint Mary's Catholic Church,
KACC,89.7 FM,Alvin,Alvin Community College,Album Oriented Rock
KACD-LP,94.1 FM,Midland,"Midland Christian Fellowship, Inc.",
KACQ,101.9 FM,Lometa,Debra L. Witcher,Country
KACT,1360 AM,Andrews,Zia Broadcasting Company,Country
KACT-FM,105.5 FM,Andrews,Zia Broadcasting Company,Country
KACU,89.7 FM,Abilene,Abilene Christian University,Public Radio
KACV-FM,89.9 FM,Amarillo,Amarillo College,College
KAFR,88.3 FM,Conroe,American Family Radio,Religious
KAFX-FM,95.5 FM,Diboll,"Townsquare Media Lufkin License, LLC",Top 40 (CHR)
KAGA-LP,104.3 FM,San Angelo,Calvary Chapel San Angelo,
KAGC,1510 AM,Bryan,Bryan Broadcasting License Corporation,Contemporary Christian
KAGG,96.1 FM,Madisonville,"CC Licenses, LLC",Country
KAGP,89.1 FM,Greenwood,"Agape Educational Media, Inc.",
KAGT,90.5 FM,Abilene,Educational Media Foundation,Contemporary Christian
KAGZ,93.9 FM,Lufkin,"E-String Wireless, Ltd.",Urban Contemporary
KAHL,1310 AM,San Antonio,"San Antonio Radioworks, LLC",Adult Standards/MOR
KAHL-FM,105.9 FM,Hondo,"San Antonio Radioworks, LLC",Adult Standards/MOR
KAIQ,95.5 FM,Wolfforth,"Entravision Holdings, LLC",Regional Mexican
KAJA,97.3 FM,San Antonio,"CC Licenses, LLC",Country
KAJE,107.3 FM,Ingleside,Convergent Broadcasting II LLC,Classic Hits
KAJP,93.5 FM,Carrizo Springs,MBM Radio Del Rio LLC,
KAJZ,106.5 FM,Llano,Bryan King,Smooth Jazz
KALD,91.9 FM,Caldwell,"Houston Christian Broadcasters, Inc.",Christian
KALK,97.7 FM,Winfield,"East Texas Broadcasting, Inc.",Classic Hits
KALP,92.7 FM,Alpine,Rio Grande Broadcasting Company,Country
KAMA,750 AM,El Paso,Tichenor License Corporation,Spanish News/Talk
KAMA-FM,104.9 FM,Deer Park,Tichenor License Corporation,Spanish Contemporary
KAML,990 AM,Kenedy-Karnes City,Siga Broadcasting Corp.,Country
KAMT,105.1 FM,Channing,Caroline Smith,
KAMU-FM,90.9 FM,College Station,Texas A&M University,Variety
KAMX,94.7 FM,Luling,"Entercom License, LLC",Hot Adult Contemporary
KAMY,90.1 FM,Lubbock,"Family Life Broadcasting, Inc.",Christian
KAMZ,103.5 FM,Tahoka,Albert Benavides,Regional Mexican
KAND,1340 AM,Corsicana,"New Century Broadcasting, LLC",Country
KANI,1500 AM,Wharton,"Martin Broadcasting, Inc.",Gospel
KANJ,91.1 FM,Giddings,"Houston Christian Broadcasters, Inc.",Christian
KAPN,107.3 FM,Caldwell,"Brazos Valley Communications, Ltd.",Oldies
KAPW,99.3 FM,White Oak,"Reynolds Radio, Inc.",Top 40 (CHR)
KAQD,91.3 FM,Abilene,American Family Association,Southern Gospel
KARX,95.7 FM,Claude,Cumulus Licensing LLC,Classic Rock
KASE-FM,100.7 FM,Austin,Capstar TX LLC,Country
KATG,88.1 FM,Elkhart,American Family Association,Religious
KATH,910 AM,Frisco,"Chatham Hill Foundation, Inc.",Catholic
KATP,101.9 FM,Amarillo,"Townsquare Media Amarillo License, LLC",Country
KATX,97.7 FM,Eastland,"High Plains Radio Network, LLC",Classic Rock
KAUM,107.1 FM,Colorado City,James G. Baum,Country
KAVO,90.9 FM,Pampa,American Family Association,Religious
KAVW,90.7 FM,Amarillo,American Family Association,Religious
KAVX,91.9 FM,Lufkin,Lufkin Educational Broadcasting Foundation,Religious
KAWV,88.3 FM,Alice,Educational Media Foundation,
KAXA,103.7 FM,Mountain Home,Radiodog Media,
KAYD-FM,101.7 FM,Silsbee,Cumulus Licensing LLC,Country
KAYK,88.5 FM,Victoria,American Family Association,Religious
KAZE,106.9 FM,Ore City,"Reynolds Radio, Inc.",Rhythmic Contemporary
KAZI,88.7 FM,Austin,Austin Community Radio,Black community radio
KBAH,90.5 FM,Plainview,American Family Association,Religious
KBAL-FM,90.3 FM,Alpine,"RV Ministries, Inc.",
KBAR-FM,100.9 FM,Victoria,"Victoria Radioworks, LLC",Active Rock
KBAT,99.9 FM,Monahans,"Townsquare Media Odessa-Midland II License, LLC",Active Rock
KBBB,96.5 FM,Baird,Jennifer Cremeens,
KBBT,98.5 FM,Schertz,Univision Radio License Corporation,Rhythmic Contemporary
KBBW,1010 AM,Waco,American Broadcasting of Texas,Religious
KBCP-LP,107.9 FM,Brookshire,Royal Independent School District,
KBCX,91.5 FM,Big Spring,American Family Association,Christian Talk
KBCY,99.7 FM,Tye,Cumulus Licensing LLC,Country
KBDE,89.9 FM,Temple,American Family Association,
KBDR,100.5 FM,Mirando City,MBM Radio Laredo LLC,Regional Mexican
KBDW,91.5 FM,Wheeler,Solid Rock Foundation,
KBEC,1390 AM,Waxahachie,"Faye and Richard Tuck, Inc.",Classic Country
