KAAJ-LP,103.9 FM,Monticello,First Baptist Church,
KAAZ-FM,106.5 FM,Spanish Fork,"Citicasters Licenses, Inc.",Classic Rock
KAGJ,89.5 FM,Ephraim,Snow College,Variety
KALL,700 AM,North Salt Lake City,"Utah Radio Acquisition, LLC",Sports
KANN,1120 AM,Roy,Faith Communications Corporation,Contemporary Christian
KARB,98.3 FM,Price,Eastern Utah Broadcasting Company,Country
KAUU,105.1 FM,Manti,"SLC Divestiture Trust I (W. Lawrence Patrick, Trustee)",Mainstream Rock
KBDX,92.7 FM,Blanding,KBDX Blanding L.L.C.,Oldies
KBEE,98.7 FM,Salt Lake City,"Radio License Holding CBC, LLC",Adult Top 40
KBER,101.1 FM,Ogden,"Radio License Holding CBC, LLC",Album Oriented Rock
KBJA,1640 AM,Sandy,"United Broadcasting Company, Inc.",Spanish News/Talk
KBJF,90.5 FM,Nephi,"Calvary Chapel of Twin Falls, Inc.",
KBLQ-FM,92.9 FM,Logan,"Sun Valley Radio, Incorporated",Adult Contemporary
KBYU-FM,89.1 FM,Provo,Brigham Young University,Classical
KBZN,97.9 FM,Ogden,"Capitol Broadcasting, Inc.",Adult Contemporary
KCDC,102.3 FM,La Verkin,Cochise Broadcasting LLC,
KCEU,89.7 FM,Price,College of Eastern Utah,
KCHG,88.9 FM,Cedar City,"Calvary Chapel Cedar City, Inc.",
KCIN,94.9 FM,Cedar City,"CCR-St. George IV, LLC",Country
KCLS,101.5 FM,Leeds,"Canyon Media Group, LLC",Soft Adult Contemporary
KCPW-FM,88.3 FM,Salt Lake City,Wasatch Public Media,News Talk Information
KCPX,1490 AM,Spanish Valley,"Moab Communications, LLC",
KCUA,92.5 FM,Naples,"Evans Broadcasting, Inc.",Classic Rock
KCUT-LP,102.9 FM,Moab,Tunnel Vision Music,Rock
KCYN,97.1 FM,Moab,"Moab Communications, LLC",Country
KDUT,102.3 FM,Randolph,Adelante Media of Utah License LLC,Mexican Regional
KDXU,890 AM,St. George,"CCR-St. George IV, LLC",News Talk Information
KDYL,1060 AM,South Salt Lake City,Holiday Broadcasting Company,News/Talk
KEGA,101.5 FM,Oakley,"Broadway Media LS, LLC",Country
KEGH,106.9 FM,Brigham City,"SLC Divestiture Trust II (Jim Burgoyne, Trustee)",Sports
KENT,1400 AM,Parowan,"Canyon Media Group, Inc.",Adult Standards/MOR
KENZ,101.9 FM,Ogden,"Radio License Holding CBC, LLC",Variety Hits
KEYP,91.9 FM,Price,Biblical Ministries Worldwide,
KEYR,91.7 FM,Richfield,Biblical Ministries Worldwide,
KEYV,91.7 FM,Vernal,Biblical Ministries Worldwide,
KEYY,1450 AM,Provo,Biblical Ministries Worldwide,Religious
KEZB,90.7 FM,Beaver,Beaver Radio,
KFDJ,90.5 FM,Glendale,Advance Ministries Inc. d/b/a New Life Christian School,
KFMR,95.5 FM,Ballard,Cochise Media Licenses LLC,Silent
KFNZ,1320 AM,Salt Lake City,"Radio License Holding CBC, LLC",All Sports
KFUR-LP,101.1 FM,St. George,Latinos Unidos Broadcasting,
KGNT,103.9 FM,Smithfield,"Frandsen Media Company, LLC",Oldies
KHKR,1210 AM,Washington,"CCR-St. George IV, LLC",Classic Country
KHQN,1480 AM,Spanish Fork,Robyn Howell,News Talk Information
KHTB,94.9 FM,Provo,"Radio License Holding CBC, LLC",Alternative Rock
KIFX,98.5 FM,Roosevelt,"Evans Broadcasting, Inc.",Adult Contemporary
KIHU,1010 AM,Tooele,IHR Educational Broadcasting,News Talk Information
KIYK,107.3 FM,St. George,"CCR-St. George IV, LLC",Hot Adult Contemporary
KJMY,99.5 FM,Bountiful,"Citicasters Licenses, Inc.",Hot Adult Contemporary
KJQS,1230 AM,Murray,"Radio License Holding CBC, LLC",All Sports
KKAT,860 AM,Salt Lake City,"Radio License Holding CBC, LLC",Talk
KKLV,107.5 FM,Orem,Educational Media Foundation,Contemporary Christian
KLCY,105.5 FM,Vernal,"Ashley Communications, Inc.",Country
KLGL,94.5 FM,Salina,"Matrix Media, LLC",Classic Hits
KLGN,1390 AM,Logan,"Sun Valley Radio, Inc.",Soft Adult Contemporary
KLLB,1510 AM,West Jordan,"United Security Financial, Inc.",Gospel
KLO,1430 AM,Ogden,KLO Broadcasting Co.,Talk
KMGR,95.9 FM,Delta,"SLC Divestiture Trust II (Jim Burgoyne, Trustee)",Soft Adult Contemporary
KMRI,1550 AM,West Valley City,"Alpha & Omega Communications, LLC",Mexican Regional
KMTI,650 AM,Manti,Sanpete County Broadcasting Company,Country
KMXD,100.5 FM,Monroe,Sanpete County Broadcasting Co.,Country
KNEU,1250 AM,Roosevelt,"Country Gold Broadcasting, Inc.",Country
