KAAP,99.5 FM,Rock Island,"CCR-Wenatchee IV, LLC",Adult Contemporary
KACS,90.5 FM,Chehalis,Chehalis Valley Educational Foundation,Contemporary Inspirational
KACW,91.3 FM,South Bend,Chehalis Valley Educational Foundation,Contemporary Inspirational
KAFE,104.1 FM,Bellingham,"Saga Broadcasting, LLC",Adult Contemporary
KAGU,88.7 FM,Spokane,Gonzaga University Telecommunications Association,Classical music
KAHS-LP,106.5 FM,Aberdeen,Aberdeen School District #5,School Radio
KALE,960 AM,Richland,"Ingstad Radio Washington, LLC",Classic Country
KANY,107.9 FM,South Bend,"Jodesha Broadcasting, Inc.",Country music
KAOS,89.3 FM,Olympia,The Evergreen State College,Variety
KAPS,660 AM,Mount Vernon,"J & J Broadcasting, Inc.",Country music
KARI,550 AM,Blaine,"Way Broadcasting Licensee, LLC",Christian Talk
KARR,1460 AM,Kirkland,"Family Stations, Inc.",Christian radio (Family Radio)
KARY-FM,100.9 FM,Grandview,"Ingstad Radio Washington, LLC",Classic Hits
KASB,89.3 FM,Bellevue,Bellevue School District #405,Alternative
KATS,94.5 FM,Yakima,"Townsquare Media Yakima License, LLC",Mainstream Rock
KAUC,89.7 FM,West Clarkston,Upper Columbia Media Corporation,Contemporary Christian
KAVZ-LP,102.5 FM,Deming,Van Zandt Community Hall Association,Community radio
KAYB,88.1 FM,Sunnyside,American Family Association,Christian radio (AFR)
KBAI,930 AM,Bellingham,"Saga Broadcasting, LLC",News/Talk
KBAM,1270 AM,Longview,"Bicoastal Media Licenses IV, LLC",Country music
KBBD,103.9 FM,Spokane,"Mapleton License of Spokane, LLC",Adult Hits
KBBO,1390 AM,Yakima,"Ingstad Radio Washington, LLC",Conservative talk
KBCS,91.3 FM,Bellevue,Bellevue College,Community radio
KBDB-FM,96.7 FM,Forks,"Forks Broadcasting, Inc.",Adult Contemporary
KBKS-FM,106.1 FM,Tacoma,AMFM Texas Licenses LLC,Top 40/CHR
KBKW,1450 AM,Aberdeen,"Jodesha Broadcasting, Inc.",News/Talk
KBLD,91.7 FM,Kennewick,Calvary Chapel of Tri-Cities,Contemporary Christian
KBLE,1050 AM,Seattle,"Sacred Heart Radio, Inc.",Christian radio
KBMS,1480 AM,Vancouver,"Christopher H. Bennett Broadcasting of Washington, Inc.",Urban AC
KBNO-FM,89.3 FM,White Salmon,"Gospel Echo, Inc.",Unknown (Spanish Language)
KBRC,1430 AM,Mount Vernon,"J & J Broadcasting, Inc.",Oldies
KBRD,680 AM,Lacey,BJ & Skip's for the Music,Adult Standards
KBRO,1490 AM,Bremerton,"Seattle Streaming Radio, LLC",Sports (Spanish Language)
KBSN,1470 AM,Moses Lake,"KSEM, Inc",News/Talk
KBUP,1240 AM,Olympia,"Sacred Heart Radio, Inc.",Catholic Religious
KCED,91.3 FM,Centralia,"Centralia College, District 12, State of Washington",Alternative
KCFL,91.1 FM,Westport,Northwest Indy Radio,
KCHW,102.7 FM,Chewelah,Community Celebrations Inc.,
KCIS,630 AM,Edmonds,Crista Ministries,Christian radio
KCLK,1430 AM,Asotin,Pacific Empire Radio Corporation,Sports (ESPN Radio)
KCLK-FM,94.1 FM,Clarkston,Pacific Empire Radio Corporation,Classic Hits
KCLX,1450 AM,Colfax,"Inland Northwest Broadcasting, LLC",Classic Country
KCMS,105.3 FM,Edmonds,Crista Ministries,Contemporary Christian
KCRK-FM,92.1 FM,Colville,North Country Broadcasting,Adult Contemporary
KCSH,88.9 FM,Ellensburg,"LifeTalk Radio, Inc.",Christian radio
KCSY,106.3 FM,Twisp,"Resort Radio, LLC",Oldies
KCVL,1240 AM,Colville,North Country Broadcasting,Country music
KCWU,88.1 FM,Ellensburg,Trustees of Central Washington University,College Radio
KDBL,92.9 FM,Toppenish,"Townsquare Media Yakima License, LLC",Country music
KDDS-FM,99.3 FM,Elma,"Adelante Media of Seattle License, LLC",Regional Mexican
