KDWZ,102.5 FM,Superior,"Midwest Communications, Inc.",Pop Contemporary Hit Radio
KFIZ,1450 AM,Fond du Lac,"RBH Enterprises, Inc.",News Talk Information
KUWS,91.3 FM,Superior,"Board of Regents, University of Wisconsin System",WPR Ideas
WACD,106.1 FM,Antigo,"Results Broadcasting, Inc.",Country
WAPL,105.7 FM,Appleton,"Woodward Communications, Inc.",Mainstream Rock
WAQE,1090 AM,Rice Lake,"TKC, Inc.",Sports
WAQE-FM,97.7 FM,Barron,"TKC, Inc.",Adult Contemporary
WATK,900 AM,Antigo,"Results Broadcasting, Inc.",Classic Hits
WATQ,106.7 FM,Chetek,Capstar TX LLC,Classic Country
WATW,1400 AM,Ashland,"Heartland Communications License, LLC",News Talk Information
WAUH,102.3 FM,Wautoma,"Hometown Broadcasting, LLC",Classic Hits
WAUK,540 AM,Jackson,"Good Karma Broadcasting, LLC",Sports
WAUN-FM,92.7 FM,Kewaunee,"Magnum Broadcasting, Inc.",Regional Mexican
WAXX,104.5 FM,Eau Claire,"Mid-West Management, Inc.",Country
WAYY,790 AM,Eau Claire,"Mid-West Management, Inc.",Sports
WBCR-FM,90.3 FM,Beloit,The Board of Trustees/Beloit College,Variety
WBCV,107.9 FM,Wausau,"NRG License Sub, LLC",Adult Hits
WBDK,96.7 FM,Algoma,"Nicolet Broadcasting, Inc.",Adult Standards/MOR
WBDL,102.9 FM,Reedsburg,"Magnum Communications, Inc.",Adult Contemporary
WBEV,1430 AM,Beaver Dam,"Good Karma Broadcasting, L.L.C.",News Talk Information
WBFM,93.7 FM,Sheboygan,"Midwest Communications, Inc.",Country
WBIZ,1400 AM,Eau Claire,Capstar TX LLC,Sports
WBIZ-FM,100.7 FM,Eau Claire,Capstar TX LLC,Pop Contemporary Hit Radio
WBJZ,104.7 FM,Berlin,Caxambas Corporation,Pop Contemporary Hit Radio
WBKV,1470 AM,West Bend,West Bend Broadcasting Co.,News/Talk
WBKY,95.9 FM,Portage,"Magnum Communications, Inc.",Country
WBOG,1460 AM,Tomah,"Magnum Radio, Inc.",Classic Hits
WBSD,89.1 FM,Burlington,Burlington Area School District,Adult Album Alternative
WBSZ,93.3 FM,Ashland,"Heartland Communications License, LLC",Country
WBWI-FM,92.5 FM,West Bend,West Bend Broadcasting Co.,Country
WCCN,1370 AM,Neillsville,"Central Wisconsin Broadcasting, Inc.",Adult Standards/MOR
WCCN-FM,107.5 FM,Neillsville,Central Wisconsin Broadcasting Inc.,Mainstream Rock
WCCX,104.5 FM,Waukesha,"Trustees, Carroll College",College Radio
WCFW,105.7 FM,Chippewa Falls,Bushland Radio Specialties/WCFW,Soft Adult Contemporary
WCLB,950 AM,Sheboygan,"RBH Enterprises, Inc. d/b/a Yellow Dog Broadcasting",Sports
WCLO,1230 AM,Janesville,"Southern Wisconsin Broadcasting, LLC.",News Talk Information
WCLQ,89.5 FM,Wausau,"Christian Life Communications, Inc.",Contemporary Christian
WCNP,89.5 FM,Baraboo,Liberty and Freedom Inc.,
WCOW-FM,97.1 FM,Sparta,"Sparta-Tomah Broadcasting Co., Inc.",Country
WCQM,98.3 FM,Park Falls,"Heartland Communications License, LLC",Country
WCSW,940 AM,Shell Lake,"Zoe Communications, Inc.",News Talk Information
WCUB,980 AM,Two Rivers,"Cub Radio, Inc.",Country
WCWI,106.1 FM,Adams,"Casper Communications, LLC",Adult Hits
WCWL-LP,103.5 FM,Clearwater Lake,"Northern Lakes Radio, Inc.",Religious
WCYE,93.7 FM,Three Lakes,"Results Broadcasting of Rhinelander, Inc.",Country
WDDC,100.1 FM,Portage,"Magnum Communications, Inc.",Country
WDDW,104.7 FM,Sturtevant,"Adelante Media of Wisconsin License, LLC",Regional Mexican
WDEZ,101.9 FM,Wausau,"WRIG, Inc.",Country
WDGY,740 AM,Hudson,"WRPX, Inc.",Oldies
WDKV,91.7 FM,Fond du Lac,Educational Media Foundation,Contemporary Christian (K-Love)
WDLB,1450 AM,Marshfield,Seehafer Broadcasting Corp,Oldies
WDLS,900 AM,Wisconsin Dells,"Magnum Communications, Inc.",Classic Country
WDMO,95.7 FM,Baldwin,"Zoe Communications, Inc.",Country
WDMP,810 AM,Dodgeville,"Dodge Point Broadcasting Company, Inc.",Country
WDMP-FM,99.3 FM,Dodgeville,"Dodge Point Broadcasting Co., Inc.",Country
WDOR,910 AM,Sturgeon Bay,"Door County Broadcasting Co., Inc.",Full Service
WDOR-FM,93.9 FM,Sturgeon Bay,"Door County Broadcasting Co., Inc.",Full Service
WDRK,99.9 FM,Cornell,"Mid-West Management, Inc.",Adult Hits
WDRT,91.9 FM,Viroqua,"Driftless Community Radio, Inc.",Community Radio
WDSM,710 AM,Superior,"Midwest Communications, Inc.",News Talk Information
WDTX,100.5 FM,Rothschild,Sunrise Broadcasting LLC,Sports
WDUX,800 AM,Waupaca,"Laird Broadcasting Company, Inc.",Classic Country
WDUX-FM,92.7 FM,Waupaca,"Laird Broadcasting Company, Inc.",Hot Adult Contemporary
WDUZ,1400 AM,Green Bay,Cumulus Licensing LLC,Sports
WDUZ-FM,107.5 FM,Brillion,Cumulus Licensing LLC,Sports
WDVM,1050 AM,Eau Claire,"Starboard Media Foundation, Inc.",Catholic Religion (Relevant Radio)
WDYD-LP,100.9 FM,Merrill,"The New Testament Church, Inc.",Religious
WEAQ,1150 AM,Chippewa Falls,"Mid-West Management, Inc.",Oldies
WECL,92.9 FM,Elk Mound,"Mid-West Management, Inc.",Active Rock
WEGZ,105.9 FM,Washburn,"Keweenaw Bay Broadcasting, Inc.",Religion (VCY America)
WEKZ,1260 AM,Monroe,Big Radio,Classic Country
WEKZ-FM,93.7 FM,Monroe,Big Radio,Oldies
WEMI,91.9 FM,Appleton,"Evangel Ministries, Inc.",Religion (Moody Bible Inst.)
WEMP,98.9 FM,Two Rivers,"Metro North Communications, Inc.",
WEMY,91.5 FM,Green Bay,"Evangel Ministries, Inc.",Religion (Moody Bible Inst.)
WEQS,89.3 FM,Sparta,"The Salvation Poem Foundation, Inc.",Religious
WERL,950 AM,Eagle River,"Heartland Communications LIcense, LLC",Talk
WERN,88.7 FM,Madison,State of Wisconsin - Educational Communications Board,WPR News & Classical
WEVR,1550 AM,River Falls,Hanten Broadcasting Co. Inc.,Soft Adult Contemporary
WEVR-FM,106.3 FM,River Falls,"Hanten Broadcasting Company, Inc.",Adult Contemporary
WFAQ-LP,92.9 FM,Mukwonago,"Kettle Moraine Community Radio, Inc.",Variety
WFAW,940 AM,Fort Atkinson,"NRG License Sub, LLC",News Talk Information
