WADC,1050 AM,Parkersburg,"Burbach of DE, LLC",Adult Standards
WAEY,1490 AM,Princeton,"Princeton Broadcasting, Inc.",Southern Gospel
WAFD,100.3 FM,Webster Springs,"Summit Media, Inc.",Hot Adult Contemporary
WAJR,1440 AM,Morgantown,West Virginia Radio Corporation,News/Talk/Sports
WAJR-FM,103.3 FM,Salem,West Virginia Radio Corporation of Salem,News/Talk/Sports
WAMN,1050 AM,Green Valley,"West Virginia - Virginia Media, LLC",Classic Country
WAMX,106.3 FM,Milton,Capstar TX LLC,Classic Rock
WAXS,94.1 FM,Oak Hill,"Plateau Broadcasting, Inc.",Classic Hits
WBBD,1400 AM,Wheeling,Capstar TX LLC,Sports
WBES,950 AM,Charleston,"Bristol Broadcasting Company, Inc.",Sports
WBGS,1030 AM,Point Pleasant,"Big River Radio, Inc.",Oldies
WBHZ,91.9 FM,Elkins,American Family Association,Religious
WBKW,1070 AM,Beckley,Southern Communications Corporation,Southern Gospel
WBRB,101.3 FM,Buckhannon,West Virginia Radio Corporation of Buckhannon,Country
WBTH,1400 AM,Williamson,"East Kentucky Radio Network, Inc.",Talk/Sports
WBTQ,93.5 FM,Buckhannon,West Virginia Radio Corporation of Elkins,News/Talk/Sports
WBUC,1460 AM,Buckhannon,West Virginia Radio Corporation of Buckhannon,News/Talk/Sports
WBWG-LP,99.1 FM,Fairmont,"God's Word Broadcasting, Inc.",Religious
WBWO-LP,102.9 FM,Moundsville,Grave Creek B'Nai Noach,Oldies
WBWV,88.7 FM,Beckley,Slingshot Broadcasting Corporation,Christian Contemporary
WBYG,99.5 FM,Point Pleasant,"Big River Radio, Inc.",Country
WCBC-FM,107.1 FM,Keyser,"Prosperitas Broadcasting System, LP",Oldies
WCDE,90.3 FM,Elkins,"Board of Trustees, Davis & Elkins College",Contemporary Christian
WCEF,98.3 FM,Ripley,"Big River Radio, Inc.",Country
WCHS,580 AM,Charleston,West Virginia Radio Corporation of Charleston,News/Talk/Sports
WCIR-FM,103.7 FM,Beckley,Southern Communications Corporation,Contemporary Hit Radio
WCKU,90.1 FM,Clarksburg,Educational Media Foundation,Contemporary Christian/Religious
WCLG,1300 AM,Morgantown,Bowers Broadcasting Corporation,Oldies/Classic Hits
WCLG-FM,100.1 FM,Morgantown,Bowers Broadcasting Corporation,Active Rock
WCST,1010 AM,Berkeley Springs,Capper Broadcasting Company,Country
WCWV,92.9 FM,Summersville,"Summit Media Broadcasting, LLC",Contemporary Hit Radio
WDBS,97.1 FM,Sutton,"Summit Media Broadcasting, L.L.C.",Country
WDHC,92.9 FM,Berkeley Springs,Capper Broadcasting Company,Classic Hits/Classic Top 40
WDKL,95.9 FM,Grafton,Educational Media Foundation,Contemporary Christian
WDMX,100.1 FM,Vienna,"CC Licenses, LLC",Classic Hits
WDNE,1240 AM,Elkins,West Virginia Radio Corporation of Elkins,Adult Standards
WDNE-FM,98.9 FM,Elkins,West Virginia Radio Corporation of Elkins,Country
WDTF-LP,107.9 FM,Berkeley Springs,"Defenders of the Faith, Inc.",Catholic Religious
WDUQ-LP,99.1 FM,Benwood,Kol Ami Havurah,Classic Jazz/Blues
WDYK,100.5 FM,Ridgeley,West Virginia Radio Corporation of the Alleghenies,Adult Contemporary
WEGW,107.5 FM,Wheeling,Capstar TX LLC,Mainstream Rock
WEIR,1430 AM,Weirton,"Priority Communications Ohio, LLC",News/Talk/Sports
WELC,1150 AM,Welch,"West Virginia - Virginia Media, LLC",Country
WELD,690 AM,Fisher,"Thunder Associates, LLC",Oldies/Classic Rock
WELD-FM,101.7 FM,Moorefield,"Thunder Associates, LLC",Full Service
WELK,94.7 FM,Elkins,West Virginia Radio Corporation of Elkins,Hot Adult Contemporary
WEMM,1200 AM,Huntington,"Mortenson Broadcasting Co. of West Virginia, LLC",Southern Gospel
WEMM-FM,107.9 FM,Huntington,"Mortenson Broadcasting Co. of West Virginia, LLC",Southern Gospel
WEPM,1340 AM,Martinsburg,Prettyman Broadcasting Company,News/Talk/Sports
WETT,104.1 FM,Bridgeport,"Withers Broadcasting Company of Bridgeport, LLC",Adult Hits
WETZ,1330 AM,New Martinsville,Dailey Corporation,Classic Hits
WFBY,102.3 FM,Weston,AJG Corporation,Classic Rock
WFGH,90.7 FM,Fort Gay,Wayne County Board of Education,Variety
WFGM-FM,93.1 FM,Barrackville,AJG Corporation,Oldies/Classic rock
WFSP,1560 AM,Kingwood,"WFSP Radio, LLC",Southern Gospel/Talk
WFSP-FM,107.7 FM,Kingwood,"WFSP Radio, LLC",Oldies/Classic Rock
WGAG-LP,93.1 FM,Princeton,"The Denver Foundation, Incorporated",Oldies/Classic Rock
WGGE,99.1 FM,Parkersburg,"Burbach of DE, LLC",Country
WGIE,92.7 FM,Clarksburg,"Burbach of DE, LLC",Country
