KADQ-FM,98.3 FM,Evanston,"Frandsen Media Company, LLC",Classic Rock
KAIW,88.9 FM,Laramie,Educational Media Foundation,Christian
KAIX,88.1 FM,Cheyenne,Educational Media Foundation,Christian
KAML-FM,97.3 FM,Gillette,"Legend Communications of Wyoming, LLC",Active rock
KANT,104.1 FM,Guernsey,Peak Radio LLC,Adult Hits
KAOX,107.3 FM,Kemmerer,"Broadway Media LS, LLC",Adult contemporary
KARS-FM,102.9 FM,Laramie,The Fort Collins/Lafayette Divestiture Trust,Classic rock
KASL,1240 AM,Newcastle,Val Rasmuson Cook,Country
KASS,106.9 FM,Casper,"Mt. Rushmore Broadcasting, Inc.",Classic rock
KAXG,89.7 FM,Gillette,"Hi-Line Radio Fellowship, Inc.",Christian
KAZY,93.7 FM,Cheyenne,Freisland Broadcasting Corp.,Active rock
KBBS,1450 AM,Buffalo,"Legend Communications of Wyoming, LLC",Classic Country
KBDY,102.1 FM,Hanna,Toga Radio LLC,Country
KBEN-FM,103.3 FM,Cowley,"White Park Broadcasting, Inc.",Classic Country
KBMG,106.1 FM,Evanston,"Rocky Mountain Radio Network, Inc.",Hispanic CHR
KBUW,90.5 FM,Buffalo,University Of Wyoming,Public radio
KBYA,89.9 FM,Afton,Brigham Young University - Idaho,Public radio
KCGL,104.1 FM,Powell,"Legend Communications of Wyoming, LLC",Classic Rock
KCGY,95.1 FM,Laramie,"Townsquare Media Laramie License, LLC",Country
KCOV-LP,95.7 FM,Gillette,First Presbyterian Church,Religious
KCSP-FM,90.3 FM,Casper,"Western Inspirational Broadcasters, Inc.",Contemporary Christian
KCWB,92.1 FM,Byron,"Legend Communications of Wyoming, LLC",
KCWC-FM,88.1 FM,Riverton,Central Wyoming College,College
KCYA,97.7 FM,Rolling Hills,Cochise Media Licenses LLC,Unknown
KDAD,92.5 FM,Douglas,"The Casper Radio Group, Inc.",Country
KDDV-FM,101.5 FM,Wright,"Legend Communications of Wyoming, LLC",Classic Hits
KDLY,97.5 FM,Lander,"Fremont Broadcasting, Inc.",Classic Hits
KDNO,101.7 FM,Thermopolis,"Edwards Communications, LC",Classic Country
KDNR,88.7 FM,South Greeley,"Western Inspirational Broadcasters, Inc.",Religious
KDTI,89.9 FM,Sheridan,Educational Media Foundation,Contemporary Christian
KDUW,91.7 FM,Douglas,University of Wyoming,Public radio
KDWY,105.3 FM,Diamondville,SLC Divestiture Trust I,Country
KERM,98.3 FM,Torrington,"Kath Broadcasting Co, LLC",Country
KEUW,89.9 FM,Torrington,University of Wyoming,Public radio
KEVA,1240 AM,Evanston,"Sagebrush Broadcasting Company, Inc.",Oldies
KEZF,95.5 FM,Pine Bluffs,"United States CP, LLC",
KFBC,1240 AM,Cheyenne,Montgomery Broadcasting L.L.C.,News Talk Information
KFCB-LP,105.1 FM,Douglas,"Douglas Baptist Church, Inc.",Religious
KFCW,93.1 FM,Riverton,"Edwards Communications, LC",Classic Rock
KFGR,88.1 FM,Powell,Trinity Bible Church,Religious
KFRZ,92.1 FM,Green River,Wagonwheel Communications Corp,Country
KFZE,104.3 FM,Daniel,Wagonwheel Communications Corporation,
KGAB,650 AM,Orchard Valley,"Townsquare Media Cheyenne License, LLC",News Talk Information
KGCC,99.9 FM,Gillette,"Keyhole Broadcasting, LLC",Silent
KGLL,88.1 FM,Gillette,American Family Association,Religious
KGOS,1490 AM,Torrington,"Kath Broadcasting Co, LLC",Country
KGRK,98.5 FM,Glenrock,Cochise Broadcasting LLC,Silent
KGWY,100.7 FM,Gillette,"Legend Communications of Wyoming, LLC",Country
KHAD,104.5 FM,Upton,"The Casper Radio Group, Inc.",Active Rock
KHAT,1210 AM,Laramie,"Appaloosa Broadcasting Company, Inc.",Sports
KHOC,102.5 FM,Casper,"Mt. Rushmore Broadcasting, Inc.",Silent
KHOL,89.1 FM,Jackson,"Jackson Hole Community Radio, Incorporated",Public
KHRW,92.7 FM,Ranchester,"Global News Consultants, LLC",Classic Hits
KIGN,101.9 FM,Burns,"Townsquare Media Cheyenne License, LLC",Classic Hits
KIHI,88.9 FM,Burns,"Cedar Cove Broadcasting, Inc.",
KIML,1270 AM,Gillette,"Legend Communications of Wyoming, LLC",News Talk Information
KIMX,96.7 FM,Laramie,"Appaloosa Broadcasting Company, Inc.",Top 40 (CHR)
KIQZ,92.7 FM,Rawlins,"Mt. Rushmore Broadcasting, Inc.",Silent
KJAX,93.5 FM,Jackson,"RP Broadcasting LS, LLC",Country
